# File: A_agRegionalSubsector.csv
# Title: Subsector assumptions for regional agricultural markets
# Units: Various
# Source: NA
# Column types: ccncnccccc
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
total corn,domestic corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total corn,imported corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total fibercrop,domestic fibercrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total fibercrop,imported fibercrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total fruits,domestic fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total fruits,imported fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total legumes,domestic legumes,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total legumes,imported legumes,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total misccrop,domestic misccrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total misccrop,imported misccrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total nuts_seeds,domestic nuts_seeds,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total nuts_seeds,imported nuts_seeds,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total oilcrop,domestic oilcrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total oilcrop,imported oilcrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total othergrain,domestic othergrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total othergrain,imported othergrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total oilpalm,domestic oilpalm,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total oilpalm,imported oilpalm,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total rice,domestic rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total rice,imported rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total root_tuber,domestic root_tuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total root_tuber,imported root_tuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total soybean,domestic soybean,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total soybean,imported soybean,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total sugarcrop,domestic sugarcrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total sugarcrop,imported sugarcrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total vegetables,domestic vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total vegetables,imported vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total wheat,domestic wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total wheat,imported wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total beef,domestic beef,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total beef,imported beef,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total dairy,domestic dairy,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total dairy,imported dairy,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total pork,domestic pork,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total pork,imported pork,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total poultry,domestic poultry,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total poultry,imported poultry,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total sheepgoat,domestic sheepgoat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
total sheepgoat,imported sheepgoat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional sawnwood,domestic sawnwood,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional sawnwood,imported sawnwood,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional woodpulp,domestic woodpulp,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional woodpulp,imported woodpulp,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional industrial_roundwood,domestic industrial_roundwood,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional industrial_roundwood,imported industrial_roundwood,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
