# File: A_agRegionalSector.csv
# Title: Supplysector assumptions for regional agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete domestic production and imports from the globally traded markets (source: GTAP)
# Source: NA
# Column types: ccccnc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
total corn,Mt,Mt,1975$/kg,-1.3,
total fibercrop,Mt,Mt,1975$/kg,-2.5,
total fruits,Mt,Mt,1975$/kg,-2.41,
total legumes,Mt,Mt,1975$/kg,-2.41,
total misccrop,Mt,Mt,1975$/kg,-2.41,
total nuts_seeds,Mt,Mt,1975$/kg,-2.41,
total oilcrop,Mt,Mt,1975$/kg,-2.99,
total othergrain,Mt,Mt,1975$/kg,-1.3,
total oilpalm,Mt,Mt,1975$/kg,-2.99,
total rice,Mt,Mt,1975$/kg,-2.9,
total root_tuber,Mt,Mt,1975$/kg,-2.41,
total soybean,Mt,Mt,1975$/kg,-2.99,
total sugarcrop,Mt,Mt,1975$/kg,-2.7,
total vegetables,Mt,Mt,1975$/kg,-2.41,
total wheat,Mt,Mt,1975$/kg,-4.45,
total beef,Mt,Mt,1975$/kg,-3.9,
total dairy,Mt,Mt,1975$/kg,-3.7,
total pork,Mt,Mt,1975$/kg,-4.4,
total poultry,Mt,Mt,1975$/kg,-4.4,
total sheepgoat,Mt,Mt,1975$/kg,-3.9,
regional sawnwood,billion m3,billion m3,1975$/m3,-3.4,
regional woodpulp,billion tons,billion tonnes,1975$/ton,-2.95,
regional industrial_roundwood,billion m3,billion m3,1975$/m3,-2.5,
