# File: Mekonnen_Hoekstra_Rep47_A2.csv
# Title: Water footprint per ton of crop or derived crop product at national and sub-national level (1996-2005)
# Units: m3/ton
# Description: FAO_crop (item) and item_code are both updated to match primary (land-based) crops aglu/FAO/FAO_ag_items_PRODSTAT
# Source: http://waterfootprint.org/media/downloads/Report47-Appendix-II.zip
# Date of last update: 2022-03-15 (XZ)
# Column types: cicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
FAO_crop_item,item_code,water_type,afg,alb,dza,asm,ago,atg,arg,arm,aus,aut,aze,bhs,bhr,bgd,brb,blr,bel,blz,ben,bmu,btn,bol,bih,bwa,bra,brn,bgr,bfa,mmr,bdi,khm,cmr,can,cpv,cym,caf,tcd,chl,chn,col,com,cog,cod,cok,cri,civ,hrv,cub,cyp,cze,dnk,dji,dma,dom,tls,ecu,egy,slv,gnq,eri,est,eth,fsm,fji,fin,fra,guf,pyf,gab,gmb,pse,geo,deu,gha,grc,grd,glp,gum,gtm,gin,gnb,guy,hti,hnd,hun,isl,ind,idn,irn,irq,irl,isr,ita,jam,jpn,jor,kaz,ken,kir,prk,kor,kwt,kgz,lao,lva,lbn,lso,lbr,lby,ltu,lux,mkd,mdg,mwi,mys,mdv,mli,mlt,mhl,mtq,mrt,mus,mex,mda,mng,msr,mar,moz,nam,nru,npl,nld,ncl,nzl,nic,ner,nga,niu,nor,omn,pak,pan,png,pry,per,phl,pol,prt,pri,qat,reu,rom,rus,rwa,kna,lca,spm,vct,wsm,stp,sau,sen,scg,syc,sle,sgp,svk,svn,slb,som,zaf,esp,lka,sdn,sur,swz,swe,che,syr,tjk,tza,tha,tgo,tkl,ton,tto,tun,tur,tkm,tuv,uga,ukr,are,gbr,usa,ury,uzb,vut,ven,vnm,wlf,esh,yem,zmb,zwe
Agave Fibres Nes,800,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4374.876818,,,,,,,,7531.304348,,,,,,,,5489.934261,,9858.191,,,,,,,,,,,,,,,,,,,,,8286.933798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7303.302957,,,,,,,,,,,,11113.63768,,,,,,,,,,,6246.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave Fibres Nes,800,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.2849702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01441066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Almonds, with shell",221,Green,1995.103839,,4840.509691,,,,3366.018752,5783.264457,2444.98155,,15179.01929,,,,,,,,,,,,13133.56156,,,,13702.61282,14007.37866,,,,,,,,,,4432.333135,3139.742428,,,,,,,,1416.571578,,11386.95199,,,,,,,,,,,,,,,,,1597.400577,,,,,4227.08745,5529.760538,,,2792.524816,,,,,,,,,,5670.185174,,,,4599.622752,2535.67704,,1772.117316,4594.439883,,,920.5550652,1685.63,,,,,,4340.195294,,,823.9277382,,,6515.588989,,,2953.895354,,,,,,,,,,,1755.411561,2773.726937,,,8541.667669,,,,9260.158416,,,,,,,,,,1266.748206,,,,,,,12867.95687,,,,,,,,,,,,,,,,,,,,7822.042271,,,,13078.99157,,,,7421.891879,,,846.3462163,6057.874387,,,,,,,17763.01855,1998.385135,6177.794954,,,95249.97052,183.7550409,,1171.073761,,1760.149342,,,,,,5912.5,,
"Almonds, with shell",221,Blue,5106.625392,,1791.518611,,,,851.9235558,3772.897116,1340.947109,,5478.726972,,,,,,,,,,,,,,,,114.9188206,551.6151685,,,,,,,,,,1751.38675,103.3857477,,,,,,,,1.978382763,,22791.75015,,,,,,,,,,,,,,,,,224.409871,,,,,1400.880387,412.2573732,,,856.6222655,,,,,,,,,,101.3509354,,,,5690.311843,11455.00472,,4000.309361,753.238337,,,1778.413926,2184.19,,,,,,2511.633235,,,668.4560444,,,11339.00995,,,330.1933291,,,,,,,,,,,2095.221139,62.49946763,,,1295.947369,,,,,,,,,,,,,,1168.161093,,,,,,,1151.549964,,,,,,,,,,,,,,,,,,,,,,,,1000.009376,,,,73.33692229,,,478.7811877,6652.249349,,,,,,,1950.24065,370.3078092,6060.511565,,,,1437.253406,,2037.511939,,2751.559687,,,,,,13512.10938,,
"Anise, badian, fennel, coriander",711,Green,1363.939025,,,,,,5033.718134,,2212.159748,,,,,,,,,,,,,,,,,,2870.757428,,,,,,4706.299168,,,,,,3731.599869,,,,,,,,,,,,4940.179842,,,,,6428.727891,796.3401063,,,,,6354.79848,,,,,,,,,840.6329817,,,,1587.666833,,,,6212.662127,,,,,,3192.60594,,12626.88809,,2105.657718,,,,,,,,,5646.129824,,,,,,,,1166.419461,,,,,,,10332.19548,7875.23521,,,,,,,,,418.308359,,,,1908.589603,,,,,1877.021575,,,,,,,,,,,,,339.8506501,,,,,,,3866.445661,3525.742583,,,,,,,,,,,,,,8820.357327,,,,,7627.068729,,,,,,,1085.531671,,6827.498196,,,,,,2278.400496,3471.168658,,,,2672.959443,,,,,,,,6193.292027,,,,,8525.290863
"Anise, badian, fennel, coriander",711,Blue,8485.925233,,,,,,1010.556257,,579.0473734,,,,,,,,,,,,,,,,,,290.7142474,,,,,,107.8089039,,,,,,138.2017602,,,,,,,,,,,,34.2404751,,,,,2595.653656,7606.905783,,,,,72.36743607,,,,,,,,,7106.298719,,,,2619.83484,,,,47.64319844,,,,,,227.6106195,,467.0015147,,1473.285235,,,,,,,,,222.8153033,,,,,,,,842.876011,,,,,,,71.79426742,48.56471431,,,,,,,,,138.4839625,,,,540.161997,,,,,143.3289042,,,,,,,,,,,,,302.2484691,,,,,,,206.7936906,149.5316181,,,,,,,,,,,,,,2899.076177,,,,,10771.55267,,,,,,,9943.241022,,89.64124034,,,,,,188.9552329,2039.605233,,,,101.0619443,,,,,,,,134.8193182,,,,,620.407028
Apples,515,Green,494.7609941,988.1148488,649.3179969,,,,203.3526196,594.2203096,221.7351859,76.39025032,682.4279171,,,,,1585.261412,130.8919089,,,,2926.379393,1116.817886,1779.340372,,357.6171604,,669.9664752,,,,,,269.7140762,,,,,212.7926791,796.3290767,1051.329036,,,,,,,674.4562099,,423.8210113,251.5525536,262.2254675,,,,,1756.349067,135.3373308,,,,3122.691253,,,,544.7401247,158.307451,,,,,761.6416306,2085.971093,202.3949288,,211.2507239,2652.920124,,,1273.350346,,,,,3015.193111,384.9676985,,1381.206965,,259.7570841,452.0774194,212.7051747,162.3551224,163.873242,,345.3141677,344.0902821,1796.82365,1150.390051,,781.044833,574.6980946,,1182.356327,,1136.640449,292.1187033,,,223.6887259,1291.032157,791.2706941,601.8675301,,,,,,852.6121531,,,,,976.7088356,1315.677007,,,351.0936085,,,,1012.380794,133.7167858,,208.5696207,,,,,598.9031177,,597.2915776,,,1554.402685,453.9848844,,424.1112132,488.7283408,,,1473.447449,692.2625306,1278.437187,,,,,2816.84375,,,,,827.3297392,,,,303.2051734,172.4290671,,,252.1543717,279.7054083,,,,,355.4584437,114.6606907,405.5313931,1557.477062,,,,,,,1277.81599,216.874125,2244.60606,,,1527.412265,,260.5828733,148.328029,512.7843925,690.1106371,,,,,,723.3587952,,565.4242688
Apples,515,Blue,1423.758217,234.3085945,274.3651815,,,,171.0265969,460.1074342,367.8459643,5.786141761,458.3398861,,,,,,0.354731724,,,,,37.1375222,,,0.124301721,,6.033720811,,,,,,100.5852376,,,,,93.52035286,29.74670609,10.24439842,,,,,,,1.531784959,,678.8702645,4.995781952,1.837965232,,,,,165.417573,689.0731238,,,,0.838893325,,,,,27.02135299,,,,,445.7597361,291.8944092,0.966215155,,142.4548509,1.806395002,,,,,,,,,7.625148085,,420.8120266,,774.9062025,2243.315136,,356.594747,42.41311869,,0.231805363,1050.733542,1355.219088,,,3.506699342,3.233074094,,854.4786742,,0.00015359,594.8315164,,,313.2260417,,,74.177942,,,,,,87.4610163,,,,,400.3778471,35.07525114,,,585.4548786,,,,,1.690628861,,8.745844005,,,,,4.56807154,,487.4209997,,,,389.4922228,,0.948502958,69.46941427,,,41.0541846,4.946919881,1.08E-06,,,,,,,,,,4.070754219,,,,9.860452795,,,,200.120047,195.7638038,,,,,,0.017381986,944.0553591,2248.587879,,,,,,,,70.6082298,2534.157004,,,,,1.461320384,243.8905283,7.177907811,1075.517565,,,,,,924.7322708,,
Apricots,526,Green,481.0463618,1764.012662,897.2707694,,,,496.7236581,1353.700174,551.6969317,163.3071926,560.3590722,,,,,,,,,,,,2618.626794,,,,2518.598862,,,,,2137.73,867.7617149,,,,,589.8714603,1367.411133,,,,,,,,2132.506863,,495.8739671,1506.954684,,,,,,1697.292915,198.1542209,,,,,,,,,561.6391668,,,,,1444.20712,4975.952867,1904.874868,,327.8498745,,,,,,,,,,1544.841554,,2126.857486,,475.5675102,490.0779221,,466.8927165,486.2110977,,980.5707641,536.3116023,1418.219344,1194.874242,,,,,1678.789628,,,563.2006702,,,679.7267588,,,901.1330682,,,,,,377.3463277,,,,,1568.728064,1533.479363,,,534.476035,,,,1535.722222,,,905.3656762,,,,,,,469.1919475,,,,1568.199332,,2000.144053,753.213255,,,,743.3560513,1524.343652,,,,,,,,,,947.1178532,,,,556.4130279,361.7513388,,,494.8885091,764.6708806,,,,,,645.4213231,577.1105717,2003.299423,,,,,,,1760.536886,575.0916195,1059.783975,,,740.2871728,,,329.0428972,,775.9656976,,,,,,2294.653389,,2341.079096
Apricots,526,Blue,1306.212073,381.8972547,355.0065974,,,,394.8743539,951.4463248,839.3143394,10.24888972,351.3495874,,,,,,,,,,,,,,,,19.91726526,,,,,,243.2472582,,,,,219.633464,34.78416655,,,,,,,,4.007506819,,743.4391099,24.28312969,,,,,,149.3238369,948.0635676,,,,,,,,,81.48554051,,,,,801.4419202,594.7564734,82.93596597,,208.2673453,,,,,,,,,,26.20004129,,614.9377386,,1339.354952,2300.27863,,962.1384437,114.7163313,,0.353198972,1537.185213,997.0406431,,,,,,1108.209772,,,1092.898244,,,911.130628,,,99.71561986,,,,,,36.35658879,,,,,657.9638012,35.80508411,,,833.7338835,,,,,,,31.10112797,,,,,,,398.7276299,,,,1194.041861,,3.127826783,98.80228429,,,,4.663927991,1.32E-06,,,,,,,,,,3.921403626,,,,14.98402076,,,,401.5050203,500.7190352,,,,,,0.053314804,1271.239642,2712.625877,,,,,,,,175.3443581,1118.749607,,,,,,536.1502561,,1169.117965,,,,,,2635.376059,,
