# File: A_demand_subsector.csv
# Title: Subsectors of agricultural production
# Unit: NA
# Description: Generic information for subsectors of agricultural production
# Source: GCAM assumptions
# Column types: ccciciccccc 
# ----------
supplysector,subsector0,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
FoodDemand_Staples,Corn,Corn,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,OtherGrain,OtherGrain,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Rice,Rice,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,RootTuber,RootTuber,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Wheat,Wheat,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FiberCrop,FiberCrop,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FruitsVeg,Fruits,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Plant,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,MiscCrop,MiscCrop,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Oil,OilCrop,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Oil,OilPalm,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Oil,Soybean,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,SugarCrop,SugarCrop,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FruitsVeg,Vegetables,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Animal,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Corn,Corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FiberCrop,FiberCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FodderGrass,FodderGrass,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FodderHerb,FodderHerb,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Fruits,Fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Legumes,Legumes,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,MiscCrop,MiscCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,NutsSeeds,NutsSeeds,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OilCrop,OilCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OtherGrain,OtherGrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OilPalm,OilPalm,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Rice,Rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,RootTuber,RootTuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Soybean,Soybean,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,SugarCrop,SugarCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Vegetables,Vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Wheat,Wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Beef,Beef,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Dairy,Dairy,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Pork,Pork,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Poultry,Poultry,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,SheepGoat,SheepGoat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Forest,Forest,Forest,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
