# File: Food_Demand_Training_Data.csv
# Title: Food_Demand_Training_Data
# Description: Training dataset for the food demand model
# Original source: analysis by RYC STW RPL and KBN
# Units: NA
# Column types: cinnnnnnnnnnnnnnnn
# ----------
iso,year,pop_thous,gdp_pcap_2010usd,cons_price_ns,ns_usd_p1000cal,share_s_ns.x,cons_exp_ns,ns_cal_pcap_day_thous,ns_cons_thous_t,cons_price_s,s_usd_p1000cal,share_s_ns.y,cons_exp_s,s_cal_pcap_day_thous,Tot_cal,s_cons_thous_t,gdp_pcap_thous2005usd
vnm,2016,93640.42,1752.500334,6174118.665,7340.575684,0.372919519,2.83E+11,1.128199723,0.646503278,2927387.694,1652.467456,0.627080481,1.07E+11,1.897117178,3.025316901,0.353496722,1.752500334
afg,1994,16485,283.6570912,3248.629908,16.96920716,0.152374113,25707330.69,0.251775587,0.424536828,10118.01151,3.55321459,0.847625887,29944005.31,1.400575866,1.652351453,0.575463172,0.283657091
afg,1995,17586,398.673524,2823.278482,12.65708353,0.192077478,25880951.26,0.318556635,0.443899317,14504.40644,5.418396268,0.807922522,46602650.99,1.339923258,1.658479893,0.556100683,0.398673524
vnm,2017,94600.65,1852.884324,5078981.478,6640.994365,0.379157449,2.64E+11,1.152291309,0.660288152,2861040.034,1632.164291,0.620842551,1.06E+11,1.886792619,3.039083929,0.339711848,1.852884324
vnm,2011,89914,1369.822982,5206284.902,5831.151956,0.418846856,1.82E+11,0.951010113,0.669192976,3106757.701,1880.756818,0.581153144,81446663012,1.319533643,2.270543756,0.330807024,1.369822982
vnm,2015,92677.08,1667.171933,4432411.571,5763.706428,0.368282625,2.16E+11,1.106424203,0.639931932,2932296.911,1639.618788,0.631717375,1.05E+11,1.897856012,3.004280215,0.360068068,1.667171933
vnm,2014,91713.85,1579.201757,4264358.191,5462.881474,0.366759988,1.98E+11,1.084318684,0.640028254,2970436.533,1657.875299,0.633240012,1.04E+11,1.872161628,2.956480311,0.359971746,1.579201757
afg,2000,20595,262.5574317,5601.864307,15.8572493,0.197502718,39960743.96,0.335236309,0.529890077,12430.98688,4.746948967,0.802497282,48606099.13,1.362139368,1.697375676,0.470109923,0.262557432
afg,2001,21348,238.9200554,3776.080754,13.44300744,0.174426199,30301076.48,0.289275438,0.495192308,12875.30432,4.782923101,0.825573801,51026902.08,1.369164864,1.658440302,0.504807692,0.238920055
vnm,2013,91680,1490.593181,4959905.867,5331.748132,0.441428032,1.83E+11,1.027727175,0.713318284,2513133.934,1583.316922,0.558571968,68902089135,1.300460207,2.328187382,0.286681716,1.490593181
