# File: A_soil_time_scale_R.csv
# Title: A_soil_tim_scale_R
# Units: NA
# Description: sets the number of years for soil carbon recovery following LUC
# Original source: NA
# Column types: ii 
# ----------
GCAM_region_ID,soilTimeScale
1,50
2,25
3,25
4,25
5,25
6,50
7,25
8,75
9,25
10,75
11,50
12,50
13,50
14,50
15,50
16,50
17,25
18,25
19,50
20,25
21,50
22,25
23,200
24,50
25,25
26,25
27,25
28,50
29,25
30,50
31,50
32,25
