# File: GTAP_ag_HA_ha.csv,,,,,,,,,,,,,,,,,,,
# Author: Page Kyle,,,,,,,,,,,,,,,,,,,
# Description: GTAP v2.1 Land value by country / use / and AEZ,,,,,,,,,,,,,,,,,,,
# Original source: aglu-data/RawData/GTAP/GTPLU18V60_AGMP_DEC06.XLS [VFMA],,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,
ctry87,GTAP_use,AEZ01,AEZ02,AEZ03,AEZ04,AEZ05,AEZ06,AEZ07,AEZ08,AEZ09,AEZ10,AEZ11,AEZ12,AEZ13,AEZ14,AEZ15,AEZ16,AEZ17,AEZ18
alb,c_b,0,0,0,0,0,0,0,0,0.169841066,0.112948686,0,0,0,0,0,0,0,0
alb,ctl,0,0,0,0,0,0,0,0,1.776853681,3.482889414,3.684029341,0,0,0,0,0,0,0
alb,frs,0,0,0,0,0,0,0,0,0,19.6466465,0,0,0,0,0,0,0,0
alb,gro,0,0,0,0,0,0,0,0,0.325634569,0.544592798,0.853361368,0,0,0,0,0,0,0
alb,oap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alb,ocr,0,0,0,0,0,0,0,0,12.12984085,8.550308228,9.23033905,0,0,0,0,0,0,0
alb,osd,0,0,0,0,0,0,0,0,1.200172424,1.802825332,2.20726943,0,0,0,0,0,0,0
alb,pdr,0,0,0,0,0,0,0,0,0.002496022,0,0,0,0,0,0,0,0,0
alb,pfb,0,0,0,0,0,0,0,0,7.29E-05,2.13E-07,4.05E-06,0,0,0,0,0,0,0
alb,rmk,0,0,0,0,0,0,0,0,4.279520512,8.388477325,8.872919083,0,0,0,0,0,0,0
alb,v_f,0,0,0,0,0,0,0,0,21.88407516,17.25087166,29.77329636,0,0,0,0,0,0,0
alb,wht,0,0,0,0,0,0,0,0,1.177951813,1.172397375,4.212838173,0,0,0,0,0,0,0
alb,wol,0,0,0,0,0,0,0,0,0.065900669,0.129174814,0.136634767,0,0,0,0,0,0,0
arg,c_b,0,0,0,0,0,0,0,0.157366335,8.86348629,26.20328903,0.000668515,2.600952387,0.010918915,0,0,0,0,0
arg,ctl,0,0,0,0,0,0,296.2757263,45.03123093,23.8582325,23.1999855,40.93942261,173.168869,140.5568085,13.85628223,0,0,0,0
arg,frs,0,0,0,0,0,0,21.63899994,14.4407711,25.20791817,24.4121685,0,56.90060425,1.173090458,52.19210815,9.517715454,0,0,0
arg,gro,0,0,0,0,0,0,2.55221343,20.14273453,49.60817719,101.0677338,84.12901306,169.0119019,0.091650195,0.007120094,0,0,0,0
arg,oap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
