# File: A_an_subsector.csv
# Title: Subsectors of animal production
# Units: Various
# Source: NA
# Column types: ccnciccccc 
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
Beef,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Beef,Pastoral,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Dairy,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Dairy,Pastoral,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Pork,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Poultry,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
SheepGoat,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
SheepGoat,Pastoral,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Beef,Imports,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Dairy,Imports,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Pork,Imports,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Poultry,Imports,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
SheepGoat,Imports,0,start-year,1,share-weight,final-calibration-year,end-year,fixed,
