# File: A_agTradedSubsector.csv
# Title: Subsector assumptions for traded agricultural markets
# Units: Various
# Source: NA
# Column types: ccncnccccic
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,traded,logit.type
traded corn,traded corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded fibercrop,traded fibercrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded misccrop,traded misccrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded oilcrop,traded oilcrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded othergrain,traded othergrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded palmfruit,traded palmfruit,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded rice,traded rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded roottuber,traded roottuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded sugarcrop,traded sugarcrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded wheat,traded wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded beef,traded beef,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded dairy,traded dairy,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded pork,traded pork,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded poultry,traded poultry,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded sheepgoat,traded sheepgoat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded forest,traded forest,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
