# File: A_demand_technology.csv
# Title: Technologies and inputs of agricultural production
# Unit: NA
# Description: Generic information of technologies and inputs of agricultural production
# Source: GCAM assumptions
# Column types: cccccccccn
# ----------
supplysector,subsector0,subsector,technology,apply.to,from.year,to.year,interpolation.function,minicam.energy.input,coefficient
FoodDemand_Staples,Corn,Corn,Corn,share-weight,final-calibration-year,end-year,fixed,regional corn,1
FoodDemand_NonStaples,FiberCrop,FiberCrop,FiberCrop,share-weight,final-calibration-year,end-year,fixed,regional fibercrop,1
FoodDemand_NonStaples,FruitsVeg,Fruits,Fruits,share-weight,final-calibration-year,end-year,fixed,regional fruits,1
FoodDemand_NonStaples,Protein,Plant,Legumes,share-weight,final-calibration-year,end-year,fixed,regional legumes,1
FoodDemand_NonStaples,MiscCrop,MiscCrop,MiscCrop,share-weight,final-calibration-year,end-year,fixed,regional misccrop,1
FoodDemand_NonStaples,Protein,Plant,NutsSeeds,share-weight,final-calibration-year,end-year,fixed,regional nuts_seeds,1
FoodDemand_NonStaples,Oil,OilCrop,OilCrop,share-weight,final-calibration-year,end-year,fixed,regional oilcrop,1
FoodDemand_NonStaples,Oil,Soybean,Soybean,share-weight,final-calibration-year,end-year,fixed,regional soybean,1
FoodDemand_Staples,OtherGrain,OtherGrain,OtherGrain,share-weight,final-calibration-year,end-year,fixed,regional othergrain,1
FoodDemand_NonStaples,Oil,OilPalm,OilPalm,share-weight,final-calibration-year,end-year,fixed,regional oilpalm,1
FoodDemand_Staples,Rice,Rice,Rice,share-weight,final-calibration-year,end-year,fixed,regional rice,1
FoodDemand_Staples,RootTuber,RootTuber,RootTuber,share-weight,final-calibration-year,end-year,fixed,regional root_tuber,1
FoodDemand_NonStaples,SugarCrop,SugarCrop,SugarCrop,share-weight,final-calibration-year,end-year,fixed,regional sugarcrop,1
FoodDemand_NonStaples,FruitsVeg,Vegetables,Vegetables,share-weight,final-calibration-year,end-year,fixed,regional vegetables,1
FoodDemand_Staples,Wheat,Wheat,Wheat,share-weight,final-calibration-year,end-year,fixed,regional wheat,1
FoodDemand_NonStaples,Protein,Animal,Beef,share-weight,final-calibration-year,end-year,fixed,regional beef,1
FoodDemand_NonStaples,Protein,Animal,Dairy,share-weight,final-calibration-year,end-year,fixed,regional dairy,1
FoodDemand_NonStaples,Protein,Animal,Pork,share-weight,final-calibration-year,end-year,fixed,regional pork,1
FoodDemand_NonStaples,Protein,Animal,Poultry,share-weight,final-calibration-year,end-year,fixed,regional poultry,1
FoodDemand_NonStaples,Protein,Animal,SheepGoat,share-weight,final-calibration-year,end-year,fixed,regional sheepgoat,1
FoodDemand_NonStaples,Protein,Animal,OtherMeat_Fish,share-weight,final-calibration-year,end-year,fixed,OtherMeat_Fish,1
NonFoodDemand_Crops,Corn,Corn,Corn,share-weight,final-calibration-year,end-year,fixed,regional corn,1
NonFoodDemand_Crops,FiberCrop,FiberCrop,FiberCrop,share-weight,final-calibration-year,end-year,fixed,regional fibercrop,1
NonFoodDemand_Crops,FodderGrass,FodderGrass,FodderGrass,share-weight,final-calibration-year,end-year,fixed,FodderGrass,1
NonFoodDemand_Crops,FodderHerb,FodderHerb,FodderHerb,share-weight,final-calibration-year,end-year,fixed,FodderHerb,1
