# File: A_agSupplySector.csv
# Title: Agriculture supply sector information
# Unit: NA
# Description: agSupplySectors - name / market / unit
# Source: NA
# Column types: ccccccic 
# ----------
AgSupplySector,output.unit,input.unit,price.unit,calPrice,market,logit.exponent,logit.type
Corn,Mt,thous km2,1975$/kg,,global,-3,
FiberCrop,Mt,thous km2,1975$/kg,,global,-3,
FodderGrass,Mt,thous km2,1975$/kg,,regional,-3,
FodderHerb,Mt,thous km2,1975$/kg,,global,-3,
MiscCrop,Mt,thous km2,1975$/kg,,global,-3,
OilCrop,Mt,thous km2,1975$/kg,,global,-3,
OtherGrain,Mt,thous km2,1975$/kg,,global,-3,
PalmFruit,Mt,thous km2,1975$/kg,,global,-3,
Rice,Mt,thous km2,1975$/kg,,global,-3,
Root_Tuber,Mt,thous km2,1975$/kg,,global,-3,
SugarCrop,Mt,thous km2,1975$/kg,,global,-3,
Wheat,Mt,thous km2,1975$/kg,,global,-3,
Forest,billion m3,thous km2,1975$/m3,,global,-3,
biomass,EJ,thous km2,1975$/GJ,,regional,-3,
Pasture,Mt,thous km2,1975$/kg,,regional,-3,
