# File: USDA_crops.csv
# Title: USDA_crops
# Units: Unitless
# Description: Maps crops in USDA cost database to GCAM commodities
# Column types: ccc 
# ----------
USDA_crop,GTAP_crop,GCAM_commodity
Barley,Barley,OtherGrain
Corn,Maize,Corn
Cotton,SeedCotton,FiberCrop
Oats,Oats,OtherGrain
Peanuts,GrndntWShll,NutsSeeds
Rice,PaddyRice,Rice
Sorghum,Sorghum,OtherGrain
Soybeans,Soybeans,Soybean
Sugarbeets,SugarBeets,SugarCrop
Wheat,Wheat,Wheat
