# industrial demand income elasticity as a function of per-capita gdp,
pcgdp_90thousUSD,inc_elas
0,0.9
2.5,0.65
5,0.57
10,0.5
15,0.425
20,0.36
25,0.29
30,0.22
35,0.18
40,0.14
45,0.1
50,0.05
55,0
60,-0.005
