"GCAM_region_ID","GCAM_commodity","year","Food_Mt","ID_R_C_Y"
1,"Corn",1990,3.85787425,"1Corn1990"
2,"Corn",1990,0.119617094,"2Corn1990"
3,"Corn",1990,3.190779616,"3Corn1990"
4,"Corn",1990,2.463074936,"4Corn1990"
5,"Corn",1990,0.084777254,"5Corn1990"
6,"Corn",1990,0.319459108,"6Corn1990"
7,"Corn",1990,7.04476892,"7Corn1990"
8,"Corn",1990,0.483613936,"8Corn1990"
9,"Corn",1990,25.497745782,"9Corn1990"
10,"Corn",1990,20.24967183,"10Corn1990"
11,"Corn",1990,8.468915402,"11Corn1990"
12,"Corn",1990,1.150446818,"12Corn1990"
13,"Corn",1990,0.584912156,"13Corn1990"
14,"Corn",1990,6.600475188,"14Corn1990"
1,"MiscCrop",1990,61.432647058,"1MiscCrop1990"
2,"MiscCrop",1990,6.589785398,"2MiscCrop1990"
3,"MiscCrop",1990,111.60423441,"3MiscCrop1990"
4,"MiscCrop",1990,21.819953194,"4MiscCrop1990"
5,"MiscCrop",1990,3.911537826,"5MiscCrop1990"
6,"MiscCrop",1990,39.212865866,"6MiscCrop1990"
7,"MiscCrop",1990,153.086886944,"7MiscCrop1990"
8,"MiscCrop",1990,26.704663754,"8MiscCrop1990"
9,"MiscCrop",1990,70.79040179,"9MiscCrop1990"
10,"MiscCrop",1990,65.82142956,"10MiscCrop1990"
11,"MiscCrop",1990,48.009558898,"11MiscCrop1990"
12,"MiscCrop",1990,17.532638696,"12MiscCrop1990"
13,"MiscCrop",1990,10.833829186,"13MiscCrop1990"
14,"MiscCrop",1990,82.642955028,"14MiscCrop1990"
1,"OilCrop",1990,6.814609154,"1OilCrop1990"
2,"OilCrop",1990,0.59942645,"2OilCrop1990"
3,"OilCrop",1990,7.871489172,"3OilCrop1990"
4,"OilCrop",1990,2.598094814,"4OilCrop1990"
5,"OilCrop",1990,0.265567264,"5OilCrop1990"
6,"OilCrop",1990,3.059183434,"6OilCrop1990"
7,"OilCrop",1990,12.743690942,"7OilCrop1990"
8,"OilCrop",1990,1.188812268,"8OilCrop1990"
9,"OilCrop",1990,5.610801058,"9OilCrop1990"
10,"OilCrop",1990,5.051104618,"10OilCrop1990"
11,"OilCrop",1990,3.568380784,"11OilCrop1990"
12,"OilCrop",1990,1.059726824,"12OilCrop1990"
13,"OilCrop",1990,0.68615707,"13OilCrop1990"
14,"OilCrop",1990,5.604603834,"14OilCrop1990"
1,"OtherGrain",1990,1.837675982,"1OtherGrain1990"
2,"OtherGrain",1990,0.108841916,"2OtherGrain1990"
3,"OtherGrain",1990,3.130192414,"3OtherGrain1990"
4,"OtherGrain",1990,0.196077626,"4OtherGrain1990"
5,"OtherGrain",1990,0.117155524,"5OtherGrain1990"
6,"OtherGrain",1990,4.759238578,"6OtherGrain1990"
7,"OtherGrain",1990,9.396438696,"7OtherGrain1990"
8,"OtherGrain",1990,0.740388032,"8OtherGrain1990"
9,"OtherGrain",1990,23.103323378,"9OtherGrain1990"
10,"OtherGrain",1990,0.957381114,"10OtherGrain1990"
11,"OtherGrain",1990,0.919975296,"11OtherGrain1990"
12,"OtherGrain",1990,2.082709462,"12OtherGrain1990"
13,"OtherGrain",1990,0.461412062,"13OtherGrain1990"
14,"OtherGrain",1990,20.604630846,"14OtherGrain1990"
1,"PalmFruit",1990,0.377744362,"1PalmFruit1990"
2,"PalmFruit",1990,0.05132098,"2PalmFruit1990"
3,"PalmFruit",1990,1.387088236,"3PalmFruit1990"
4,"PalmFruit",1990,0.074645704,"4PalmFruit1990"
5,"PalmFruit",1990,0.147273576,"5PalmFruit1990"
6,"PalmFruit",1990,1e-06,"6PalmFruit1990"
7,"PalmFruit",1990,1.289234,"7PalmFruit1990"
8,"PalmFruit",1990,0.2939884,"8PalmFruit1990"
9,"PalmFruit",1990,2.239339324,"9PalmFruit1990"
10,"PalmFruit",1990,1.5368481,"10PalmFruit1990"
