"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
8,"MiscCrop",2005,1354,3837,4201,44980,5557,48817,2.83382570162482,10.7069745298738,8.78477595825085
9,"MiscCrop",2005,38113,80846,3529,52688,41642,133535,2.12121848188282,14.9300085009918,3.20673838912636
10,"MiscCrop",2005,19739,92184,4050,55858,23791,148045,4.67014539743655,13.7920987654321,6.22273128493968
11,"MiscCrop",2005,13067,65086,3202,23262,16270,88350,4.98094436366419,7.26483447845097,5.43023970497849
12,"MiscCrop",2005,3309,21621,474,4876,3783,26497,6.53399818676337,10.2869198312236,7.00422944752842
13,"MiscCrop",2005,434,9682,184,6276,618,15958,22.3087557603687,34.1086956521739,25.8220064724919
14,"MiscCrop",2005,27493,83408,7042,54809,34536,138217,3.03379041937948,7.78315819369497,4.00211373639101
1,"OilCrop",2005,30713,79678,1400,5262,32113,84940,2.59427603946212,3.75857142857143,2.64503472114097
2,"OilCrop",2005,7540,12957,130,559,7672,13517,1.7184350132626,4.3,1.76186131386861
3,"OilCrop",2005,12084,29172,2212,6741,14298,35911,2.41410129096326,3.04746835443038,2.51161001538677
4,"OilCrop",2005,79,108,72,143,151,251,1.36708860759494,1.98611111111111,1.66225165562914
5,"OilCrop",2005,1150,1180,25,50,1174,1231,1.02608695652174,2,1.04855195911414
6,"OilCrop",2005,7271,7948,368,446,7639,8394,1.09310961353321,1.21195652173913,1.09883492603744
7,"OilCrop",2005,17160,26930,11382,21531,28542,48460,1.56934731934732,1.89167105956774,1.69784878424778
8,"OilCrop",2005,532,493,414,841,947,1334,0.926691729323308,2.03140096618358,1.40865892291447
9,"OilCrop",2005,16413,14407,483,1171,16896,15577,0.877779808688235,2.42443064182195,0.92193418560606
10,"OilCrop",2005,44454,107887,87,158,44542,108046,2.42693570882260,1.81609195402299,2.42571056530915
