"GCAM_region_ID","year","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18"
1,1990,1,1,1,1,1,1,1.20323133714488,1.22854534226375,1.29305735837483,1,1,1,1,1,1,1,1,1
2,1990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1990,1,1,1,1,1,1,1.54838987038001,1.09788570276518,1,1.16848541109583,1.05218486172201,1,1,1.11486207001901,1,1.02355705645274,1,1
4,1990,1,1,1,1,1,1,1,1,2.5,2.06654609218187,1,1.47047189414511,1,1,2.5,1,1,1
5,1990,1,1,1,1,1,1,1,1.08160209459717,1,1,1,1,1,1,1,1,1,1
6,1990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1990,1,1,1,1.36847100233916,1.42373404882806,1.54992597792182,1,1.41845017716889,1.23318004548920,1.35173928589091,1.53981206183564,1.41089707397835,2.13178956762356,1,1.72954733040622,2.5,2.5,1
8,1990,1.60764225823864,1,1,1,1,1,1,1.29306057796396,1,1.40982839544978,1,1,1,1,1,1,1,1
9,1990,1.03700580636688,1.31191459916553,1,1.02943411016529,1.25892552761205,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1990,1,1,1,1.18033665205683,1.28996739009844,1.14431639684123,1,1.66465566206778,1.52805963096535,1.79853866318430,2.23628572723619,2.07928239120245,1.05444939276567,2.5,1,1.53994088223882,1.09411042458080,1
11,1990,1,1,1,1.23081925296606,1.48246281801341,1.30248859855340,1,1,1.43349287569093,1.26681614908599,2.5,2.5,2.5,1.21823398060533,2.40957069939188,1,1,1
12,1990,1,1,1,1,1,1,1,1.22538085631241,1.11448103536528,1.03439341954528,1.00874173053710,1.16473976707995,1,1,1.21623005742791,1,1,1
13,1990,1,1,1,1,1,1,1,1,1,1.82899700223309,1.81793507612003,1,1,1,1,1,1,1
14,1990,2.5,1.65580453072454,1.38415826192008,1.54801345457290,1.64633313649483,1.21658564287446,2.5,2.12464210981029,1.38391924067928,1.81249583268113,2.5,2.42967647780284,2.27482363122734,2.07305397007133,2.5,2.5,1,1
1,2005,1,1,1,1,1,1,1,1,1.00074480621674,1,1,1,1,1,1,1,1,1
2,2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2005,1,1,1,1.18944714937107,1,1,1.75768721956524,1,1,1.15803541435771,1.19280050653377,1.15037954793857,1,1,1,1,1,1
4,2005,1,1,1,1,1,1,1,1,1,1.01714124206000,1,2.11041115724624,1,1,1,1,1,1
5,2005,1,1,1,1,1,1,1,1.76971153429022,1.15183545907389,1,1,1,1,1,1,1,1,1
6,2005,1,1,1,1,1,1,1,1,1,1,1,1.40898649936673,1,1,1,1,1,1
7,2005,1,1,1,1,1.33968553884610,2.10840370535219,1,1,1.20838420630973,1.19261889552679,1.71382911649220,1.58276892172648,1,1,1,1,1,1
8,2005,1.78323915800430,2.33536934367386,1.38351450808739,1,1,1,1.13655069576078,1.23254086994923,1,1.15148359501587,1,1,1,1,1,1,1,1
9,2005,1.28369559532266,1.05929957636923,1,1.38266619779743,1.75841410154183,1,1,1.03265723923929,1,1,1,1,1,1,1,1,1,1
10,2005,1,1,1,1.12404884011659,1.35141330052548,1.24238763391901,1.08488430183328,1.39215301692735,1.59131871531106,1.79913896293407,2.03280866752565,1.94688734964283,1,1.77520653771806,1.07057252008384,1,1,1
11,2005,1,1,1.77654589508333,1.65849059931814,1.79014607853017,1.26491047671340,1.15357896642426,1,1,1.37336157323092,1.56391991512313,1.27420933962607,2.5,1,1,1,1,1
12,2005,1,1,1,1,1,1,1,1.38818175802763,1.21734063002149,1,1.09869047516218,1,1,1,1,1,1,1
13,2005,1,1,1,1,1,1,1,1,1,1,1.53679176806095,1,1,1,1,1,1,1
14,2005,2.35923319301253,1.87043840820202,1.52551764852377,1.47330653479117,1.96165636381771,1.04511985795275,1.99423763909750,2.01987943400617,2.07261658882083,1,1,1,1,1,1,1,1,1
