"GCAM_region_ID","GCAM_commodity","year","kcalg","ID_R_C_Y"
1,"Beef",1990,1.5,"1Beef1990"
2,"Beef",1990,1.5,"2Beef1990"
3,"Beef",1990,1.5,"3Beef1990"
4,"Beef",1990,1.5,"4Beef1990"
5,"Beef",1990,1.5,"5Beef1990"
6,"Beef",1990,1.5,"6Beef1990"
7,"Beef",1990,1.5,"7Beef1990"
8,"Beef",1990,1.5,"8Beef1990"
9,"Beef",1990,1.5,"9Beef1990"
10,"Beef",1990,1.5,"10Beef1990"
11,"Beef",1990,1.5,"11Beef1990"
12,"Beef",1990,1.5,"12Beef1990"
13,"Beef",1990,1.5,"13Beef1990"
14,"Beef",1990,1.5,"14Beef1990"
1,"Dairy",1990,0.666347987732725,"1Dairy1990"
2,"Dairy",1990,0.76223257993381,"2Dairy1990"
3,"Dairy",1990,0.82378020610698,"3Dairy1990"
4,"Dairy",1990,0.623144856917603,"4Dairy1990"
5,"Dairy",1990,0.720120223757948,"5Dairy1990"
6,"Dairy",1990,0.944132082356644,"6Dairy1990"
7,"Dairy",1990,0.645769320436123,"7Dairy1990"
8,"Dairy",1990,0.8304193113965,"8Dairy1990"
9,"Dairy",1990,0.671132661078514,"9Dairy1990"
10,"Dairy",1990,0.591307944303264,"10Dairy1990"
11,"Dairy",1990,0.652936601091582,"11Dairy1990"
12,"Dairy",1990,0.822398266200524,"12Dairy1990"
13,"Dairy",1990,0.878918958807939,"13Dairy1990"
14,"Dairy",1990,0.656859086619491,"14Dairy1990"
1,"OtherMeat_Fish",1990,1.63545590266977,"1OtherMeat_Fish1990"
2,"OtherMeat_Fish",1990,2.38446595012325,"2OtherMeat_Fish1990"
3,"OtherMeat_Fish",1990,1.95668361669873,"3OtherMeat_Fish1990"
4,"OtherMeat_Fish",1990,0.7902418784879,"4OtherMeat_Fish1990"
5,"OtherMeat_Fish",1990,1.90527559529903,"5OtherMeat_Fish1990"
6,"OtherMeat_Fish",1990,1.06245010886939,"6OtherMeat_Fish1990"
7,"OtherMeat_Fish",1990,1.28689763913799,"7OtherMeat_Fish1990"
8,"OtherMeat_Fish",1990,1.20283080661491,"8OtherMeat_Fish1990"
9,"OtherMeat_Fish",1990,1.15817979796056,"9OtherMeat_Fish1990"
10,"OtherMeat_Fish",1990,2.01133126331617,"10OtherMeat_Fish1990"
11,"OtherMeat_Fish",1990,0.939099248389627,"11OtherMeat_Fish1990"
12,"OtherMeat_Fish",1990,4.36787991861846,"12OtherMeat_Fish1990"
13,"OtherMeat_Fish",1990,0.70036038799264,"13OtherMeat_Fish1990"
14,"OtherMeat_Fish",1990,0.822526053011772,"14OtherMeat_Fish1990"
1,"Pork",1990,3.26,"1Pork1990"
2,"Pork",1990,3.26,"2Pork1990"
3,"Pork",1990,3.26,"3Pork1990"
4,"Pork",1990,3.26,"4Pork1990"
5,"Pork",1990,3.26,"5Pork1990"
6,"Pork",1990,3.26,"6Pork1990"
7,"Pork",1990,3.26,"7Pork1990"
8,"Pork",1990,3.26,"8Pork1990"
9,"Pork",1990,3.26,"9Pork1990"
10,"Pork",1990,3.26,"10Pork1990"
11,"Pork",1990,3.26,"11Pork1990"
12,"Pork",1990,3.26,"12Pork1990"
13,"Pork",1990,3.26,"13Pork1990"
14,"Pork",1990,3.26,"14Pork1990"
1,"Poultry",1990,1.26361482699293,"1Poultry1990"
2,"Poultry",1990,1.26760874950714,"2Poultry1990"
3,"Poultry",1990,1.2941371991004,"3Poultry1990"
4,"Poultry",1990,1.31888710160395,"4Poultry1990"
5,"Poultry",1990,1.27140698354214,"5Poultry1990"
6,"Poultry",1990,1.31561492974601,"6Poultry1990"
7,"Poultry",1990,1.33023424747743,"7Poultry1990"
8,"Poultry",1990,1.27035939750533,"8Poultry1990"
9,"Poultry",1990,1.28629419157040,"9Poultry1990"
10,"Poultry",1990,1.28595012391233,"10Poultry1990"
11,"Poultry",1990,1.29738044932345,"11Poultry1990"
12,"Poultry",1990,1.30756883026798,"12Poultry1990"
13,"Poultry",1990,1.31492283606744,"13Poultry1990"
14,"Poultry",1990,1.34860412751119,"14Poultry1990"
