"GCAM_region_ID","GCAM_commodity","year","Prod_Mt","ID_R_C_Y"
1,"Beef",1990,10.6246,"1Beef1990"
2,"Beef",1990,0.912832,"2Beef1990"
3,"Beef",1990,9.4107918,"3Beef1990"
4,"Beef",1990,0.566812,"4Beef1990"
5,"Beef",1990,2.1977272,"5Beef1990"
6,"Beef",1990,8.3909324,"6Beef1990"
7,"Beef",1990,1.6808874,"7Beef1990"
8,"Beef",1990,0.372246,"8Beef1990"
9,"Beef",1990,3.451588,"9Beef1990"
10,"Beef",1990,10.9528692,"10Beef1990"
11,"Beef",1990,1.8733932,"11Beef1990"
12,"Beef",1990,1.8629304,"12Beef1990"
13,"Beef",1990,0.1471942,"13Beef1990"
14,"Beef",1990,2.1160722,"14Beef1990"
1,"Dairy",1990,84.97464,"1Dairy1990"
2,"Dairy",1990,10.364552,"2Dairy1990"
3,"Dairy",1990,191.153322,"3Dairy1990"
4,"Dairy",1990,8.5324396,"4Dairy1990"
5,"Dairy",1990,16.7663632,"5Dairy1990"
6,"Dairy",1990,116.4249588,"6Dairy1990"
7,"Dairy",1990,8.4713684,"7Dairy1990"
8,"Dairy",1990,8.8842856,"8Dairy1990"
9,"Dairy",1990,20.8996422,"9Dairy1990"
10,"Dairy",1990,47.2038824,"10Dairy1990"
11,"Dairy",1990,19.4509762,"11Dairy1990"
12,"Dairy",1990,43.6809802,"12Dairy1990"
13,"Dairy",1990,1.7868166,"13Dairy1990"
14,"Dairy",1990,53.78015,"14Dairy1990"
1,"OtherMeat_Fish",1990,12.8442082,"1OtherMeat_Fish1990"
2,"OtherMeat_Fish",1990,2.2457628,"2OtherMeat_Fish1990"
3,"OtherMeat_Fish",1990,19.22071,"3OtherMeat_Fish1990"
4,"OtherMeat_Fish",1990,11.6312396,"4OtherMeat_Fish1990"
5,"OtherMeat_Fish",1990,2.2603792,"5OtherMeat_Fish1990"
6,"OtherMeat_Fish",1990,13.8812018,"6OtherMeat_Fish1990"
7,"OtherMeat_Fish",1990,20.74147,"7OtherMeat_Fish1990"
8,"OtherMeat_Fish",1990,0.9508244,"8OtherMeat_Fish1990"
9,"OtherMeat_Fish",1990,7.5440602,"9OtherMeat_Fish1990"
10,"OtherMeat_Fish",1990,21.3797906,"10OtherMeat_Fish1990"
11,"OtherMeat_Fish",1990,12.791289,"11OtherMeat_Fish1990"
12,"OtherMeat_Fish",1990,3.1370306,"12OtherMeat_Fish1990"
13,"OtherMeat_Fish",1990,2.9057358,"13OtherMeat_Fish1990"
14,"OtherMeat_Fish",1990,4.5471178,"14OtherMeat_Fish1990"
1,"Pork",1990,7.2649,"1Pork1990"
2,"Pork",1990,1.1573066,"2Pork1990"
3,"Pork",1990,15.7743066,"3Pork1990"
4,"Pork",1990,1.5290012,"4Pork1990"
5,"Pork",1990,0.3589682,"5Pork1990"
