"GCAM_region_ID","landtype","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18"
1,"Builtupland",0,0,0,0,0,0,11.21228,5.6964,8.68791,40.05188,35.92696,27.39035,0.2605,0.10791,0.09516,0,0,0
2,"Builtupland",0,0,0,0,0,0,0.08217,0.14072,1.09657,5.92834,0.68109,0,0.0991,0.09734,0.96141,0.07265,0,0
3,"Builtupland",0,0,0,0.18101,0,0,0.00481,1.92157,10.68558,43.69086,71.97132,6.02139,0.04247,0.21192,3.00484,0.28867,0,0
4,"Builtupland",0,0,0,0,0,0,0,0,0.01442,7.63816,27.74178,24.02078,0,0,0.01172,0,0,0
5,"Builtupland",0.1052,0.08477,0.15241,0.0361,0.08492,0.87525,0.39714,0.13333,1.61981,1.84823,2.10595,2.847,0,0,0,0.00318,0,0
6,"Builtupland",0,0,0,0,0,0,5.23599,22.3427,14.67333,13.35307,0.30184,0.02449,1.43594,1.74509,10.62534,0.04157,0,0
7,"Builtupland",0,0,0,1.64869,2.10222,6.2107,3.95106,14.05008,21.46872,8.92886,12.08375,29.99928,0.39792,0.27222,0.46287,0.04506,0,0
8,"Builtupland",6.80398,0.01875,0.81969,0,0,0,16.55425,14.72484,3.15217,1.63177,0,0,0,0,0,0,0,0
9,"Builtupland",4.79272,3.14057,3.27905,5.22321,9.54215,5.83677,2.90362,5.08929,6.88926,9.44639,0.73529,0.00854,0,0,0,0,0,0
10,"Builtupland",2.42009,0.99312,1.02212,3.21651,6.35816,10.31907,5.51477,2.11208,3.23726,4.4791,0.96829,12.91693,0.29972,0.23007,0.27367,0.01702,0,0
11,"Builtupland",3.52431,0,0.00514,5.58597,3.61771,4.35211,5.24134,2.81832,0.62869,2.45089,0.63851,1.7182,0.06695,0.15926,0,0,0,0
12,"Builtupland",0,0,0,0,0,0,0,0.34956,1.90818,17.6214,2.94794,0.18382,0,0,0.02558,0.01282,0,0
13,"Builtupland",0,0,0,0,0,0,0,0,0,5.2831,8.45004,0,0,0,0,0,0,0
14,"Builtupland",0.09926,3.09075,13.24812,5.93595,0.42228,0.11935,0.51093,5.63588,3.27207,0.53645,0.15613,0.11097,0.01148,0.00518,0.01032,0.00366,0,0
1,"Cropland",0,0,0,0,0,0,353.43488,274.77366,142.65899,501.44812,380.4844,162.58123,18.6096,3.27318,0.24462,0.01695,0,0
2,"Cropland",0,0,0,0,0,0,86.64308,58.62701,77.73236,68.62726,0.31485,0,30.42134,15.1637,85.75586,4.21109,0,0
3,"Cropland",0,0,0,0.18901,0,0,0.35129,96.81208,208.61102,416.58568,280.01259,56.11769,0.00655,3.39633,23.04775,4.94342,0,0
4,"Cropland",0,0,0,0,0,0,0,0,1.14451,15.77773,11.94342,8.03721,0,0,0.6235,0,0,0
5,"Cropland",0.31315,3.05635,1.56894,1.48484,0.02742,0.0948,46.9518,104.73461,88.76234,27.07956,13.94485,16.42922,0,0,0.00131,0.08801,0.02092,0
6,"Cropland",0,0,0,0,0,0,104.00259,525.71526,461.92744,507.25136,2.63792,2.01894,200.4828,122.88297,197.35278,3.85178,0,0
7,"Cropland",0,0,0,5.63256,81.40985,70.04475,64.27008,253.81143,276.60241,196.75594,231.65519,380.13723,16.52328,18.30449,25.43044,6.67733,0.28087,0
8,"Cropland",25.42816,0.26955,1.59118,0,0,0,84.97608,123.63577,54.04986,13.59566,0,0,0,0,0,0,0,0
9,"Cropland",153.66611,363.44663,294.64863,430.37934,375.68698,145.52918,47.07931,63.15377,125.46587,126.69197,20.46125,1.68743,0,0,0,0,0,0
10,"Cropland",14.29874,19.9967,89.69633,185.94089,323.65833,265.16336,74.54762,78.96174,105.47062,123.3967,81.99287,282.64511,2.73844,4.32736,4.14417,3.75404,0.03334,0.01469
11,"Cropland",29.94095,0,1.64686,200.9919,244.2651,716.16962,147.85356,75.86368,14.57386,30.06188,27.81706,15.62362,8.68943,4.53304,0.4458,0.4466,0,0
12,"Cropland",0,0,0,0,0,0,0,9.48355,67.3105,329.96633,52.82262,1.18131,0,0,0.86547,1.04296,0,0
13,"Cropland",0,0,0,0,0,0,0,0,0,5.5276,13.06102,0,0,0,0,0,0,0
14,"Cropland",26.58772,132.96213,756.45672,313.4229,66.00984,18.63629,62.54912,171.77772,133.55684,14.19809,11.36744,6.80053,0.14749,0.22946,0.79063,0.34511,0,0
1,"Forest",0,0,0,0,0,0,85.65128,168.11112,106.03159,687.14584,566.96608,696.17736,170.98376,617.35484,554.07136,51.8077,0,0
2,"Forest",0,0,0,0,0,0,0,2.06663,564.19968,335.57084,10.86418,0,55.66343,2127.37456,3204.49664,73.4576,0,0
3,"Forest",0,0,0,0,0,0,0,24.03944,192.88679,522.93906,256.86034,56.25651,1.25033,210.65938,674.29619,58.60202,0,0
4,"Forest",0,0,0,0,0,0,0,0,5.4311,142.18055,94.99369,50.38436,0,0,3.67585,0,0,0
5,"Forest",0,0,0,9.7657,5.86274,5.07997,0,0,2.99757,7.93716,115.65676,194.89415,0,0,1.66803,4.11605,2.31104,0
6,"Forest",0,0,0,0,0,0,0.19186,25.66056,479.86713,713.0969,15.75433,6.85075,185.2057,5091.76842,5409.36666,20.02733,0,0
7,"Forest",0,0,0,31.22,183.68083,124.25306,0.30584,56.12961,217.56426,251.596,319.1973,860.32549,0.88108,19.91923,190.70994,9.1665,0,0
8,"Forest",0,0,0,0,0,0,4.59728,6.61599,4.31237,0,0,0,0,0,0,0,0,0
9,"Forest",0,5.20463,50.21363,683.31233,937.22698,2368.61403,0,1.85588,29.50963,52.32079,7.7212,2.47212,0,0,0,0,0,0
10,"Forest",25.7738,31.60214,130.08163,340.34582,1666.09671,5659.32711,40.77526,111.62206,189.77899,146.31344,51.65178,256.81277,2.37927,63.90503,38.36631,53.0349,27.65413,19.89058
11,"Forest",0,0,6.68643,320.05658,620.05574,1947.76002,0,0,0,15.97184,231.95575,102.23702,0,0,2.24772,9.13178,0,0
12,"Forest",0,0,0,0,0,0,0,0,34.19213,334.19643,53.99457,2.45356,0,0,7.95681,8.8699,0,0
13,"Forest",0,0,0,0,0,0,0,0,0,36.14186,25.99017,0,0,0,0,0,0,0
14,"Forest",0,34.86966,327.77424,171.82688,59.0846,49.91407,0,32.3378,57.28691,18.23527,16.75071,49.22471,0,0,0,0,0,0
1,"Otherland",0,0,0,0,0,0,3.52034,0,0,0,0,0,95.77882,187.599,49.36472,0,0,0
2,"Otherland",0,0,0,0,0,0,0,0,0,0,0,0,1728.47952,1084.55456,24.28929,0,0,0
3,"Otherland",0,0,0,0,0,0,0,0,1.79461,0,0,0,6.54234,117.28143,37.54563,0,0,0
4,"Otherland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Otherland",2.88162,0,0,0,0,0,11.72579,0,0,0,0,0,0,0,0,0,0,0
6,"Otherland",0,0,0,0,0,0,195.22388,6.79884,7.10326,7.24725,0,1.92217,424.66708,1861.20647,36.41364,0,0,0
7,"Otherland",0,0,0,0,0,0,1112.17923,0,0.59477,1.16762,0,0,919.07176,419.44562,76.90045,2.84032,0,0
8,"Otherland",1398.39994,2.11965,0,0,0,0,1379.4776,23.55648,0,0,0,0,0,0,0,0,0,0
9,"Otherland",3640.29222,18.25492,2.58221,0,0,0,4785.76592,91.28724,21.24448,4.46872,0,0,0,0,0,0,0,0
10,"Otherland",97.85153,5.03207,1.27084,0,0,0,263.49321,26.71599,0,0,2.19475,0,220.04199,50.83875,36.52851,19.347,0,0
11,"Otherland",43.79148,0,0,0,0,0,292.45044,5.02152,4.50344,0,0,0,57.89124,33.01875,9.63448,0,0,0
12,"Otherland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Otherland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Otherland",13.72161,3.68839,0,0,0,0,39.43163,0.3432,0,0,0,0,27.83932,42.598,7.137,0,0,0
1,"Pastureland",0,0,0,0,0,0,1441.4016,369.3154,54.88174,166.88162,116.74088,70.55496,74.87948,21.09481,1.41075,0.02292,0,0
2,"Pastureland",0,0,0,0,0,0,45.21242,22.09043,33.16552,18.34909,0.12474,0,20.73281,8.73942,52.15466,3.01959,0,0
3,"Pastureland",0,0,0,0.2572,0,0,0.72984,96.5257,74.36592,185.12885,184.062,64.67078,0.82643,8.08534,17.61548,15.62534,0,0
4,"Pastureland",0,0,0,0,0,0,0,0,0.1891,3.5974,0.11605,0.05732,0,0,0.17119,0,0,0
5,"Pastureland",304.89268,230.81606,47.63218,15.22974,0.56728,3.77941,1657.58944,209.08624,123.51972,66.11296,88.2414,98.14418,0,0,4.03182,25.45763,1.74951,0
6,"Pastureland",0,0,0,0,0,0,1467.07923,475.00773,180.27028,176.49305,1.41775,0.62932,740.90068,224.97242,201.26958,4.10009,0,0
