"GCAM_region_ID","GCAM_commodity","year","Prod_bm3","NetExp_bm3","Cons_bm3","ID_R_Y"
1,"Forest",1990,0.495532,0.0201195505744768,0.475412449425523,"11990"
2,"Forest",1990,0.174212,-0.00146041996632995,0.17567241996633,"21990"
3,"Forest",1990,0.3027798048,-0.0170242307273011,0.319804035527301,"31990"
4,"Forest",1990,0.029254,-0.0271875130347452,0.0564415130347452,"41990"
5,"Forest",1990,0.0327195382,0.00248495921814126,0.0302345789818587,"51990"
6,"Forest",1990,0.3526518,0.0138509751064296,0.338800824893570,"61990"
7,"Forest",1990,0.4265242072,-0.00919847613402702,0.435722683334027,"71990"
8,"Forest",1990,0.0019544514,-0.00039105817466434,0.00234550957466434,"81990"
9,"Forest",1990,0.497299116,0.00339109038259527,0.493908025617405,"91990"
10,"Forest",1990,0.3589125552,0.00254099673596064,0.356371558464039,"101990"
11,"Forest",1990,0.3730172788,0.0203362696054681,0.352681009194532,"111990"
12,"Forest",1990,0.0748492,0.00197490728302378,0.0728742927169762,"121990"
13,"Forest",1990,0.0039109882,-0.00840801490319728,0.0123190031031973,"131990"
14,"Forest",1990,0.300793084,-0.00102903596583098,0.301822119965831,"141990"
1,"Forest",2005,0.451955309,0.00767391004317508,0.444281398956825,"12005"
2,"Forest",2005,0.1871118,-0.00105054560287388,0.188162345602874,"22005"
3,"Forest",2005,0.3544578144,-0.0357038490961786,0.390161663496179,"32005"
4,"Forest",2005,0.016352023,-0.0112119044128756,0.0275639274128756,"42005"
5,"Forest",2005,0.05174944,0.00696939218480207,0.0447800478151979,"52005"
6,"Forest",2005,0.237487676,0.0537942398410573,0.183693436158943,"62005"
7,"Forest",2005,0.3472495316,-0.0321306468429221,0.379380178442922,"72005"
8,"Forest",2005,0.0017580332,-0.000545671154874757,0.00230370435487476,"82005"
9,"Forest",2005,0.6420558468,0.00408155930423226,0.637974287495768,"92005"
10,"Forest",2005,0.4605954676,0.00285435747134050,0.45774111012866,"102005"
11,"Forest",2005,0.3253754452,0.00983281454791396,0.315542630652086,"112005"
12,"Forest",2005,0.0987511744,0.00488204255290366,0.0938691318470963,"122005"
13,"Forest",2005,0.0047435848,-0.00638865077035379,0.0111322355703538,"132005"
14,"Forest",2005,0.3272016784,-0.00305704806534618,0.330258726465346,"142005"
