"GCAM_region_ID","commodity","system","feed","year","Prod_Mt","ID_R_C_S_F_Y"
2,"Pork","Mixed","FeedCrops",1990,0.9825533034,"2PorkMixedFeedCrops1990"
3,"Pork","Mixed","FeedCrops",1990,10.884271554,"3PorkMixedFeedCrops1990"
4,"Pork","Mixed","FeedCrops",1990,0.909755714,"4PorkMixedFeedCrops1990"
5,"Pork","Mixed","FeedCrops",1990,0.2078425878,"5PorkMixedFeedCrops1990"
6,"Pork","Mixed","FeedCrops",1990,3.86373531434633,"6PorkMixedFeedCrops1990"
7,"Pork","Mixed","FeedCrops",1990,8.83361066,"7PorkMixedFeedCrops1990"
8,"Pork","Mixed","FeedCrops",1990,0.00764935,"8PorkMixedFeedCrops1990"
9,"Pork","Mixed","FeedCrops",1990,0.327465208582578,"9PorkMixedFeedCrops1990"
10,"Pork","Mixed","FeedCrops",1990,2.15676924220613,"10PorkMixedFeedCrops1990"
11,"Pork","Mixed","FeedCrops",1990,0.507100611809386,"11PorkMixedFeedCrops1990"
12,"Pork","Mixed","FeedCrops",1990,4.2527063808,"12PorkMixedFeedCrops1990"
13,"Pork","Mixed","FeedCrops",1990,0.4910178,"13PorkMixedFeedCrops1990"
14,"Pork","Mixed","FeedCrops",1990,0.2469677,"14PorkMixedFeedCrops1990"
1,"Poultry","Mixed","FeedCrops",1990,12.5511062604,"1PoultryMixedFeedCrops1990"
2,"Poultry","Mixed","FeedCrops",1990,0.8819865366,"2PoultryMixedFeedCrops1990"
3,"Poultry","Mixed","FeedCrops",1990,10.1143724127978,"3PoultryMixedFeedCrops1990"
4,"Poultry","Mixed","FeedCrops",1990,2.874508745,"4PoultryMixedFeedCrops1990"
5,"Poultry","Mixed","FeedCrops",1990,0.5122856502,"5PoultryMixedFeedCrops1990"
6,"Poultry","Mixed","FeedCrops",1990,5.72011022391228,"6PoultryMixedFeedCrops1990"
7,"Poultry","Mixed","FeedCrops",1990,4.55422051,"7PoultryMixedFeedCrops1990"
8,"Poultry","Mixed","FeedCrops",1990,1.3879958352,"8PoultryMixedFeedCrops1990"
9,"Poultry","Mixed","FeedCrops",1990,2.44448447431419,"9PoultryMixedFeedCrops1990"
10,"Poultry","Mixed","FeedCrops",1990,6.8235020124878,"10PoultryMixedFeedCrops1990"
11,"Poultry","Mixed","FeedCrops",1990,1.19116161608429,"11PoultryMixedFeedCrops1990"
12,"Poultry","Mixed","FeedCrops",1990,2.573278752,"12PoultryMixedFeedCrops1990"
13,"Poultry","Mixed","FeedCrops",1990,0.6195568236,"13PoultryMixedFeedCrops1990"
14,"Poultry","Mixed","FeedCrops",1990,1.110734044,"14PoultryMixedFeedCrops1990"
1,"SheepGoat","Mixed","FeedCrops",1990,0.00419813712,"1SheepGoatMixedFeedCrops1990"
2,"SheepGoat","Mixed","FeedCrops",1990,0.0002782919552,"2SheepGoatMixedFeedCrops1990"
3,"SheepGoat","Mixed","FeedCrops",1990,0.0568693489441497,"3SheepGoatMixedFeedCrops1990"
4,"SheepGoat","Mixed","FeedCrops",1990,3.56174e-05,"4SheepGoatMixedFeedCrops1990"
5,"SheepGoat","Mixed","FeedCrops",1990,0.00291032932754794,"5SheepGoatMixedFeedCrops1990"
6,"SheepGoat","Mixed","FeedCrops",1990,0.0981537630481897,"6SheepGoatMixedFeedCrops1990"
7,"SheepGoat","Mixed","FeedCrops",1990,0.0017774085,"7SheepGoatMixedFeedCrops1990"
8,"SheepGoat","Mixed","FeedCrops",1990,0.128435669588761,"8SheepGoatMixedFeedCrops1990"
9,"SheepGoat","Mixed","FeedCrops",1990,0.0532494792530474,"9SheepGoatMixedFeedCrops1990"
10,"SheepGoat","Mixed","FeedCrops",1990,0.000833369676695962,"10SheepGoatMixedFeedCrops1990"
11,"SheepGoat","Mixed","FeedCrops",1990,0.005852258016,"11SheepGoatMixedFeedCrops1990"
12,"SheepGoat","Mixed","FeedCrops",1990,0.0100452299700300,"12SheepGoatMixedFeedCrops1990"
13,"SheepGoat","Mixed","FeedCrops",1990,8.3565e-06,"13SheepGoatMixedFeedCrops1990"
14,"SheepGoat","Mixed","FeedCrops",1990,0.00165132,"14SheepGoatMixedFeedCrops1990"
1,"Beef","Pastoral","FeedCrops",1990,0,"1BeefPastoralFeedCrops1990"
2,"Beef","Pastoral","FeedCrops",1990,0,"2BeefPastoralFeedCrops1990"
3,"Beef","Pastoral","FeedCrops",1990,0,"3BeefPastoralFeedCrops1990"
4,"Beef","Pastoral","FeedCrops",1990,0,"4BeefPastoralFeedCrops1990"
5,"Beef","Pastoral","FeedCrops",1990,0.0178762709674841,"5BeefPastoralFeedCrops1990"
6,"Beef","Pastoral","FeedCrops",1990,0,"6BeefPastoralFeedCrops1990"
7,"Beef","Pastoral","FeedCrops",1990,0,"7BeefPastoralFeedCrops1990"
8,"Beef","Pastoral","FeedCrops",1990,0,"8BeefPastoralFeedCrops1990"
9,"Beef","Pastoral","FeedCrops",1990,0.0035129922167907,"9BeefPastoralFeedCrops1990"
10,"Beef","Pastoral","FeedCrops",1990,0,"10BeefPastoralFeedCrops1990"
11,"Beef","Pastoral","FeedCrops",1990,0,"11BeefPastoralFeedCrops1990"
12,"Beef","Pastoral","FeedCrops",1990,0,"12BeefPastoralFeedCrops1990"
13,"Beef","Pastoral","FeedCrops",1990,0,"13BeefPastoralFeedCrops1990"
14,"Beef","Pastoral","FeedCrops",1990,0,"14BeefPastoralFeedCrops1990"
1,"Dairy","Pastoral","FeedCrops",1990,0,"1DairyPastoralFeedCrops1990"
2,"Dairy","Pastoral","FeedCrops",1990,0,"2DairyPastoralFeedCrops1990"
3,"Dairy","Pastoral","FeedCrops",1990,0,"3DairyPastoralFeedCrops1990"
4,"Dairy","Pastoral","FeedCrops",1990,0,"4DairyPastoralFeedCrops1990"
5,"Dairy","Pastoral","FeedCrops",1990,0.156632358415347,"5DairyPastoralFeedCrops1990"
6,"Dairy","Pastoral","FeedCrops",1990,0,"6DairyPastoralFeedCrops1990"
7,"Dairy","Pastoral","FeedCrops",1990,0,"7DairyPastoralFeedCrops1990"
8,"Dairy","Pastoral","FeedCrops",1990,0,"8DairyPastoralFeedCrops1990"
9,"Dairy","Pastoral","FeedCrops",1990,0.0134279435496354,"9DairyPastoralFeedCrops1990"
10,"Dairy","Pastoral","FeedCrops",1990,0,"10DairyPastoralFeedCrops1990"
11,"Dairy","Pastoral","FeedCrops",1990,0,"11DairyPastoralFeedCrops1990"
12,"Dairy","Pastoral","FeedCrops",1990,0,"12DairyPastoralFeedCrops1990"
13,"Dairy","Pastoral","FeedCrops",1990,0,"13DairyPastoralFeedCrops1990"
14,"Dairy","Pastoral","FeedCrops",1990,0,"14DairyPastoralFeedCrops1990"
1,"SheepGoat","Pastoral","FeedCrops",1990,0,"1SheepGoatPastoralFeedCrops1990"
2,"SheepGoat","Pastoral","FeedCrops",1990,0,"2SheepGoatPastoralFeedCrops1990"
3,"SheepGoat","Pastoral","FeedCrops",1990,0,"3SheepGoatPastoralFeedCrops1990"
4,"SheepGoat","Pastoral","FeedCrops",1990,0,"4SheepGoatPastoralFeedCrops1990"
5,"SheepGoat","Pastoral","FeedCrops",1990,0,"5SheepGoatPastoralFeedCrops1990"
6,"SheepGoat","Pastoral","FeedCrops",1990,0,"6SheepGoatPastoralFeedCrops1990"
7,"SheepGoat","Pastoral","FeedCrops",1990,0,"7SheepGoatPastoralFeedCrops1990"
8,"SheepGoat","Pastoral","FeedCrops",1990,0,"8SheepGoatPastoralFeedCrops1990"
9,"SheepGoat","Pastoral","FeedCrops",1990,0,"9SheepGoatPastoralFeedCrops1990"
10,"SheepGoat","Pastoral","FeedCrops",1990,0,"10SheepGoatPastoralFeedCrops1990"
11,"SheepGoat","Pastoral","FeedCrops",1990,0,"11SheepGoatPastoralFeedCrops1990"
12,"SheepGoat","Pastoral","FeedCrops",1990,0,"12SheepGoatPastoralFeedCrops1990"
13,"SheepGoat","Pastoral","FeedCrops",1990,0,"13SheepGoatPastoralFeedCrops1990"
14,"SheepGoat","Pastoral","FeedCrops",1990,0,"14SheepGoatPastoralFeedCrops1990"
1,"Beef","Mixed","FodderHerb_Residue",1990,1.70854293764425,"1BeefMixedFodderHerb_Residue1990"
2,"Beef","Mixed","FodderHerb_Residue",1990,0.128024688,"2BeefMixedFodderHerb_Residue1990"
3,"Beef","Mixed","FodderHerb_Residue",1990,3.14728510369558,"3BeefMixedFodderHerb_Residue1990"
4,"Beef","Mixed","FodderHerb_Residue",1990,0.026073352,"4BeefMixedFodderHerb_Residue1990"
5,"Beef","Mixed","FodderHerb_Residue",1990,0.126759012314887,"5BeefMixedFodderHerb_Residue1990"
6,"Beef","Mixed","FodderHerb_Residue",1990,1.53870916882683,"6BeefMixedFodderHerb_Residue1990"
7,"Beef","Mixed","FodderHerb_Residue",1990,0.35601195132,"7BeefMixedFodderHerb_Residue1990"
8,"Beef","Mixed","FodderHerb_Residue",1990,0.0308886167158506,"8BeefMixedFodderHerb_Residue1990"
9,"Beef","Mixed","FodderHerb_Residue",1990,0.470576976271763,"9BeefMixedFodderHerb_Residue1990"
