"GCAM_region_ID","Land_Type","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18","ID_R_LT"
1,"Forest",0,0,0,0,0,0,35.796832713,23.053107129,4.735830541,62.801546765,155.063521447,107.768708982,10.87544675,7.730457818,2.285940729,1.476562587,0,0,"1Forest"
1,"Grassland",0,0,0,0,0,0,686.72208521,323.587854451,55.688436737,152.223332064,66.211277215,8.161042055,23.587602788,3.006404394,1.14101613,0,0,0,"1Grassland"
1,"RockIceDesert",0,0,0,0,0,0,3.393686801,0.133312562,0,0,0,0,0,0.000117675,0.000135825,0,0,0,"1RockIceDesert"
1,"Shrubland",0,0,0,0,0,0,529.75728931,43.855198713,8.226441371,0.685909531,0.00382559,0,19.375412509,1.159040767,0.006996614,0,0,0,"1Shrubland"
1,"Tundra",0,0,0,0,0,0,0.05675586,0.107335389,0.00601779,0,0.016252501,0,0.421494973,0.183751701,0.157784099,0.00688792,0,0,"1Tundra"
2,"Forest",0,0,0,0,0,0,0.52502431,1.716881004,16.088249901,17.208505353,0.111922028,0,0.35951048,0.942248561,30.690104269,2.473686091,0,0,"2Forest"
2,"Grassland",0,0,0,0,0,0,29.235760568,10.77062321,6.257684013,3.035969775,0,0,12.022700873,4.313987161,12.325137888,0.765392542,0,0,"2Grassland"
2,"RockIceDesert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245287,0,0,0,"2RockIceDesert"
2,"Shrubland",0,0,0,0,0,0,0.62970839,0,0,0,0,0,0.1256655,0.00966615,0.01112208,0,0,0,"2Shrubland"
2,"Tundra",0,0,0,0,0,0,0.01870233,0.02134261,0,0,0,0,0,0.004667758,0.311306871,0.018148576,0,0,"2Tundra"
3,"Forest",0,0,0,0,0,0,0,7.034462845,29.745349514,140.337378218,156.646514514,41.317443773,0.474820955,9.969763892,14.561871957,18.834096962,0,0,"3Forest"
3,"Grassland",0,0,0,0.00512931,0,0,0.2239426,72.937707867,26.692213266,17.414304024,3.958871895,0.726734943,0,1.317807548,2.558068637,0.254428723,0,0,"3Grassland"
3,"RockIceDesert",0,0,0,0,0,0,0,0.007463114,0.0201236,0.04169216,0.00321203,0,0.017908565,2.522827188,0.601242696,0.00138051,0,0,"3RockIceDesert"
3,"Shrubland",0,0,0,0.06861129,0,0,0.287589021,5.867675546,49.842220693,47.503733199,5.241373734,0.355457566,0,0.1394735,0.209542891,0.101497401,0,0,"3Shrubland"
3,"Tundra",0,0,0,0,0,0,0,0.113379419,0.3633484,0.663834203,0.04240624,0,0.380880861,7.677732528,4.291436655,0.066746801,0,0,"3Tundra"
4,"Forest",0,0,0,0,0,0,0,0,0.075909901,1.395635154,0.813704734,0.192842873,0,0,0.042217198,0,0,0,"4Forest"
4,"Grassland",0,0,0,0,0,0,0,0,0.012105991,0.116719604,0.054374931,0,0,0,0.005902135,0,0,0,"4Grassland"
4,"RockIceDesert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4RockIceDesert"
4,"Shrubland",0,0,0,0,0,0,0,0,0,0.003732763,0.072273544,0.033752779,0,0,0,0,0,0,"4Shrubland"
4,"Tundra",0,0,0,0,0,0,0,0,0,0.00360256,0,0,0,0,0,0,0,0,"4Tundra"
5,"Forest",0.029651501,0,0.08763492,3.188338733,0.055809541,0.04661814,0.62645141,0.66724703,1.745962421,5.043411107,18.612373204,23.301507937,0,0,0.766624134,1.800484874,1.50733038,0,"5Forest"
5,"Grassland",102.812837907,217.11760441,186.16743722,27.728695507,1.455086666,3.779559204,666.7464142,94.58016975,61.008638993,39.017379559,47.20055749,73.497010644,0,0,4.871405209,27.949198874,4.187588011,0,"5Grassland"
5,"RockIceDesert",0.059309651,0,0,0,0,0,2.499060556,0.021085501,0,0,0,0.0171982,0,0,0.088909699,0,0,0,"5RockIceDesert"
5,"Shrubland",380.968896098,147.171215634,8.133859718,8.061833185,0.494007401,0.320220005,1732.5462798,99.14519644,32.179993658,11.169970858,8.842997009,4.135350785,0,0,0,0,0.172859949,0,"5Shrubland"
5,"Tundra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370962696,0.467324902,0,0,"5Tundra"
6,"Forest",0,0,0,0,0,0,0.828500839,20.501498574,113.825382306,239.796519912,2.542611977,1.420478598,8.15277663,29.719994948,132.131269532,2.977773288,0,0,"6Forest"
6,"Grassland",0,0,0,0,0,0,644.097309182,343.794025193,79.108513701,26.0519641,0.0223686,0,745.039065348,143.510613994,74.758518422,0.92849459,0,0,"6Grassland"
6,"RockIceDesert",0,0,0,0,0,0,45.561768955,3.082275686,0.00610318,0.0033194,0,0,2.854162347,1.154040119,0.023184724,0,0,0,"6RockIceDesert"
6,"Shrubland",0,0,0,0,0,0,716.70393966,109.94127933,9.782384735,0,0,0,16.148751268,10.203235434,0.886341725,0,0,0,"6Shrubland"
6,"Tundra",0,0,0,0,0,0,0.947060947,3.740863612,2.928085043,2.56811126,0.080794399,0.099357861,29.018986958,22.563231396,11.744208885,0.044450301,0,0,"6Tundra"
7,"Forest",0,0,0,2.616014653,13.899385648,24.79251173,5.17422859,78.439180855,97.096731618,69.141765271,148.227383138,353.838116084,8.02071859,21.035767323,30.284056732,6.273619342,0.510312865,0,"7Forest"
7,"Grassland",0,0,0,0.01456886,2.128945713,5.818175924,590.034149003,381.010171313,53.215769232,17.225347046,36.952607772,21.975163298,193.889311131,340.97096276,150.968366065,71.11674382,3.250034901,0,"7Grassland"
7,"RockIceDesert",0,0,0,0,0.004366155,0.037204701,134.019823207,0.25041533,0.097659826,0.095916689,0.063011121,0.00960092,129.919001412,8.806638763,2.023495415,0.264651738,0,0,"7RockIceDesert"
7,"Shrubland",0,0,0,0.104215732,0.359959009,0.246601761,625.91217842,79.920359126,2.647721907,6.956678686,56.12018609,4.280413,156.603713624,32.849228055,7.206068079,10.964093752,0.1748563,0,"7Shrubland"
7,"Tundra",0,0,0,0,0,0,3.649575402,0.069989659,0.030996901,0.500813369,0.354754104,0,515.270731995,574.197004417,184.30009065,5.568765211,0,0,"7Tundra"
8,"Forest",0,0,0,0,0,0,1.766340211,3.477355309,1.225600271,0,0,0,0,0,0,0,0,0,"8Forest"
8,"Grassland",0.251313303,0.0305446,0.05230589,0,0,0,16.578253427,97.856896901,5.143721584,0.578549042,0,0,0,0,0,0,0,0,"8Grassland"
8,"RockIceDesert",365.310177598,0,0,0,0,0,442.881411117,9.035434565,0.16483362,0,0,0,0,0,0,0,0,0,"8RockIceDesert"
8,"Shrubland",302.819911439,0.03590428,0.141797521,0,0,0,458.337378056,99.38656024,32.920296177,1.075629196,0,0,0,0,0,0,0,0,"8Shrubland"
8,"Tundra",0,0,0,0,0,0,0,0.048128449,0,0,0,0,0,0,0,0,0,0,"8Tundra"
9,"Forest",3.848036292,11.477537328,61.514409653,308.050422286,293.012600065,245.462524343,0.921739865,2.369931255,41.240858078,22.078078195,5.210168903,0.39413757,0,0,0,0,0,0,"9Forest"
9,"Grassland",629.773354077,766.953644496,1129.888474038,1155.35502316,339.045613528,152.737834846,467.838634569,330.796784525,327.934036567,128.821506014,27.612175869,0.509148121,0,0,0,0,0,0,"9Grassland"
9,"RockIceDesert",295.710904091,15.761860752,1.806231389,0.810700253,0.898478782,0.613927961,314.132544761,88.877263469,30.348472765,4.452303909,0,0,0,0,0,0,0,0,"9RockIceDesert"
9,"Shrubland",651.29157672,141.836810865,33.887455097,19.920629078,12.664595297,8.563492294,487.58854514,119.973257058,107.71478428,44.505368406,2.469030635,0.635015487,0,0,0,0,0,0,"9Shrubland"
9,"Tundra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9Tundra"
10,"Forest",12.311230361,18.008672979,62.57733579,133.595569208,552.135375465,535.506440663,48.951836088,65.134693582,63.232764421,32.495716787,16.874284753,142.282742935,6.336053639,27.111800246,4.681404918,4.160137723,1.69416458,0.989519408,"10Forest"
10,"Grassland",5.773783774,4.235290985,18.580427867,235.460978538,694.270989948,217.673093641,475.956773275,133.721595593,70.132199663,49.809963725,68.96979479,529.379727972,97.321751659,33.245662893,16.240181275,11.199032903,0.467147808,0.0135057,"10Grassland"
10,"RockIceDesert",7.589071543,3.247611572,0.117471991,0.333846943,1.188443837,0.147792805,39.82195322,1.770382957,0.1167229,0.310236714,0.05960764,0.208456608,13.80803089,1.74910742,0.390711723,0.259651978,0.052801019,0,"10RockIceDesert"
10,"Shrubland",33.547300975,37.483070462,127.813832372,73.344364847,31.347115265,17.935049403,354.851904238,103.230879496,61.636513763,46.683731063,16.400028794,11.769216854,0.128210798,2.46490808,5.2855653,3.509746808,0,0,"10Shrubland"
10,"Tundra",0.959084533,0.755295011,1.074110321,0.62221291,1.048851398,5.367162262,17.163747439,18.464630504,1.468999982,0.74000068,1.954235198,1.748716202,18.151600314,13.678354664,11.890900158,2.750778918,0,0,"10Tundra"
11,"Forest",0,0,0.185545845,13.702558366,18.555730637,73.740303277,0,0.230970163,0.044574879,1.520032687,8.573626096,3.736045773,0.019234501,0.213890476,0.39321579,0.810400151,0,0,"11Forest"
11,"Grassland",0,0,0.00234508,0.57684543,1.15815707,27.067306482,5.144114017,109.675053938,2.642966908,0.625017941,1.416628857,1.570372708,8.374737911,8.328334704,0.384946112,1.401013799,0,0,"11Grassland"
11,"RockIceDesert",1.365931501,0,0,0.005767172,0,0.00078808,16.668839775,1.470183864,0.010578466,0.03054892,0.059612898,0,2.938112018,0.723953617,0.308146835,0,0,0,"11RockIceDesert"
11,"Shrubland",4.463616917,0,0.02004328,0.064984641,0.118218944,0.047575856,78.777548681,72.121169818,2.771388052,2.287319789,1.814214786,2.594748344,19.892475298,6.402834887,0.372595418,0.26287209,0,0,"11Shrubland"
