"GCAM_region_ID","GCAM_commodity","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18"
1,"Corn",0,0,0,0,0,0,19.34708,17.767681,25.614312,125.570807,58.292116,7.881309,0.011873,0.000399,0,0,0,0
2,"Corn",0,0,0,0,0,0,0.00866,0.00302,0.432667,9.021134,0.006488,0,0,0,0.019864,0.000403,0,0
3,"Corn",0,0,0,0.00147,0,0,4e-05,0.243544,3.95095,12.361908,19.14761,4.226727,7.4e-05,0.071281,0.559853,0.117614,0,0
4,"Corn",0,0,0,0,0,0,0,0,0.008531,0.094391,0.07303,0.04904,0,0,0.004149,0,0,0
5,"Corn",0.002561,0.000408,0.007067,0.004945,0.000186,0.000522,0.045463,0.03817,0.035249,0.027182,0.119333,0.200347,0,0,0,0.003228,0,0
6,"Corn",0,0,0,0,0,0,0.160636,1.70974,2.582038,2.716315,0.031045,0.077532,0.177524,0.308153,0.209316,0.054209,0,0
7,"Corn",0,0,0,0.043799,1.180524,1.048093,3.506646,30.356971,43.19249,17.881358,12.708917,10.697701,0.553033,0.121435,1.249059,0.197344,0.016584,0
8,"Corn",0.057945,0.002652,0.00917,0,0,0,0.448799,0.814439,0.28983,0.05825,0,0,0,0,0,0,0,0
9,"Corn",5.077338,2.389178,3.771781,6.168792,6.655797,2.0206,2.299182,1.817565,3.071688,4.486493,0.479696,0.006761,0,0,0,0,0,0
10,"Corn",0.411613,0.240322,1.981894,6.692063,13.050971,10.658032,0.956349,2.177438,8.315621,7.450874,3.352315,24.876897,0.073583,0.145402,0.093804,0.04946,0,0
11,"Corn",0.000304,0,0.026241,5.371315,4.569121,9.404466,0.725273,0.215167,0.224957,0.558663,0.819563,0.570753,0.015805,0.046348,0.017929,0.008464,0,0
12,"Corn",0,0,0,0,0,0,0,0.724342,3.667732,16.414196,6.687416,0.157561,0,0,0.06244,0.040095,0,0
13,"Corn",0,0,0,0,0,0,0,0,0,0.018242,0.048181,0,0,0,0,0,0,0
14,"Corn",0.000658,0.697243,3.96145,1.953821,0.201754,0.032322,0.007403,0.552872,1.492298,1.804648,0.730667,0.225229,0.001255,0.007263,0.165357,0.002078,0,0
1,"Cotton",0,0,0,0,0,0,3.001778,0.714565,0.626727,0.173985,1.659921,3.653783,0.004546,0,0,0,0,0
2,"Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Cotton",0,0,0,0.00128,0,0,0,0.088522,1.582365,1.99051,0.009064,0,0,0,0,0,0,0
4,"Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Cotton",3e-05,0,0,0,0,0,0.219488,0.259139,0.200416,0.127775,0.049217,0.279118,0,0,0,0,0,0
6,"Cotton",0,0,0,0,0,0,2.004074,2.371798,0.114716,0.000761,0,0,0.240369,0.17504,0.003142,0,0,0
7,"Cotton",0,0,0,6.4e-05,0.014132,0.009786,1.759894,0.721816,3.147058,1.19435,3.649548,3.753083,0.187768,0.00175,0.002396,2.2e-05,0,0
8,"Cotton",0.025359,0.002923,0.017406,0,0,0,0.35935,0.454625,0.542582,0.276616,0,0,0,0,0,0,0,0
9,"Cotton",0.571276,0.268948,0.793077,0.823174,0.582151,0.158232,0.162574,0.009484,0.175738,0.02923,0.007818,0.000278,0,0,0,0,0,0
10,"Cotton",0.030711,0.004524,0.048809,0.222286,1.250177,0.222568,0.246602,0.094027,0.147573,0.131909,0.235482,0.323427,0.002027,0.007688,0.009292,0.009361,0,0
11,"Cotton",0.679573,0,0,0.087346,0.13373,0.006232,3.077909,0.58926,0.230186,0.55999,0.141045,0.024926,0.001812,0.002062,1.7e-05,6.6e-05,0,0
12,"Cotton",0,0,0,0,0,0,0,0,0.028369,0.000166,3.8e-05,0,0,0,0,0,0,0
13,"Cotton",0,0,0,0,0,0,0,0,0,4.4e-05,0,0,0,0,0,0,0,0
14,"Cotton",0.13924,2.110168,1.361162,0.240844,0.04946,0.007951,0.125164,0.437886,0.365371,0.008054,0.000357,0.004909,0,0,0,0,0,0
1,"FiberCrop",0,0,0,0,0,0,7.2e-05,0,0,0.000145,0,0,0,0,0,0,0,0
2,"FiberCrop",0,0,0,0,0,0,0.001881,0.001558,0.000967,0.000437,0,0,0.000434,0.00019,0.000349,2.6e-05,0,0
3,"FiberCrop",0,0,0,0,0,0,0,0,0.019628,0.016074,0.07528,0.016275,0,0,0,0.000229,0,0
4,"FiberCrop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"FiberCrop",0,0,0,0,0,0,0,0,0,3.9e-05,0.001011,0.001474,0,0,0,2.6e-05,0,0
6,"FiberCrop",0,0,0,0,0,0,0,0,0.011935,0.054269,0,0,0,0,0.003315,0,0,0
7,"FiberCrop",0,0,0,0.000265,0.020638,0.015861,0,0.002597,0.006375,0.018289,0.073748,0.011963,0,0,0.000968,0.000153,0,0
8,"FiberCrop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"FiberCrop",0.009209,0.005735,0.004616,0.011525,0.005345,0.006935,0.001982,0.000236,0.000766,0.001545,0.002171,0.000204,0,0,0,0,0,0
10,"FiberCrop",0.000469,0.021709,0.066069,0.058783,0.047622,0.026956,0.001061,0.000783,0.001393,0.004821,0.002708,0.001305,0,0,0,0,0,0
11,"FiberCrop",0,0,0.000872,0.612657,0.743353,0.130667,0,0,0,0.001666,0.014633,0.00079,0,0,0,0,0,0
12,"FiberCrop",0,0,0,0,0,0,0,0,0,0.011739,0,0,0,0,0.000124,0,0,0
13,"FiberCrop",0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0
14,"FiberCrop",0,0,0.080094,1.1638,0.363717,0.037813,0,0,0.008559,7.7e-05,0.010761,0.005297,0,0,0,0,0,0
1,"FodderGrass",0,0,0,0,0,0,1.137839,0.356301,0.098015,0.394957,0.059545,0.109962,0,0,0,0,0,0
2,"FodderGrass",0,0,0,0,0,0,0,0,0,0.000464,0,0,0,0,0,0,0,0
3,"FodderGrass",0,0,0,0,0,0,0,0.54981,0.557029,25.697848,24.675604,4.482021,0,0.073003,0.517613,0.157831,0,0
4,"FodderGrass",0,0,0,0,0,0,0,0,0.044404,0.487297,0.376095,0.23962,0,0,0.022473,0,0,0
5,"FodderGrass",0,0,0,0,0,0.000178,0,0,0,0.001642,0.037753,0.062164,0,0,1.9e-05,0.001254,0,0
6,"FodderGrass",0,0,0,0,0,0,0.564596,5.806463,5.022988,3.334345,0.027187,0.012328,0.910642,1.945642,2.682722,0.020944,0,0
7,"FodderGrass",0,0,0,0.047156,0.117113,2.663126,3.725221,4.221107,1.974739,2.595853,5.949436,27.757949,1.075755,0.324873,0.163788,0.412231,0.012944,0
8,"FodderGrass",1.396004,0,0,0,0,0,2.21143,3.167965,0.517428,0,0,0,0,0,0,0,0,0
9,"FodderGrass",0.137141,0.573005,0.239395,0.343195,0.030876,0,0.133544,0.966843,2.966661,3.15227,0,0,0,0,0,0,0,0
10,"FodderGrass",0.092501,0.005466,1.274587,1.234366,0.298992,1.014603,1.088794,1.455113,2.618784,4.233175,2.769596,35.245663,0,0.000158,0,0,0,0
11,"FodderGrass",0.050397,0,0.040734,0.922596,0.38807,1.182721,0.09468,0.058079,0.002218,0.082078,0.162163,0.107035,0.001744,0.003435,0,0.00307,0,0
12,"FodderGrass",0,0,0,0,0,0,0,0.001098,0,0.20189,0.03023,0,0,0,0.001385,0,0,0
13,"FodderGrass",0,0,0,0,0,0,0,0,0,0.184252,0.458572,0,0,0,0,0,0,0
14,"FodderGrass",1.362051,6.713445,40.009736,16.722626,3.2854,0.852295,3.359686,9.200549,7.114972,0.732767,0.482632,0.289131,0.005067,0.005733,0.03939,0.015191,0,0
1,"FodderHerb",0,0,0,0,0,0,96.195638,114.565541,27.283869,115.57014,31.633811,2.360155,4.242386,1.169536,0.092233,0.008544,0,0
2,"FodderHerb",0,0,0,0,0,0,4.672324,3.897839,20.837631,31.626394,0.099723,0,1.398948,1.310513,14.470122,1.261904,0,0
3,"FodderHerb",0,0,0,0.008804,0,0,0.013532,4.219664,12.995401,106.02106,93.092031,12.584752,0.001491,0.408291,1.446123,0.459142,0,0
