"GCAM_region_ID","year","Land_Type","Total"
1,2005,"Total",9089.774077943
2,2005,"Total",9139.483144622
3,2005,"Total",4175.97283563402
4,2005,"Total",324.579479855
5,2005,"Total",7855.500404963
6,2005,"Total",21256.521298229
7,2005,"Total",11526.717960295
8,2005,"Total",5139.38897052528
9,2005,"Total",29575.871262975
10,2005,"Total",20076.156526838
11,2005,"Total",5824.61909318101
12,2005,"Total",1152.028550034
13,2005,"Total",85.126894789
14,2005,"Total",3020.13045324603
