"GCAM_region_ID","year","Land_Type","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18"
1,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1990,"ExtraCropLand",0,0,0,0,0,0,0.00178254644146333,0,0,0,0,0,0,0.00367586727915215,0,0,0,0
4,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0.340344995919165,5.89857318544773e-09,0,3.68341801504357e-09,0,0,0.155192903375486,0,0,0
5,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0.898814809984804,0,0.00931867374361772,0.626361328748384,0.0624696933442223,0
8,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0.00232891478998631,0,0,0,0,0,0,0,0
9,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1990,"ExtraCropLand",0,0,0,0,0,0,0,0.136446544651307,0,0,0.0590604847457783,0,0,0.353697776926302,0,0.00214083422542211,2.99260561687290e-09,0
11,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0.377936138466538,2.65056202691358,0.493439237182691,0,9.49631956403962e-09,0,0,0
12,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0.0322242897598309,0,0,0.113245160033284,0,0,0
13,1990,"ExtraCropLand",0,0,0,0,0,0,0,0,0,5.69194513744264e-09,0,0,0,0,0,0,0,0
14,1990,"ExtraCropLand",5.16881927705511,0.0463461467530664,0,0,0,0,6.63365699603223,0,0,0.0425539141248699,0.222914198880908,0.0622422987187878,0.00110757023080806,0.000866895339671457,0.550127957611649,0.0254189464797078,0,0
1,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2005,"ExtraCropLand",0,0,0,0.0130995768902012,0,0,0.00584609292938845,0,0,0,0,0,0,0,0,0,0,0
4,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,8.07187827689404e-09,0,0,0,0,0,0
5,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,5.07089659151916e-09,0,0,0,0,0,0
7,2005,"ExtraCropLand",0,0,0,0,0.00435473440475675,0.00587002265982761,0,0,0,0,0,0,0,0,0,0,0,0
8,2005,"ExtraCropLand",0.00248706174380509,0.086051155954212,0.394502108888171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2005,"ExtraCropLand",0,0,0,0,0,0,0.0126567618531368,0.0179574209398226,0,0,0.045169518227496,0,0,0.230616045440441,0,0,0,0
11,2005,"ExtraCropLand",0,0,0.0309088263810242,0,0,0,0,0,0,0,0,0,0.307106575590743,0,0,0,0,0
12,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2005,"ExtraCropLand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2005,"ExtraCropLand",0.0942818725211616,0.0563459013255283,0,0,0,0,1.15346662381487,0,0,0,0,0,0,0,0,0,0,0
