"GCAM_region_ID","GCAM_commodity","year","Prod_bm3","Imp_bm3","Exp_bm3"
1,"Forest",1990,0.495532,0.000687907,0.0209700102
2,"Forest",1990,0.174212,0.0037216874,0.0023213332
3,"Forest",1990,0.3027798048,0.0346116638,0.0176967802
4,"Forest",1990,0.029254,0.0271935826,2.5368e-05
5,"Forest",1990,0.0327195382,1.21186e-05,0.0025074156
6,"Forest",1990,0.3526518,9.46996e-05,0.0140615172
7,"Forest",1990,0.4265242072,0.0099225542,0.00087306
8,"Forest",1990,0.0019544514,0.0003923474,2.0912e-06
9,"Forest",1990,0.497299116,0.0006959674,0.0042559344
10,"Forest",1990,0.3589125552,0.000140844,0.002803691
11,"Forest",1990,0.3730172788,0.0020131072,0.0224699652
12,"Forest",1990,0.0748492,0.001883143,0.0038829674
13,"Forest",1990,0.0039109882,0.008408005,4.2022e-06
14,"Forest",1990,0.300793084,0.0009561666,3.03294e-05
1,"Forest",2005,0.451955309,0.002901659,0.0101465732
2,"Forest",2005,0.1871118,0.0060151058,0.0047828716
3,"Forest",2005,0.3544578144,0.0586911496,0.0226105624
4,"Forest",2005,0.016352023,0.01125688,1.836e-05
5,"Forest",2005,0.05174944,5.386e-06,0.0069315388
6,"Forest",2005,0.237487676,0.0041552928,0.0577721592
7,"Forest",2005,0.3472495316,0.0333394502,0.0008424758
8,"Forest",2005,0.0017580332,0.0005694202,2.15246e-05
9,"Forest",2005,0.6420558468,0.0009450098,0.0044105444
10,"Forest",2005,0.4605954676,0.0003505418,0.0027629068
11,"Forest",2005,0.3253754452,0.0014468454,0.0109749736
12,"Forest",2005,0.0987511744,0.004089222,0.008880625
13,"Forest",2005,0.0047435848,0.0063994,0
14,"Forest",2005,0.3272016784,0.0033806818,4.7376e-06
