"GCAM_region_ID","GCAM_commodity","year","HA_bm2"
1,"Corn",1990,270.554926
2,"Corn",1990,10.369566
3,"Corn",1990,45.83787
4,"Corn",1990,0.392296
5,"Corn",1990,0.764624
6,"Corn",1990,33.954894
7,"Corn",1990,220.824444
8,"Corn",1990,2.224864
9,"Corn",1990,252.33921
10,"Corn",1990,264.96427
11,"Corn",1990,106.961518
12,"Corn",1990,69.248248
13,"Corn",1990,0.231296
14,"Corn",1990,59.076
1,"Cotton_Total",1990,46.3972
2,"Cotton_Total",1990,0
3,"Cotton_Total",1990,10.241606
4,"Cotton_Total",1990,0
5,"Cotton_Total",1990,2.539
6,"Cotton_Total",1990,31.56196
7,"Cotton_Total",1990,59.68345
8,"Cotton_Total",1990,4.301252
9,"Cotton_Total",1990,37.893142
10,"Cotton_Total",1990,37.773872
11,"Cotton_Total",1990,30.515962
12,"Cotton_Total",1990,0.241714
13,"Cotton_Total",1990,0.005384
14,"Cotton_Total",1990,75.3608
1,"FiberCrop",1990,0
2,"FiberCrop",1990,0.4
3,"FiberCrop",1990,0.678014
4,"FiberCrop",1990,0.00021
5,"FiberCrop",1990,0.0406
6,"FiberCrop",1990,8.437224
7,"FiberCrop",1990,5.95993
8,"FiberCrop",1990,0.000254
9,"FiberCrop",1990,3.972826
10,"FiberCrop",1990,5.084796
11,"FiberCrop",1990,8.658718
12,"FiberCrop",1990,1.131118
13,"FiberCrop",1990,0.006444
14,"FiberCrop",1990,10.4712
1,"FodderGrass",1990,85.24126
2,"FodderGrass",1990,0
3,"FodderGrass",1990,36.215754
4,"FodderGrass",1990,2.5332
5,"FodderGrass",1990,14.1581
6,"FodderGrass",1990,33.441992
7,"FodderGrass",1990,19.60387
8,"FodderGrass",1990,3.798042
9,"FodderGrass",1990,10.2524
10,"FodderGrass",1990,83.20133
11,"FodderGrass",1990,3.484148
12,"FodderGrass",1990,8.655174
13,"FodderGrass",1990,1.49
14,"FodderGrass",1990,81.67
1,"FodderHerb",1990,135.71046
2,"FodderHerb",1990,2.1064
3,"FodderHerb",1990,116.403978
4,"FodderHerb",1990,1.39277
5,"FodderHerb",1990,3.720956
6,"FodderHerb",1990,195.853474
7,"FodderHerb",1990,0.286312
8,"FodderHerb",1990,9.338186
9,"FodderHerb",1990,14.044188
10,"FodderHerb",1990,44.270048
11,"FodderHerb",1990,0
12,"FodderHerb",1990,68.188426
13,"FodderHerb",1990,0
14,"FodderHerb",1990,0
1,"MiscCrop",1990,37.360392
2,"MiscCrop",1990,6.177012
3,"MiscCrop",1990,160.723484
4,"MiscCrop",1990,10.090122
5,"MiscCrop",1990,18.701362
6,"MiscCrop",1990,102.545128
7,"MiscCrop",1990,214.16605
8,"MiscCrop",1990,43.915738
9,"MiscCrop",1990,339.241462
10,"MiscCrop",1990,261.362442
11,"MiscCrop",1990,148.30032
12,"MiscCrop",1990,46.057704
13,"MiscCrop",1990,6.343024
14,"MiscCrop",1990,343.918556
1,"OilCrop",1990,252.270912
2,"OilCrop",1990,43.499154
3,"OilCrop",1990,112.639254
4,"OilCrop",1990,1.615714
5,"OilCrop",1990,3.335436
6,"OilCrop",1990,70.287018
7,"OilCrop",1990,188.92034
8,"OilCrop",1990,7.7607
9,"OilCrop",1990,130.236274
10,"OilCrop",1990,212.487054
11,"OilCrop",1990,58.18888
12,"OilCrop",1990,29.09491
13,"OilCrop",1990,2.540798
14,"OilCrop",1990,237.9314
1,"OtherGrain",1990,99.4837
2,"OtherGrain",1990,61.976688
3,"OtherGrain",1990,223.808466
4,"OtherGrain",1990,1.31551
5,"OtherGrain",1990,44.86858
6,"OtherGrain",1990,532.334196
7,"OtherGrain",1990,85.80014
8,"OtherGrain",1990,72.826212
9,"OtherGrain",1990,425.716712
10,"OtherGrain",1990,56.912898
11,"OtherGrain",1990,20.44318
12,"OtherGrain",1990,96.47944
13,"OtherGrain",1990,1.643666
14,"OtherGrain",1990,302.448208
1,"PalmFruit",1990,0.01065
2,"PalmFruit",1990,0
3,"PalmFruit",1990,0.0056
4,"PalmFruit",1990,0
5,"PalmFruit",1990,0.0909
6,"PalmFruit",1990,0
7,"PalmFruit",1990,2.750686
8,"PalmFruit",1990,0
9,"PalmFruit",1990,39.204686
10,"PalmFruit",1990,8.764758
11,"PalmFruit",1990,95.931192
12,"PalmFruit",1990,0
13,"PalmFruit",1990,0
14,"PalmFruit",1990,14.8788
1,"Rice",1990,11.59296
2,"Rice",1990,0
3,"Rice",1990,4.066274
4,"Rice",1990,20.872
5,"Rice",1990,1.0468
6,"Rice",1990,6.340492
7,"Rice",1990,414.265648
8,"Rice",1990,6.144608
9,"Rice",1990,62.845938
10,"Rice",1990,70.482882
11,"Rice",1990,440.189028
12,"Rice",1990,0.656562
13,"Rice",1990,12.253172
14,"Rice",1990,422.026032
1,"Root_Tuber",1990,5.728528
2,"Root_Tuber",1990,1.175456
3,"Root_Tuber",1990,20.78903
4,"Root_Tuber",1990,2.17876
5,"Root_Tuber",1990,0.50832
6,"Root_Tuber",1990,61.351978
7,"Root_Tuber",1990,102.343366
8,"Root_Tuber",1990,2.103828
9,"Root_Tuber",1990,146.155484
10,"Root_Tuber",1990,41.275104
11,"Root_Tuber",1990,43.793276
