"GCAM_region_ID","GCAM_commodity","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18"
1,"Corn",0,0,0,0,0,0,18.74992,23.09609,29.95595,141.26039,75.42903,11.7533,0.01396,0.00043,0,0,0,0
2,"Corn",0,0,0,0,0,0,0.00889,0.0031,0.68134,12.25851,0.0062,0,0,0,0.02944,0.00037,0,0
3,"Corn",0,0,0,0.00148,0,0,0.00011,0.44679,5.60691,14.93655,21.74545,5.19356,0.00019,0.08709,0.66234,0.13203,0,0
4,"Corn",0,0,0,0,0,0,0,0,0.00886,0.09804,0.07585,0.05093,0,0,0.00431,0,0,0
5,"Corn",0.00359,0.00095,0.0165,0.01154,0.00044,0.00097,0.08977,0.06484,0.05928,0.05247,0.12756,0.21114,0,0,0,0.00286,0,0
6,"Corn",0,0,0,0,0,0,0.61028,6.33989,9.2997,8.46405,0.14571,0.36584,0.49253,0.84082,0.92423,0.24799,0,0
7,"Corn",0,0,0,0.09311,3.9637,3.8045,5.99704,57.81656,77.73012,38.12569,35.81408,34.244,0.85694,0.23816,1.95687,0.66436,0.07236,0
8,"Corn",0.37405,0.00196,0.01215,0,0,0,0.87523,1.43916,0.62932,0.18741,0,0,0,0,0,0,0,0
9,"Corn",11.82714,17.47715,29.0762,46.97805,51.46354,16.66209,5.28623,10.88181,17.61568,16.70744,2.51523,0.03925,0,0,0,0,0,0
10,"Corn",1.13218,1.24531,14.11674,34.40851,49.79657,44.93775,5.11871,7.91526,20.91317,19.37139,7.01266,61.91439,0.19092,0.46959,0.31722,0.15416,0,0
11,"Corn",0.00555,0,0.14919,17.46181,16.39963,44.10706,4.04464,1.39842,1.27374,3.09875,4.36184,3.24195,0.11739,0.24768,0.10404,0.05391,0,0
12,"Corn",0,0,0,0,0,0,0,2.23554,11.49376,40.8432,14.26112,0.27877,0,0,0.12409,0.13577,0,0
13,"Corn",0,0,0,0,0,0,0,0,0,0.04874,0.11738,0,0,0,0,0,0,0
14,"Corn",0.00432,5.09067,23.75322,10.43901,1.44174,0.32159,0.03692,5.97446,11.11405,3.59803,2.35705,0.82325,0.01234,0.01276,0.15111,0.0246,0,0
1,"Cotton",0,0,0,0,0,0,19.53555,2.54251,2.02453,0.87203,7.9732,19.44034,0.01218,0,0,0,0,0
2,"Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Cotton",0,0,0,0.00382,0,0,0,0.30098,4.95687,6.14526,0.03329,0,0,0,0,0,0,0
4,"Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Cotton",9e-05,0,0,0,0,0,0.68945,0.6323,0.49323,0.30336,0.12905,0.62013,0,0,0,0,0,0
6,"Cotton",0,0,0,0,0,0,10.50432,11.53964,0.99271,0.00761,0,0,1.28255,0.87157,0.02671,0,0,0
7,"Cotton",0,0,0,0.00065,0.1112,0.18026,4.74478,1.92663,11.69368,3.84654,11.85882,10.92486,0.48894,0.0038,0.00962,0.00024,0,0
8,"Cotton",0.2486,0.00722,0.04297,0,0,0,1.63831,1.60938,1.46216,0.68339,0,0,0,0,0,0,0,0
9,"Cotton",2.57981,2.8744,8.71328,10.41176,6.68824,2.07055,0.75255,0.08525,1.931,0.32679,0.09834,0.00265,0,0,0,0,0,0
10,"Cotton",0.12388,0.05127,0.60958,1.02355,5.08881,1.18184,0.87946,0.6344,1.03888,1.09651,2.00114,2.63196,0.01193,0.04535,0.05552,0.0556,0,0
11,"Cotton",3.29522,0,0,0.77477,2.2554,0.08161,17.98925,3.52316,1.38346,3.4017,0.98351,0.19988,0.01128,0.01284,0.00019,0.00073,0,0
12,"Cotton",0,0,0,0,0,0,0,0,0.15213,0.0032,0.00088,0,0,0,0,0,0,0
13,"Cotton",0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0
14,"Cotton",1.55769,32.03836,23.23966,3.78119,0.56755,0.24331,1.64502,5.61455,4.47225,0.04896,0.00452,0.05699,0,0,0,0,0,0
1,"FiberCrop",0,0,0,0,0,0,0.00085,0,0,0.00121,0,0,0,0,0,0,0,0
2,"FiberCrop",0,0,0,0,0,0,0.01569,0.013,0.00806,0.00365,0,0,0.00362,0.00159,0.00291,0.00022,0,0
3,"FiberCrop",0,0,0,0,0,0,0,0,0.26207,0.20517,0.55765,0.11886,0,0,0,0.00322,0,0
4,"FiberCrop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"FiberCrop",0,0,0,0,0,0,0,0,0,0.00077,0.01983,0.0289,0,0,0,0.00052,0,0
6,"FiberCrop",0,0,0,0,0,0,0,0,0.28167,1.25839,0,0,0,0,0.07417,0,0,0
7,"FiberCrop",0,0,0,0.00767,0.0369,0.02689,0,0.0121,0.02755,0.18143,0.30628,0.05143,0,0,0.00952,0.00103,0,0
8,"FiberCrop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"FiberCrop",0.17175,0.50568,0.27741,0.52426,0.33717,0.09331,0.02108,0.03363,0.10927,0.22059,0.30983,0.02905,0,0,0,0,0,0
10,"FiberCrop",0.0055,0.24149,0.73759,0.64239,0.52811,0.26901,0.01256,0.00835,0.01442,0.04576,0.02208,0.01164,0,0,0,0,0,0
11,"FiberCrop",0,0,0.00432,3.62199,4.81932,3.12992,0,0,0,0.01617,0.09365,0.005,0,0,0,0,0,0
12,"FiberCrop",0,0,0,0,0,0,0,0,0,0.06845,0,0,0,0,0.00088,0,0,0
