# UC Davis transportation database,,,,,,,,,,,,,,
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2020,2035,2050,2065,2080,2095
Africa,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,8478.317463,,,,,,
Africa,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478.317463,,,,,,
Africa,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10390.53113,,,,,,
Africa,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10390.53113,,,,,,
Africa,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10390.53113,,,,,,
Africa,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,10390.53113,,,,,,
Australia_NZ,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3437.5,,,,,,
Australia_NZ,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,11080.85693,,,,,,
Australia_NZ,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,11080.85693,,,,,,
Australia_NZ,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,13543.26958,,,,,,
Australia_NZ,Passenger,LDV_4W,Light Truck and SUV,All,All,annual travel per vehicle,vkt/veh/yr,13543.26958,,,,,,
Brazil,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,6793.775974,,,,,,
Brazil,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,9058.367965,,,,,,
Brazil,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,9058.367965,,,,,,
Brazil,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,15213.76028,,,,,,
Brazil,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,15213.76028,,,,,,
Brazil,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,15213.76028,,,,,,
Brazil,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,34089.58789,,,,,,
Canada,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,4000,,,,,,
Canada,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,14637.93103,,,,,,
