# Other countries - per-capita floorspace. Unit = m2/cap,,,,,
country,iso,gcam.consumer,2004,2005,source
South Africa,zaf,resid,13,13,Marc Pienaar (see documentation)
South Africa,zaf,comm,1.8,1.8,Marc Pienaar (see documentation)
