# Navigant Research 2012. Global Buildings Stocks,,
region,sector,flsp_bm2
all,comm,35.6
all,resid,109.4
North America,all,34
Latin America,all,14.2
Western Europe,all,22.2
Eastern Europe,all,7.4
Asia-Pacific,all,59.8
Middle East,all,4.6
Africa,all,2.8
