# Source: Rogner 1997 Annual Reviews of Energy and Environment,,,,,,
IIASA_region,resource,grade1,grade2,grade3,grade4,grade5
NAM,crude oil,8.5,8.6,6.7,15.9,
LAM,crude oil,17.4,8.9,15.5,18.9,
WEU,crude oil,5.6,2.1,3.6,5.1,
EEU,crude oil,0.3,0.2,0.6,0.7,
FSU,crude oil,17.1,13.6,19.3,23.4,
MEA,crude oil,87.9,17,21.9,56.2,
AFR,crude oil,4,3.4,4.9,5.4,
CPA,crude oil,5.1,4.7,8.2,7.4,
PAO,crude oil,0.4,0.3,0.6,0.7,
PAS,crude oil,2.9,1.6,2.5,3.4,
SAS,crude oil,1,0.3,0.6,0.8,
NAM,unconventional oil,7.6,98.8,172.8,287.4,
LAM,unconventional oil,2.6,91.5,160.1,270.8,
WEU,unconventional oil,1.3,7.6,13.3,34.6,
EEU,unconventional oil,0,0.5,1,3.8,
FSU,unconventional oil,3.3,19.4,34,125.6,
MEA,unconventional oil,22.3,39.6,69.3,279,
AFR,unconventional oil,1.4,5.1,8.9,29.7,
CPA,unconventional oil,2.3,42.2,73.8,118.7,
PAO,unconventional oil,3.7,25.8,45.1,60.3,
PAS,unconventional oil,0.6,4.8,8.3,23,
SAS,unconventional oil,0.1,0.3,0.5,3.5,
NAM,conventional natural gas,11.8,14.3,15.6,,
LAM,conventional natural gas,7.6,8,13.8,,
WEU,conventional natural gas,7.3,4.9,7.2,,
EEU,conventional natural gas,0.7,0.7,1.2,,
FSU,conventional natural gas,39.1,45,65,,
MEA,conventional natural gas,48.2,23,26.7,,
AFR,conventional natural gas,3.9,5.3,8.4,,
CPA,conventional natural gas,1.1,4.6,7.1,,
PAO,conventional natural gas,2.1,0.5,0.8,,
PAS,conventional natural gas,5.4,3.8,5,,
SAS,conventional natural gas,1.6,1.8,2.6,,
NAM,unconventional natural gas,8.4,35,70,105,6100
LAM,unconventional natural gas,3.9,13,30,44,4571
WEU,unconventional natural gas,3,4,9,13,765
EEU,unconventional natural gas,0.5,1,2,3,1
FSU,unconventional natural gas,20.2,26,45,68,4208
MEA,unconventional natural gas,12.5,13,29,44,203
AFR,unconventional natural gas,2.2,4,9,14,383
CPA,unconventional natural gas,1.6,21,24,36,432
PAO,unconventional natural gas,0.5,14,30,45,1523
PAS,unconventional natural gas,1.9,3,8,11,192
SAS,unconventional natural gas,0.8,1,2,3,381
NAM,hard coal,140,0,104,97,387
LAM,hard coal,6,1,3,7,28
WEU,hard coal,18,3,14,46,185
EEU,hard coal,22,22,26,9,35
FSU,hard coal,88,0,22,506,2025
MEA,hard coal,0,0,0,3,12
AFR,hard coal,37,0,37,16,64
CPA,hard coal,0.4,40,274,165,660
PAO,hard coal,20,147,18,47,188
PAS,hard coal,2,0,1,0,1
SAS,hard coal,7,28,19,7,28
NAM,brown coal,12,0,3,28,111
LAM,brown coal,0,0,0,0,1
WEU,brown coal,9,1,8,1,4
EEU,brown coal,8,4,2,0,2
FSU,brown coal,22,0,2,44,176
MEA,brown coal,0,0,0,0,0
AFR,brown coal,0,0,0,0,0
CPA,brown coal,14,28,22,12,47
PAO,brown coal,9,23,1,0,0
PAS,brown coal,0,0,0,1,3
SAS,brown coal,1,0,0,0,0
