Region: USA,,,,,,,
IndustrySupplySector ,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
105,,,,,,,

Supplysector,Subsector,Technology,Year,1990calOutputValue,,,
food processing,food processing,food processing,1990,0.7161109,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,1990,1.262085184,,,
chemicals,chemicals,chemicals,1990,4.104920634,,,
petroleum,petroleum,petroleum,1990,4.304103694,,,
aluminum,aluminum,aluminum,1990,0.283065157,,,
other primary metals ,other primary metals ,other primary metals ,1990,1.866057854,,,
other nonmetallic minerals,other nonmetallic minerals,other nonmetallic minerals,1990,0.507080302,,,
other manufacturing,other manufacturing,other manufacturing,1990,1.64331137,,,
agriculture,agriculture,agriculture,1990,1.235115156,,,
mining,mining,mining,1990,2.414382585
construction,construction,construction,1990,1.699301045
