cogen gas non-energy cost based on model input cost for gas steam,,,,,,,,,,,,
Gas steam assumption of overall eff of 80% and elec eff of 25%,,,,,,,,,,,,
efficiencies and output-ratio roughly based on,,,,Cogeneration (CHP) Technology Portrait,,,,,,,,
,,,,,Institute for Thermal Turbomachinery and Machine Dynamics,,,,,2002 Austria,,
,,,,,,,,,,,,
,,,,Boilers,efficiency,input-cost,elec eff,output-ratio,logitexp,secondary-output,techchange,
,,,refined liquids,refined liquids cogen,0.6,2.5,0.25,0.417,-6,electricity,0.10%,
,,,gas,gas cogen,0.6,2.5,0.25,0.417,-6,electricity,0.10%,
,,,coal,coal cogen,0.6,2.5,0.2,0.333,-6,electricity,0.10%,
eff and output-ratio are for a steam cycle,,,biomass,biomass cogen,0.55,2.5,0.2,0.364,-6,electricity,0.10%,
,,,,,,,,,,,,
process heat based on gas turbine,,,,Process Heat,efficiency,input-cost,elec eff,output-ratio,logitexp,secondary-output,techchange,
non-energy based on minicam gas turbine for baseload Capacity factor,,,refined liquids,refined liquids cogen,0.75,2.5,0.1,0.133,-6,electricity,0.10%,
,,,gas,gas cogen,0.75,2.5,0.1,0.133,-6,electricity,0.10%,
,,,coal,coal cogen,0.75,2.5,0.1,0.133,-6,electricity,0.10%,
,,,biomass,biomass cogen,0.75,2.5,0.1,0.133,-6,electricity,0.10%,
,,,,,,,,,,,
Tech Scale Year,,,,,,,,,,,
Region: USA,,,,,,,,,,,
don't read,let techs compete on economics in future,,,,,,,,,,
Variable ID,,,,,,,,,,,
201,,only existing techs listed here,,,,,,,,,
,,,,,,,,,,,
supplysector,subsector,techScaleYear,,,,,,,,,
boilers pulp paper and wood,refined liquids,2005,,,,,,,,,
boilers pulp paper and wood,gas,2005,,,,,,,,,
boilers pulp paper and wood,coal,2005,,,,,,,,,
boilers pulp paper and wood,biomass,2005,,,,,,,,,
boilers general,refined liquids,2005,,,,,,,,,
boilers general,gas,2005,,,,,,,,,
boilers general,coal,2005,,,,,,,,,
boilers general,biomass,2005,,,,,,,,,
process heat primary metals,refined liquids,2005,,,,,,,,,
process heat primary metals,gas,2005,,,,,,,,,
process heat primary metals,coal,2005,,,,,,,,,
process heat general,refined liquids,2005,,,,,,,,,
process heat general,gas,2005,,,,,,,,,
process heat general,coal,2005,,,,,,,,,
,,,,,,,,,,,
Set cogen 1990 shareweights to 0 for existing and non-bio techs,,,,,,,,,,,
Region: USA,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
404,,,,,,,,,,,

supplysector,subsector,technology,year,sharewt,,,,,,,
boilers pulp paper and wood,refined liquids,refined liquids cogen,1975,0,,,,,,,
boilers pulp paper and wood,gas,gas cogen,1975,0,,,,,,,
boilers pulp paper and wood,coal,coal cogen,1975,0
boilers pulp paper and wood,biomass,biomass cogen,1975,0
boilers general,refined liquids,refined liquids cogen,1975,0
boilers general,gas,gas cogen,1975,0
boilers general,coal,coal cogen,1975,0
boilers general,biomass,biomass cogen,1975,0
process heat primary metals,refined liquids,refined liquids cogen,1975,0
process heat primary metals,gas,gas cogen,1975,0
process heat primary metals,coal,coal cogen,1975,0
process heat general,refined liquids,refined liquids cogen,1975,0
process heat general,gas,gas cogen,1975,0
process heat general,coal,coal cogen,1975,0
boilers pulp paper and wood,refined liquids,refined liquids cogen,1990,0
boilers pulp paper and wood,gas,gas cogen,1990,0
boilers pulp paper and wood,coal,coal cogen,1990,0
boilers pulp paper and wood,biomass,biomass cogen,1990,0
boilers general,refined liquids,refined liquids cogen,1990,0
boilers general,gas,gas cogen,1990,0
boilers general,coal,coal cogen,1990,0
boilers general,biomass,biomass cogen,1990,0
process heat primary metals,refined liquids,refined liquids cogen,1990,0
process heat primary metals,gas,gas cogen,1990,0
process heat primary metals,coal,coal cogen,1990,0
process heat general,refined liquids,refined liquids cogen,1990,0
process heat general,gas,gas cogen,1990,0
process heat general,coal,coal cogen,1990,0

Region: USA,,,,
Cogen,,,,
INPUT_TABLE,,,,
Variable ID,,,,
403,,,,
,,,,,,minicam-non-energy-input,,,
supplysector,subsector,technology,period,minicam-energy-input,efficiency,input-cost,logitexp,secondary-output,output-ratio
boilers pulp paper and wood,refined liquids,refined liquids cogen,1975,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,1990,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2005,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2020,refined liquids industrial,0.61,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2035,refined liquids industrial,0.62,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2050,refined liquids industrial,0.63,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2065,refined liquids industrial,0.64,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2080,refined liquids industrial,0.65,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen,2095,refined liquids industrial,0.66,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,1975,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,1990,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2005,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2020,wholesale gas,0.61,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2035,wholesale gas,0.62,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2050,wholesale gas,0.63,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2065,wholesale gas,0.64,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2080,wholesale gas,0.65,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen,2095,wholesale gas,0.66,2.5,-6,electricity,0.417
boilers pulp paper and wood,coal,coal cogen,1975,delivered coal,0.60,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,1990,delivered coal,0.60,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2005,delivered coal,0.60,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2020,delivered coal,0.61,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2035,delivered coal,0.62,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2050,delivered coal,0.63,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2065,delivered coal,0.64,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2080,delivered coal,0.65,2.5,-6,electricity,0.333
boilers pulp paper and wood,coal,coal cogen,2095,delivered coal,0.66,2.5,-6,electricity,0.333
boilers pulp paper and wood,biomass,biomass cogen,1975,delivered biomass,0.55,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,1990,delivered biomass,0.55,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2005,delivered biomass,0.55,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2020,delivered biomass,0.56,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2035,delivered biomass,0.57,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2050,delivered biomass,0.58,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2065,delivered biomass,0.58,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2080,delivered biomass,0.59,2.5,-6,electricity,0.364
boilers pulp paper and wood,biomass,biomass cogen,2095,delivered biomass,0.60,2.5,-6,electricity,0.364
,,,,,,,,,
,,,,,,,,,
Region: USA,,,,,,,,,
Cogen,,,,,,,,,
INPUT_TABLE,,,,,,,,,
