Final demand attributes. Also adds final-energy-consumer tag,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
30,,,,,,
,,base-service,,,,
energy-final-demand,perCapitaBased,1990,2005,,,
chemicals,0,6.829780147,7.950969079,,,
food processing,1,1.015311765,0.93289168,,,
iron and steel,0,1.746423293,1.332238403,,,
other nonmetallic minerals,0,0.756026747,0.684445733,,,
other manufacturing,0,1.826914162,1.833577801,,,
aluminum and nonferrous metals,0,0.50680932,0.540126639,,,
pulp paper and wood,1,2.117934936,2.179579099,,,
agriculture,1,0.610728516,0.685462896,,,
construction,0,2.350932526,2.396677959,,,
mining,0,1.299524781,1.207013528,,,
,,,,,,
income elasticities,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
31,,,,,,
,income-elasticity,,,,,
energy-final-demand,2020,2035,2050,2065,2080,2095
chemicals,0.1,0.1,0.1,0.1,0.1,0.1
food processing,0,0,0,0,0,0
iron and steel,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
other nonmetallic minerals,0.15,0.15,0.15,0.15,0.15,0.15
other manufacturing,0.4,0.4,0.4,0.4,0.4,0.4
aluminum and nonferrous metals,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
pulp paper and wood,0,0,0,0,0,0
agriculture,0,0,0,0,0,0
construction,0.3,0.3,0.3,0.3,0.3,0.3
mining,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,
price elasticities,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
32,,,,,,
,price-elasticity,,,,,
energy-final-demand,2020,2035,2050,2065,2080,2095
chemicals,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
food processing,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
iron and steel,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
other nonmetallic minerals,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
other manufacturing,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
aluminum and nonferrous metals,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
pulp paper and wood,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
agriculture,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
construction,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
mining,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
