Summary for Type
Type,SoilCarbon(pgC),VegCarbon(pgC),Area(Km2)
1,1.339094,0.000000,95447.164189
2,5.778488,0.000000,445854.712503
11,41.129923,75.013383,3750669.115782
12,148.445605,246.126751,12306337.452374
21,4.297993,5.829539,416395.631908
22,53.538551,74.992795,5356628.187996
31,1.498828,1.703224,110598.979603
32,10.375221,15.087032,979677.427584
41,3.969589,4.008521,250532.539541
42,43.082817,51.951630,3246976.882682
51,5.129298,4.824210,357348.859024
52,53.438114,59.135516,4380408.562031
61,15.939869,5.785329,642814.310489
62,140.544834,45.971101,5107900.122981
71,5.868514,1.233030,246605.931285
72,39.420811,9.701802,1940360.389478
81,30.723890,15.675400,1521883.427884
82,231.661778,133.112822,12923574.612658
91,20.953115,6.131558,2043852.667624
92,168.929802,50.634120,16878039.851917
101,10.227106,0.590048,842925.245864
102,140.904042,9.301802,13288288.272787
111,4.066827,2.468529,448823.530117
112,48.763700,29.873898,5431617.836052
121,7.135028,2.953579,1093918.082642
122,69.730996,28.935230,10716751.480217
131,20.653578,1.310683,1456314.309055
132,82.033003,4.608833,5120925.401875
141,5.359454,0.795563,1325938.562468
142,61.433413,8.299696,13832825.845622
151,1.358194,0.000000,177124.131496
152,4.998480,0.000000,484349.203597


Summary for AEZ
AEZ_ID,SoilCarbon(pgC),VegCarbon(pgC),Area(Km2)
107,1.141472,0.452542,230991.906080
108,2.109698,0.620649,330776.384174
109,0.031817,0.013439,5125.175789
110,0.024580,0.006513,2539.767609
113,0.536849,0.101224,61410.782986
114,0.223083,0.039820,26411.477686
209,0.063487,0.034053,6839.248854
210,0.119058,0.127790,11530.819298
211,0.080755,0.063214,8607.156918
301,0.548373,0.088821,147190.360519
307,6.299165,1.176844,1854395.693596
308,0.410053,0.122869,72697.727196
309,0.865722,0.420848,114244.347359
310,0.717155,0.373665,78459.689472
410,0.032493,0.025275,2288.065773
501,0.238394,0.080341,39569.626709
502,0.318170,0.171200,34972.537651
503,0.449513,0.378036,60158.509621
504,2.653276,3.651963,348926.297852
505,2.758704,4.974000,365146.736023
508,0.229363,0.062678,27132.126167
509,2.538193,0.795478,196092.069839
510,1.432988,1.496418,153689.458290
511,0.110673,0.069763,10171.348465
607,5.983046,1.771783,912218.901350
608,2.585700,1.135783,288336.888030
609,3.202871,1.578719,297391.514923
610,2.713420,1.242900,217790.800633
611,2.356467,0.469848,174345.099644
612,6.269832,1.920708,472461.017972
613,2.188413,0.275415,259350.387850
614,1.126180,0.596041,96926.582344
615,0.521076,0.073549,17520.208075
616,0.081259,0.001763,2291.186194
708,0.129249,0.026991,9453.974442
709,0.045240,0.051912,4549.035278
714,0.042978,0.025014,3772.670845
715,0.054043,0.029031,4673.547604
801,5.762831,2.493677,790330.276656
802,5.833341,2.042931,750303.091385
803,3.151458,1.164095,378005.901087
804,0.827149,0.445613,83233.493122
805,0.120009,0.133015,12277.448692
806,0.120242,0.099998,11182.156197
807,28.419018,14.067897,4100318.451454
808,3.746968,1.934764,489870.151726
809,3.055866,1.344153,334720.719403
810,2.031858,0.974721,182144.762401
811,2.761561,2.223490,240733.917656
812,2.418718,2.067517,205520.472648
817,0.163262,0.050645,8176.044270
910,0.594175,0.580386,44643.946413
911,0.038779,0.042741,3176.615391
915,0.368285,0.214730,25046.492458
916,0.089536,0.072074,7189.913532
1008,0.157948,0.049274,17804.880497
1009,0.502975,0.331781,53280.916403
1014,0.025215,0.014932,2323.988922
1015,0.092185,0.044936,6989.307701
1104,0.485522,0.554024,28762.462162
1105,1.585749,1.921660,111751.894890
1210,0.105179,0.107216,7968.201782
1211,0.404358,0.326118,24570.987686
1310,2.980405,2.578136,189774.833378
1406,0.231205,0.319607,16614.133715
1503,0.312221,0.159603,43163.108971
1504,0.412737,0.995660,60137.950996
1505,0.136140,0.238495,15328.022552
