AEZ_ID,Category,SoilCarbon(pg),VegCarbon(pg),Area(Km2)
107,2,0.000273,0.000000,128.985498
107,92,0.007966,0.004682,1560.654694
107,102,0.035870,0.004564,6520.468788
107,122,0.729796,0.398092,147441.476830
107,141,0.003387,0.000595,991.452602
107,142,0.364181,0.044609,74348.867668
108,1,0.000225,0.000000,98.663502
108,41,0.000709,0.001093,68.309502
108,42,0.007395,0.013144,821.525200
108,91,0.002652,0.001478,492.596321
108,92,0.273081,0.138413,46137.721184
108,101,0.026601,0.003284,4691.969414
108,102,0.911395,0.094618,135169.111656
108,111,0.001816,0.001922,349.514008
108,112,0.009497,0.006421,1167.383408
108,121,0.015928,0.007154,2649.688148
108,122,0.793889,0.346360,128281.310219
108,131,0.000815,0.000063,70.011299
108,132,0.008308,0.000692,769.245422
108,141,0.000000,0.000040,67.019798
108,142,0.057386,0.005965,9942.315094
109,92,0.004257,0.001704,568.068405
109,102,0.003316,0.000199,284.875214
109,122,0.024244,0.011535,4272.232170
110,92,0.000344,0.000212,70.726799
110,102,0.002565,0.000197,281.626602
110,112,0.000642,0.000388,70.513702
110,122,0.021029,0.005716,2116.900505
113,102,0.103570,0.007901,11286.461777
113,121,0.008908,0.002066,765.261215
113,122,0.288842,0.080388,29773.341011
113,131,0.009145,0.000946,1050.649414
113,132,0.054300,0.008042,8935.659054
113,141,0.003726,0.000234,389.926300
113,142,0.029542,0.001648,2746.541412
113,151,0.006732,0.000000,932.827226
113,152,0.032085,0.000000,5530.115577
114,82,0.000791,0.000700,67.929398
114,101,0.009717,0.000638,911.007126
114,102,0.085833,0.007683,10975.476807
114,112,0.002367,0.001118,203.328995
114,121,0.006477,0.001502,556.465706
114,122,0.077049,0.024501,9074.298035
114,131,0.011951,0.001001,1111.688629
114,132,0.021845,0.002289,2543.497791
114,141,0.001479,0.000117,194.823101
114,142,0.004500,0.000272,453.470795
114,151,0.001073,0.000000,319.491304
209,1,0.000494,0.000000,89.994299
209,51,0.000614,0.000846,62.681400
209,81,0.000644,0.000677,65.734901
209,82,0.005783,0.006080,590.326607
209,91,0.005083,0.001608,536.151501
209,92,0.018788,0.006453,2151.063141
209,111,0.002571,0.001444,262.456406
209,112,0.029509,0.016945,3080.840599
210,2,0.000624,0.000000,63.683399
210,41,0.003383,0.004056,253.473095
210,42,0.014685,0.022512,1407.027924
210,51,0.001884,0.002596,192.301105
210,52,0.055828,0.068995,5110.769978
210,81,0.000633,0.000665,64.596603
210,82,0.021471,0.022285,2163.617741
210,91,0.000559,0.000195,65.087799
210,92,0.019145,0.006440,2146.830154
210,102,0.000847,0.000044,63.431499
211,51,0.001260,0.001736,128.615601
211,52,0.002323,0.003463,256.484009
211,81,0.001894,0.001991,193.295097
211,82,0.034712,0.039192,3805.054478
211,91,0.000631,0.000193,64.431801
211,92,0.023713,0.007485,2494.894054
211,111,0.000492,0.000276,50.185902
211,112,0.015730,0.008878,1614.195976
301,122,0.000768,0.000651,241.211502
301,142,0.547605,0.088169,146949.149017
307,2,0.001218,0.000000,220.958107
307,102,0.000676,0.000102,145.547302
307,112,0.002742,0.002781,505.699989
307,121,0.002131,0.001255,464.829102
307,122,0.118734,0.078262,28986.022156
307,141,0.394606,0.052082,86802.743004
307,142,5.779059,1.042362,1737269.893936
308,12,0.001189,0.002800,140.022598
308,92,0.007160,0.002529,842.872818
308,102,0.003740,0.000444,634.617203
308,112,0.031161,0.024069,4376.236305
308,122,0.146536,0.068147,25239.787628
308,142,0.220266,0.024879,41464.190643
309,2,0.001204,0.000000,116.737400
309,11,0.000564,0.001396,69.793701
309,12,0.001158,0.002796,139.805000
309,92,0.104458,0.033253,11084.169617
309,102,0.005670,0.000587,838.022812
309,111,0.001129,0.000769,139.732803
309,112,0.411430,0.272163,49484.106663
309,122,0.254004,0.100881,37363.246948
309,142,0.086106,0.009005,15008.732414
310,2,0.002818,0.000000,283.108177
310,12,0.007834,0.016596,829.809593
310,91,0.001422,0.000373,124.479004
310,92,0.101873,0.032466,10822.086155
310,102,0.000734,0.000048,69.280899
310,111,0.008682,0.004542,825.785202
310,112,0.509616,0.297408,54074.095062
310,122,0.054979,0.019764,7320.144279
310,142,0.029196,0.002467,4110.901100
410,32,0.001046,0.000976,63.347198
410,41,0.005541,0.005081,317.577991
410,42,0.005597,0.006092,380.756393
410,81,0.000704,0.000654,63.515598
410,82,0.015055,0.011797,1145.376495
410,92,0.000706,0.000191,63.683399
410,102,0.003139,0.000133,190.041595
410,112,0.000707,0.000351,63.767101
501,1,0.000445,0.000000,104.810204
501,2,0.001459,0.000000,163.968498
501,92,0.004012,0.002236,745.352798
501,101,0.001199,0.000172,246.389099
501,102,0.016587,0.001914,2734.503899
501,121,0.053832,0.024704,9149.784012
501,122,0.115125,0.045591,16885.418823
501,141,0.031096,0.004453,7422.471779
501,142,0.014640,0.001270,2116.927597
502,2,0.000928,0.000000,91.163002
502,11,0.007744,0.013539,676.969299
502,12,0.042091,0.079985,3999.232498
502,22,0.001726,0.002372,169.432701
502,91,0.037813,0.010920,3639.842712
502,92,0.092300,0.028614,9537.988884
502,101,0.006191,0.000415,592.596397
