countries,country codes,item,item codes,element,element codes,1998,1999,2000,2001,2002
Ghana,81,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Greece,84,Nitrogenous fertilizers,1360,Production (tonnes),51,231000,214000,249900,240000,215000
Greenland,85,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Grenada,86,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Guadeloupe,87,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Guatemala,89,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Guinea,90,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Guinea-Bissau,175,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Guyana,91,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Haiti,93,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Honduras,95,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Hungary,97,Nitrogenous fertilizers,1360,Production (tonnes),51,213500,278700,289600,272800,210134
Iceland,99,Nitrogenous fertilizers,1360,Production (tonnes),51,11500,12000,12000,87,0
India,100,Nitrogenous fertilizers,1360,Production (tonnes),51,10477278,10872845,10942800,10766775,10557700
Indonesia,101,Nitrogenous fertilizers,1360,Production (tonnes),51,2899100,2842400,2853000,2548785,2867878
Iran (Islamic Republic of),102,Nitrogenous fertilizers,1360,Production (tonnes),51,863700,713200,725496,735958,768141
Iraq,103,Nitrogenous fertilizers,1360,Production (tonnes),51,235000,238000,238000,530000,524000
Ireland,104,Nitrogenous fertilizers,1360,Production (tonnes),51,311000,277000,188400,280000,208000
Israel,105,Nitrogenous fertilizers,1360,Production (tonnes),51,87000,83500,89400,74750,84600
Italy,106,Nitrogenous fertilizers,1360,Production (tonnes),51,463000,397000,428000,423000,400200
Jamaica,109,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Japan,110,Nitrogenous fertilizers,1360,Production (tonnes),51,798600,802400,769217,680800,670000
Jordan,112,Nitrogenous fertilizers,1360,Production (tonnes),51,149600,145000,113600,121000,133000
Kazakhstan,108,Nitrogenous fertilizers,1360,Production (tonnes),51,5100,7700,2700,8816,16400
Kenya,114,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Kiribati,83,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Kuwait,118,Nitrogenous fertilizers,1360,Production (tonnes),51,361323,330740,287635,337937,255300
Kyrgyzstan,113,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Lao People's Democratic Republic,120,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Latvia,119,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Lebanon,121,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Lesotho,122,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Liberia,123,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Libyan Arab Jamahiriya,124,Nitrogenous fertilizers,1360,Production (tonnes),51,408200,386860,407100,365200,389600
Lithuania,126,Nitrogenous fertilizers,1360,Production (tonnes),51,447300,454700,526000,490000,591004
Madagascar,129,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Malawi,130,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Malaysia,131,Nitrogenous fertilizers,1360,Production (tonnes),51,316600,399200,586700,582000,584800
Maldives,132,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Mali,133,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Malta,134,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Martinique,135,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Mauritania,136,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Mauritius,137,Nitrogenous fertilizers,1360,Production (tonnes),51,14400,12400,16800,14550,15300
Mexico,138,Nitrogenous fertilizers,1360,Production (tonnes),51,1190200,948300,702900,605400,379214
Mongolia,141,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Montserrat,142,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Morocco,143,Nitrogenous fertilizers,1360,Production (tonnes),51,271000,279200,300000,356400,349500
Mozambique,144,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Myanmar,28,Nitrogenous fertilizers,1360,Production (tonnes),51,51600,65500,77100,27600,20400
Namibia,147,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Nepal,149,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Netherlands,150,Nitrogenous fertilizers,1360,Production (tonnes),51,1548000,1304000,1137000,1013000,1068000
Netherlands Antilles,151,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
New Caledonia,153,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
New Zealand,156,Nitrogenous fertilizers,1360,Production (tonnes),51,92500,108000,110400,112100,107800
Nicaragua,157,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Niger,158,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Nigeria,159,Nitrogenous fertilizers,1360,Production (tonnes),51,71000,70000,0,0,0
Norway,162,Nitrogenous fertilizers,1360,Production (tonnes),51,470000,510000,618000,579000,590000
Oman,221,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Pakistan,165,Nitrogenous fertilizers,1360,Production (tonnes),51,1795156,2039300,2053800,2128010,2183320
Panama,166,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Papua New Guinea,168,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Paraguay,169,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Peru,170,Nitrogenous fertilizers,1360,Production (tonnes),51,3000,0,0,0,0
Philippines,171,Nitrogenous fertilizers,1360,Production (tonnes),51,184561,190116,168322,189129,201250
Poland,173,Nitrogenous fertilizers,1360,Production (tonnes),51,1575600,1359500,1496500,1569729,1176736
Portugal,174,Nitrogenous fertilizers,1360,Production (tonnes),51,134000,121000,125000,127100,123400
Qatar,179,Nitrogenous fertilizers,1360,Production (tonnes),51,767000,757160,748420,771600,798600
Republic of Korea,117,Nitrogenous fertilizers,1360,Production (tonnes),51,525000,557787,519695,468610,359705
Republic of Moldova,146,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Réunion,182,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Romania,183,Nitrogenous fertilizers,1360,Production (tonnes),51,314096,517700,868995,810762,806103
Russian Federation,185,Nitrogenous fertilizers,1360,Production (tonnes),51,4135000,4966100,5451900,5874000,6011400
Rwanda,184,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Saint Kitts and Nevis,188,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Saint Lucia,189,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Saint Vincent and the Grenadines,191,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Samoa,244,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Sao Tome and Principe,193,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Saudi Arabia,194,Nitrogenous fertilizers,1360,Production (tonnes),51,1079800,1071735,1278160,1328500,1299400
Senegal,195,Nitrogenous fertilizers,1360,Production (tonnes),51,38800,24500,19400,25200,33900
Serbia and Montenegro,186,Nitrogenous fertilizers,1360,Production (tonnes),51,185100,72000,72000,70100,128690
Seychelles,196,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Sierra Leone,197,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Singapore,200,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Slovakia,199,Nitrogenous fertilizers,1360,Production (tonnes),51,245900,223000,286300,226800,213800
Slovenia,198,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Somalia,201,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
South Africa,202,Nitrogenous fertilizers,1360,Production (tonnes),51,423000,406800,308900,296300,298400
Spain,203,Nitrogenous fertilizers,1360,Production (tonnes),51,898000,921000,813600,832700,802500
Sri Lanka,38,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Sudan,206,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Suriname,207,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Swaziland,209,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Sweden,210,Nitrogenous fertilizers,1360,Production (tonnes),51,94000,99000,103000,64100,62900
Switzerland,211,Nitrogenous fertilizers,1360,Production (tonnes),51,18000,18000,15000,0,0
Syrian Arab Republic,212,Nitrogenous fertilizers,1360,Production (tonnes),51,113212,103900,82000,150301,127859
Tajikistan,208,Nitrogenous fertilizers,1360,Production (tonnes),51,4000,4000,4000,4000,12200
Thailand,216,Nitrogenous fertilizers,1360,Production (tonnes),51,79000,70400,83000,93000,108000
The former Yugoslav Republic of Macedonia,154,Nitrogenous fertilizers,1360,Production (tonnes),51,6500,7000,3000,0,0
Togo,217,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Tonga,219,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Trinidad and Tobago,220,Nitrogenous fertilizers,1360,Production (tonnes),51,240700,276000,275300,236890,310223
Tunisia,222,Nitrogenous fertilizers,1360,Production (tonnes),51,225900,250400,253900,265900,282050
Turkey,223,Nitrogenous fertilizers,1360,Production (tonnes),51,922400,730862,479000,389991,634424
Turkmenistan,213,Nitrogenous fertilizers,1360,Production (tonnes),51,57000,60000,60000,60000,84000
Uganda,226,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Ukraine,230,Nitrogenous fertilizers,1360,Production (tonnes),51,1687100,1910000,2129600,2068800,2313500
United Arab Emirates,225,Nitrogenous fertilizers,1360,Production (tonnes),51,258900,271860,243400,276900,277700
United Kingdom,229,Nitrogenous fertilizers,1360,Production (tonnes),51,894000,760000,483000,520000,540000
United Republic of Tanzania,215,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
United States of America,231,Nitrogenous fertilizers,1360,Production (tonnes),51,13499233,11230467,9903675,9922871,9442311
United States Virgin Islands,240,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Uruguay,234,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Uzbekistan,235,Nitrogenous fertilizers,1360,Production (tonnes),51,731800,699800,681500,573000,623000
Vanuatu,155,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Venezuela (Bolivarian Republic of),236,Nitrogenous fertilizers,1360,Production (tonnes),51,401500,383600,292400,464700,539500
Viet Nam,237,Nitrogenous fertilizers,1360,Production (tonnes),51,109800,231000,35000,46000,49200
Yemen,249,Nitrogenous fertilizers,1360,Production (tonnes),51,0,0,0,0,0
Zambia,251,Nitrogenous fertilizers,1360,Production (tonnes),51,2300,1702,900,0,0
Zimbabwe,181,Nitrogenous fertilizers,1360,Production (tonnes),51,74100,86000,71400,59500,61100
