countries,country codes,item,item codes,element,element codes,1998,1999,2000,2001,2002
Afghanistan,2,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6000,5000,5000,18400,20800
Albania,3,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,18000,5800,12100,10700,22626
Algeria,4,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,44000,47000,44300,45300,48000
Angola,7,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2300,2300,1400,0,0
Argentina,9,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,422700,457300,498223,496500,432628
Armenia,1,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,9620,6158,7000,5000,11283
Australia,10,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,979000,1082000,951000,1049900,972300
Austria,11,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,128000,122000,118000,120000,118000
Azerbaijan,52,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,13000,13800,2100,9900,16692
Bahamas,12,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,400,400
Bahrain,13,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,675,143,114,100,100
Bangladesh,16,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,882500,1014700,995852,1054245,1049900
Barbados,14,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1800,1800,1800,1800,599
Belarus,57,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,280000,286000,280000,290000,250000
Belgium-Luxembourg,15,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,171000,171000,,,
Belize,23,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1938,2295,2840,1900,1900
Benin,53,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,15338,34600,14300,15100,25541
Bermuda,17,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,100,100
Bhutan,18,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Bolivia (Plurinational State of),19,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1332,901,3218,5369,6195
Bosnia and Herzegovina,80,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,23000,28000,27800,18600,18600
Botswana,20,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,3748,4100,4100,4100,4100
Brazil,21,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1545500,1660767,1668000,1640000,1816000
Brunei Darussalam,26,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Bulgaria,27,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,135000,110594,144900,172302,152127
