countries,element,2003,2004,2005,2006,2007
Afghanistan,Production Quantity in nutrients (tonnes of nutrients),16206,19458,15631,17636,16974
Albania,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Algeria,Production Quantity in nutrients (tonnes of nutrients),99660,153790,83100,27440,137780
Angola,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Antigua and Barbuda,Production Quantity in nutrients (tonnes of nutrients),16206,0,0,0,0
Argentina,Production Quantity in nutrients (tonnes of nutrients),607492,627693,574741,659115,468938
Armenia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Australia,Production Quantity in nutrients (tonnes of nutrients),314751,326123,338588,337240,338000
Austria,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Azerbaijan,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Bahrain,Production Quantity in nutrients (tonnes of nutrients),260820,234600,258086,287353,268990
Bangladesh,Production Quantity in nutrients (tonnes of nutrients),952070,923410,880646,815701,855556
Barbados,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Belarus,Production Quantity in nutrients (tonnes of nutrients),635865,665034,682065,711548,749524
Belize,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Benin,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Bhutan,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Bolivia (Plurinational State of),Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Bosnia and Herzegovina,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Brazil,Production Quantity in nutrients (tonnes of nutrients),914247,916809,985312,1051386,983761
Brunei Darussalam,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Bulgaria,Production Quantity in nutrients (tonnes of nutrients),288200,331300,348700,294300,262130
Burkina Faso,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Burundi,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Cambodia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Cameroon,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Canada,Production Quantity in nutrients (tonnes of nutrients),2905009,3048059,3109020,3283020,3297040
Chile,Production Quantity in nutrients (tonnes of nutrients),167555,120370,130750,116514,164861
China,Production Quantity in nutrients (tonnes of nutrients),28862920,27816728,28014560,31181567,35359259
Colombia,Production Quantity in nutrients (tonnes of nutrients),90400,66400,205916,272659,299340
Congo,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Costa Rica,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Côte d'Ivoire,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Croatia,Production Quantity in nutrients (tonnes of nutrients),286064,335148,323223,329894,348436
Cuba,Production Quantity in nutrients (tonnes of nutrients),10023,19856,12733,17373,17493
Cyprus,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Czech Republic,Production Quantity in nutrients (tonnes of nutrients),291252,304941,305246,332600,333000
Democratic Republic of the Congo,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Denmark,Production Quantity in nutrients (tonnes of nutrients),148459,92787,0,0,0
Dominica,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Ecuador,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Egypt,Production Quantity in nutrients (tonnes of nutrients),1558830,1584400,1552008,1750976,2286460
El Salvador,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Eritrea,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Estonia,Production Quantity in nutrients (tonnes of nutrients),34000,66601,100985,99350,96404
Ethiopia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Fiji,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Finland,Production Quantity in nutrients (tonnes of nutrients),278658,278658,291755,221100,272773
France,Production Quantity in nutrients (tonnes of nutrients),1228351,2850854,3044423,2181793,1456074
French Polynesia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Gabon,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Gambia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Georgia,Production Quantity in nutrients (tonnes of nutrients),76903,94075,110403,127477,131821
Germany,Production Quantity in nutrients (tonnes of nutrients),1120999,1160639,1253773,1185726,1504452
Ghana,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Greece,Production Quantity in nutrients (tonnes of nutrients),209625,110771,93051,45171,35117
Guatemala,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Guinea,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Guyana,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Honduras,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Hungary,Production Quantity in nutrients (tonnes of nutrients),205301,266070,311302,302000,222968
Iceland,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
India,Production Quantity in nutrients (tonnes of nutrients),10468657,11205586,11218193,10416656,10897289
Indonesia,Production Quantity in nutrients (tonnes of nutrients),2119780,2309142,2875658,2808307,2947267
Iran (Islamic Republic of),Production Quantity in nutrients (tonnes of nutrients),748077,746126,703884,652378,777797
Iraq,Production Quantity in nutrients (tonnes of nutrients),0,98454,138940,151720,110220
Ireland,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Israel,Production Quantity in nutrients (tonnes of nutrients),86292,91556,86703,89000,111661
Italy,Production Quantity in nutrients (tonnes of nutrients),479400,471300,444600,403400,400000
Jamaica,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Japan,Production Quantity in nutrients (tonnes of nutrients),771490,796224,767305,770545,769923
Jordan,Production Quantity in nutrients (tonnes of nutrients),90540,118440,118260,162260,158760
Kazakhstan,Production Quantity in nutrients (tonnes of nutrients),20894,37985,4619,15753,71227
Kenya,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Kuwait,Production Quantity in nutrients (tonnes of nutrients),350520,336720,374440,455400,424120
Kyrgyzstan,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Latvia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Lebanon,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Libyan Arab Jamahiriya,Production Quantity in nutrients (tonnes of nutrients),379500,381340,384100,380420,359260
Lithuania,Production Quantity in nutrients (tonnes of nutrients),548341,569801,670206,628259,746840
Luxembourg,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Madagascar,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Malawi,Production Quantity in nutrients (tonnes of nutrients),0,0,0,146,130
Malaysia,Production Quantity in nutrients (tonnes of nutrients),581993,481017,542683,616200,616000
Maldives,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Mali,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Malta,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Marshall Islands,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Mauritius,Production Quantity in nutrients (tonnes of nutrients),8599,2597,0,0,0
