item,GCAM_commodity
Beeswax,na
"Bird meat, nes",Poultry
Buffalo Hide,na
Buffalo meat,Beef
"Buffalo milk, whole, fresh",Dairy
Camel meat,OtherMeat_Fish
"Camel milk, whole, fresh",Dairy
Cattle Hides,na
Cattle meat,Beef
Chicken meat,Poultry
"Cow milk, whole, fresh",Dairy
Duck meat,Poultry
Game meat,OtherMeat_Fish
Goat meat,SheepGoat
"Goat milk, whole, fresh",Dairy
Goatskins,na
Goose and guinea fowl meat,Poultry
Hair of Horses,na
"Hen eggs, in shell",Poultry
Horse meat,OtherMeat_Fish
Meat nes,OtherMeat_Fish
Meat of Asses,OtherMeat_Fish
Meat of Mules,OtherMeat_Fish
Meat of Other Rod,OtherMeat_Fish
Meat Oth Camelids,OtherMeat_Fish
Natural honey,na
Offals Nes,OtherMeat_Fish
"Other bird eggs,in shell",Poultry
Pig meat,Pork
Rabbit meat,OtherMeat_Fish
Sheep meat,SheepGoat
"Sheep milk, whole, fresh",Dairy
Sheepskins,na
"Silk-worm cocoons, reelable",na
Skin Furs,na
Skins With Wool Sheep,na
"Snails, Not Sea",OtherMeat_Fish
Turkey meat,Poultry
"Wool, greasy",na
