item,GCAM_commodity,crop_cal_lookup,Mcal_t
Abaca,FiberCrop,na,0
"Alcohol, Non-Food",na,na,0
Apples,MiscCrop,APPLES,480
Bananas,MiscCrop,BANANAS,600
Barley,OtherGrain,BARLEY,3320
Beans,MiscCrop,"BEANS, DRY",3410
Beer,na,na,0
"Beverages, Alcoholic",na,na,0
"Beverages, Fermented",na,na,0
Brans,na,na,0
Cassava,Root_Tuber,CASSAVA,1090
"Cereals, Other",OtherGrain,CEREALS NES,3400
"Citrus, Other",MiscCrop,CITRUS FRUIT NES,260
Cloves,MiscCrop,CLOVES,3230
Cocoa Beans,MiscCrop,COCOA BEANS,4140
Coconut Oil,PalmFruit,OIL OF COCONUTS,8840
Coconuts - Incl Copra,PalmFruit,COCONUTS,1840
Coffee,MiscCrop,COFFEE GREEN,470
Copra Cake,PalmFruit,COPRA,6360
Cotton Lint,FiberCrop,na,0
Cottonseed,OilCrop,COTTONSEED,2530
Cottonseed Cake,OilCrop,COTTONSEED,2530
Cottonseed Oil,OilCrop,OIL OF COTTON SEED,8840
Dates,MiscCrop,DATES,1560
"Fruits, Other",MiscCrop,FRUIT NES FRESH,450
Grapefruit,MiscCrop,GRAPEFRUIT AND POMELO,160
Grapes,MiscCrop,GRAPES,530
Groundnut Cake,OilCrop,CAKE OF GROUNDNUTS,3630
Groundnut Oil,OilCrop,OIL OF GROUNDNUTS,8840
Groundnuts (in Shell Eq),OilCrop,GROUNDNUTS IN SHELL,4140
Groundnuts (Shelled Eq),na,na,0
"Hard Fibres, Other",FiberCrop,na,0
Jute,FiberCrop,na,0
Jute-Like Fibres,FiberCrop,na,0
"Lemons, Limes",MiscCrop,LEMONS AND LIMES,150
Maize,Corn,MAIZE,3560
Maize Germ Oil,Corn,OIL OF MAIZE,8840
Millet,OtherGrain,MILLET,3400
Molasses,SugarCrop,MOLASSES,2320
Nuts,MiscCrop,NUTS NES,2620
Oats,OtherGrain,OATS,3850
"Oilcrops Oil, Other",OilCrop,OIL OF VEGETABLE ORIGIN NES,8840
"Oilcrops, Other",OilCrop,OILSEEDS NES,3870
"Oilseed Cakes, Other",OilCrop,CAKE OF SOYA BEANS,2610
Olive Oil,OilCrop,OLIVE OIL,8840
Olives,OilCrop,OLIVES,1750
Onions,MiscCrop,"ONIONS,SHALLOTS, GREEN",240
"Oranges, Mandarines",MiscCrop,ORANGES,340
Other Bastfibres,FiberCrop,na,0
Other melons (inc.cantaloupes),MiscCrop,MELONS,170
Palm Oil,PalmFruit,PALM OIL,8840
Palmkernel Cake,PalmFruit,PALM KERNELS,5140
Palmkernel Oil,PalmFruit,OIL OF PALM KERNELS,8840
Palmkernels,PalmFruit,PALM KERNELS,5140
Peas,MiscCrop,"PEAS, DRY",3460
Pepper,MiscCrop,PEPPER WHITE/LONG/BLACK,2760
Pimento,MiscCrop,PIMENTO,3180
Pineapples,MiscCrop,PINEAPPLES,260
Plantains,MiscCrop,PLANTAINS,750
Potatoes,Root_Tuber,POTATOES,670
"Pulses, Other",MiscCrop,PULSES NES,3400
Rape and Mustard Cake,OilCrop,RAPESEED,4940
Rape and Mustard Oil,OilCrop,OIL OF RAPESEED,8840
Rape and Mustardseed,OilCrop,RAPESEED,4940
Rice (Milled Equivalent),na,na,0
Rice (Paddy Equivalent),Rice,RICE PADDY,2800
Ricebran Oil,Rice,OIL OF RICE BRAN,8840
Roots and Tuber Dry Equiv,na,na,0
"Roots, Other",Root_Tuber,"ROOTS, TUBERS NES",910
Rubber,na,na,0
Rye,OtherGrain,RYE,3190
Sesameseed,OilCrop,SESAME SEED,5730
Sesameseed Cake,OilCrop,CAKE OF SESAME SEED,3760
Sesameseed Oil,OilCrop,OIL OF SESAME SEED,8840
Sisal,FiberCrop,na,0
"Soft-Fibres, Other",FiberCrop,na,0
Sorghum,OtherGrain,SORGHUM,3430
Soyabean Cake,OilCrop,CAKE OF SOYA BEANS,2610
Soyabean Oil,OilCrop,OIL OF SOYABEANS,8840
Soyabeans,OilCrop,SOYBEANS,3350
"Spices, Other",MiscCrop,SPICES NES,3370
Spinach,MiscCrop,SPINACH,160
"Stone fruit, nes",MiscCrop,STONE FRUIT NES,520
Strawberries,MiscCrop,STRAWBERRIES,280
String beans,MiscCrop,STRING BEANS,270
Sugar (Raw Equivalent),SugarCrop,"SUGAR, CENTRIFUGAL RAW",3730
Sugar Beet,SugarCrop,SUGAR BEETS,700
Sugar Cane,SugarCrop,SUGAR CANE,300
"Sugar, Non-Centrifugal",na,na,0
"Sugar, Raw Equivalent",na,na,0
"Sugar, Refined Equiv",na,na,0
Sunflowerseed,OilCrop,SUNFLOWER SEED,3080
Sunflowerseed Cake,OilCrop,SUNFLOWER SEED,3080
Sunflowerseed Oil,OilCrop,OIL OF SUNFLOWER SEED,8840
Sweet Potatoes,Root_Tuber,SWEET POTATOES,920
"Sweeteners, Other",na,na,0
Tea,MiscCrop,TEA,400
Tobacco,na,na,0
Tomatoes,MiscCrop,TOMATOES,170
"Vegetables, Other",MiscCrop,VEGETABLES NES FRESH,220
Wheat,Wheat,WHEAT,3340
Wine,na,na,0
Yams,Root_Tuber,YAMS,1010
