countries,item,2001,2002,2003,2004,2005,avg
Algeria,Fallow land,3743,3734,3701.5,3383,3590,3630.3
Austria,Fallow land,108,106,103,92,95,100.8
Azerbaijan,Fallow land,59.8,54.1,52.9,49.9,45.6,52.46
Bangladesh,Fallow land,399,406,387,387,469,409.6
Belarus,Fallow land,77,131,121,120,62,102.2
Belgium,Fallow land,25,28,29,24,28,26.8
Belize,Fallow land,,21,,,,21
Bhutan,Fallow land,,,,11,,11
Bolivia,Fallow land,,,1704,1653,1648,1668.333333
Bosnia and Herzegovina,Fallow land,411,423,467,471,472,448.8
Botswana,Fallow land,,,99,67,,83
Bulgaria,Fallow land,516,316,578,489,490,477.8
Canada,Fallow land,4680,4128,3589,3593,4087,4015.4
Colombia,Fallow land,,541,791,958,774,766
Croatia,Fallow land,,,25,32,15,24
Cuba,Fallow land,953,929,989,1056,1106,1006.6
Cyprus,Fallow land,6,7,5,11,21,10
Denmark,Fallow land,1,1,1,1,17,4.2
Ecuador,Fallow land,,282,309,204,198,248.25
El Salvador,Fallow land,,,,,337,337
Estonia,Fallow land,33,24,27,21,26,26.2
Ethiopia,Fallow land,,840,1076,1369,1398,1170.75
Finland,Fallow land,202,211,220,196,241,214
France,Fallow land,,,1320,1150,1300,1256.666667
French Guiana,Fallow land,1,1,2,1,0.4,1.08
Georgia,Fallow land,,,,81,,81
Germany,Fallow land,850,835,939,784,794,840.4
Greece,Fallow land,428,440,433,419,404,424.8
Guadeloupe,Fallow land,2,1,1,1,2,1.4
Guatemala,Fallow land,,,530,,437,483.5
Hungary,Fallow land,,,260,137,243,213.3333333
India,Fallow land,117825,33471,25491,25143,24176,45221.2
Indonesia,Fallow land,9342,8535,10194,12418,11342,10366.2
"Iran, Islamic Republic of",Fallow land,4593,4571,4550,4529,4507,4550
Israel,Fallow land,84,90,,,,87
Italy,Fallow land,,484,453,475,475,471.75
Jordan,Fallow land,23,23,23,23,23,23
"Korea, Republic of",Fallow land,,20,46,48,44,39.5
Latvia,Fallow land,,94,105,107,91,99.25
Lithuania,Fallow land,165,193,154,185,156,170.6
Luxembourg,Fallow land,2,2,2,1,2,1.8
Malta,Fallow land,,,,,1.1,1.1
Martinique,Fallow land,1,1,1,1,,1
Moldova,Fallow land,8,8,129,58,76,55.8
Mongolia,Fallow land,,145,152,142,149,147
Morocco,Fallow land,2310,2341,1697,1624,1854,1965.2
Mozambique,Fallow land,,,,336,360,348
Myanmar,Fallow land,686,622,584,517,439,569.6
Nepal,Fallow land,18,18,18,18,18,18
Netherlands,Fallow land,27,6,4,3,2,8.4
New Caledonia,Fallow land,,2,,,,2
Nicaragua,Fallow land,,,1196,1196,1196,1196
Norway,Fallow land,,2,2,2,2,2
Pakistan,Fallow land,6730,6600,6620,6060,6680,6538
Philippines,Fallow land,,55,,,,55
Poland,Fallow land,1296,2302,1762,1399,1029,1557.6
Portugal,Fallow land,551,539,528,528,374,504
Puerto Rico,Fallow land,,25,22,,,23.5
Réunion,Fallow land,1,1,1,1,1,1
Romania,Fallow land,467,375,498,387,517,448.8
Saint Kitts and Nevis,Fallow land,,,,,0,0
Serbia and Montenegro,Fallow land,156,169,182,191,,174.5
Slovakia,Fallow land,4,4,5,11,10,6.8
Slovenia,Fallow land,1,,,1,2,1.333333333
Spain,Fallow land,3510,3137,3353,3400,3500,3380
Sudan,Fallow land,,630,513,3991,4269,2350.75
Sweden,Fallow land,266,269,276,268,321,280
Switzerland,Fallow land,4,4,4,4,3,3.8
Syrian Arab Republic,Fallow land,901,830,817,896,690,826.8
Tajikistan,Fallow land,23.9,22.9,22.7,22.3,,22.95
"Tanzania, United Republic of",Fallow land,,,879,,,879
Thailand,Fallow land,439,,,,,439
The former Yugoslav Republic of Macedonia,Fallow land,,176,160,141,116,148.25
Tunisia,Fallow land,1072,1120,874,712,913,938.2
Turkey,Fallow land,4914,5040,4991,4956,4876,4955.4
Ukraine,Fallow land,2712,2692,3509,2330,2428,2734.2
United Arab Emirates,Fallow land,18,18,24,,,20
United Kingdom,Fallow land,43,33,29,29,140,54.8
United States of America,Fallow land,,16094,,,,16094
