country_ID,country_name_abbrev,country_name,GCAM_region_ID,GCAM_region_name
1,ALGE,algeria,9,Africa
2,MORO,morocco,9,Africa
3,TUNI,tunisia,9,Africa
4,BENI,benin,9,Africa
5,GAMB,gambia,9,Africa
6,GHAN,ghana,9,Africa
7,GUIN,guinea,9,Africa
8,CDIV,cote divoire,9,Africa
9,LIBE,liberia,9,Africa
10,MALI,mali,9,Africa
11,MAUA,mauritania,9,Africa
12,NIGE,niger,9,Africa
13,NIGA,nigeria,9,Africa
14,SENE,senegal,9,Africa
15,SIER,sierra leone,9,Africa
16,TOGO,togo,9,Africa
17,BURK,burkina faso,9,Africa
18,ANGO,angola,9,Africa
19,CAME,cameroon,9,Africa
20,CAR,central afr.republic,9,Africa
21,CHAD,chad,9,Africa
22,CONG,congo,9,Africa
23,GABO,gabon,9,Africa
24,CODR,congo dem. republic,9,Africa
25,BURU,burundi,9,Africa
26,ETHI,ethiopia pdr,9,Africa
27,KENY,kenya,9,Africa
28,MADA,madagascar,9,Africa
29,MALA,malawi,9,Africa
30,MAUS,mauritius,9,Africa
31,MOZA,mozambique,9,Africa
32,ZIMB,zimbabwe,9,Africa
33,RWAN,rwanda,9,Africa
34,SOMA,somalia,9,Africa
35,TANZ,tanzania,9,Africa
36,UGAN,uganda,9,Africa
37,ZAMB,zambia,9,Africa
38,COST,costa rica,10,Latin America
39,ELSA,el salvador,10,Latin America
40,GUAT,guatemala,10,Latin America
41,HOND,honduras,10,Latin America
42,MEXI,mexico,10,Latin America
43,NICA,nicaragua,10,Latin America
44,PANA,panama,10,Latin America
45,CUBA,cuba,10,Latin America
46,DOMI,dominican republic,10,Latin America
47,HAIT,haiti,10,Latin America
48,JAMA,jamaica,10,Latin America
49,TRIN,trinidad tobago,10,Latin America
50,ARGE,argentina,10,Latin America
51,BOLI,bolivia,10,Latin America
52,BRAZ,brazil,10,Latin America
53,CHIL,chile,10,Latin America
54,COLO,colombia,10,Latin America
55,ECUA,ecuador,10,Latin America
56,GUYA,guyana,10,Latin America
57,PARA,paraguay,10,Latin America
58,PERU,peru,10,Latin America
59,SURI,surinam,10,Latin America
60,URUG,uruguay,10,Latin America
61,VENE,venezuela,10,Latin America
62,EGYP,egypt,9,Africa
63,LIBY,libya,9,Africa
64,SUDA,sudan,9,Africa
65,AFGH,afghanistan,11,Southeast Asia
66,CYPR,cyprus,3,Western Europe
67,IRAN,iran,8,Middle East
68,IRAQ,iraq,8,Middle East
69,JORD,jordan,8,Middle East
70,LEBA,lebanon,8,Middle East
71,SAUD,saudi arabia,8,Middle East
72,SYRI,syria,8,Middle East
73,TURK,turkey,3,Western Europe
74,YEME,yemen,8,Middle East
76,BANG,bangladesh,11,Southeast Asia
77,INDI,india,14,India
78,NEPA,nepal,11,Southeast Asia
79,PAKI,pakistan,11,Southeast Asia
80,SRIL,sri lanka,11,Southeast Asia
81,MYAN,myanmar,11,Southeast Asia
82,INDO,indonesia,11,Southeast Asia
83,ROK,korea republic,13,Korea
84,LAO,lao,11,Southeast Asia
85,MALY,malaysia,11,Southeast Asia
86,PHIL,philippines,11,Southeast Asia
87,THAI,thailand,11,Southeast Asia
88,CAMB,cambodia,7,China
89,KDPR,korea democratic,7,China
90,VIET,vietnam,7,China
91,CANA,canada,2,Canada
92,USA,united states,1,USA
93,BELU,belgium-luxembourg,3,Western Europe
94,DENM,denmark,3,Western Europe
95,FRAN,france,3,Western Europe
96,GEFR,germany,3,Western Europe
97,IREL,ireland,3,Western Europe
98,ITAL,italy,3,Western Europe
99,NETH,netherlands,3,Western Europe
100,U.K.,united kingdom,3,Western Europe
101,AUST,austria,3,Western Europe
102,FINL,finland,3,Western Europe
103,GREE,greece,3,Western Europe
104,ICEL,iceland,3,Western Europe
105,MALT,malta,3,Western Europe
106,NORW,norway,3,Western Europe
107,PORT,portugal,3,Western Europe
108,SPAI,spain,3,Western Europe
109,SWED,sweden,3,Western Europe
110,SWIT,switzerland,3,Western Europe
111,YUGO,yugoslavia,12,Eastern Europe
112,ALIA,australia,5,Australia_NZ
113,NEWZ,new zealand,5,Australia_NZ
114,ISRA,israel,8,Middle East
115,JAPA,japan,4,Japan
116,SOAF,south africa,9,Africa
117,CHIN,china,7,China
118,USSR,ussr,6,Former Soviet Union
119,ALBA,albania,12,Eastern Europe
120,BULG,bulgaria,12,Eastern Europe
121,CZEC,czechoslovakia,12,Eastern Europe
123,HUNG,hungary,12,Eastern Europe
124,POLA,poland,12,Eastern Europe
125,ROMA,romania,12,Eastern Europe
126,BOTS,botswana,9,Africa
127,CAPE,cape verde,9,Africa
128,COMO,comoros,9,Africa
129,GUIB,guinea-bissau,9,Africa
130,LESO,lesotho,9,Africa
131,NAMI,namibia,9,Africa
132,REUN,reunion,9,Africa
133,STOM,sao tome & principe,9,Africa
134,SWAZ,swaziland,9,Africa
135,ANTG,antigua,10,Latin America
136,BAHA,bahamas,10,Latin America
137,BARB,barbados,10,Latin America
138,BELI,belize,10,Latin America
139,DOMA,dominica,10,Latin America
140,FGUI,french guiana,10,Latin America
141,GREN,grenada,10,Latin America
142,GUAD,guadeloupe,10,Latin America
143,MART,martinique,3,Western Europe
144,NEAN,netherlands antilles,10,Latin America
145,SKIT,st. kitts-nevis-ang.,10,Latin America
146,SLUC,st. lucia,10,Latin America
147,SVIN,st. vincent,10,Latin America
148,BRUN,brunei,11,Southeast Asia
149,HOKO,hong-kong,7,China
150,MACA,macau,7,China
151,MALD,maldives,11,Southeast Asia
152,SING,singapore,11,Southeast Asia
153,BERM,bermuda,3,Western Europe
154,SOLO,solomon islands,11,Southeast Asia
155,FIJI,fiji,11,Southeast Asia
156,FPOL,french polynesia,11,Southeast Asia
157,NCAL,new caledonia,11,Southeast Asia
158,VANU,vanuatu,11,Southeast Asia
159,PAPU,papua new guinea,11,Southeast Asia
160,TONG,tonga,11,Southeast Asia
161,SAMO,samoa,11,Southeast Asia
162,MONG,mongolia,7,China
163,SEYC,seychelles,9,Africa
164,KIRI,kiribati,11,Southeast Asia
165,KUWA,kuwait,8,Middle East
166,UAEM,united arab emirates,8,Middle East
167,TAIW,taiwan,7,China
168,DJIB,djibouti,9,Africa
169,SSAO,"sub-saharan africa, oth.",9,Africa
170,LATO,"latin america , other",10,Latin America
171,ERIT,eritrea,9,Africa
172,ETHN,ethiopia,9,Africa
173,BOSN,bosnia and herzegovina,12,Eastern Europe
174,CROA,croatia,12,Eastern Europe
175,MACE,macedonia,12,Eastern Europe
176,YUGR,yugoslavia fed. rep.,12,Eastern Europe
177,SLON,slovenia,12,Eastern Europe
178,ARME,armenia,6,Former Soviet Union
179,AZER,azerbaijan,6,Former Soviet Union
180,BELA,belarus,6,Former Soviet Union
181,ESTO,estonia,6,Former Soviet Union
182,GEOR,georgia,6,Former Soviet Union
183,KAZA,kazakstan,6,Former Soviet Union
184,KYRG,kyrgyzstan,6,Former Soviet Union
185,LATV,latvia,6,Former Soviet Union
186,LITH,lithuania,6,Former Soviet Union
187,MOLD,moldova rep.,6,Former Soviet Union
188,RUSS,"russia, fed. rep.",6,Former Soviet Union
189,TAJI,tajikistan,6,Former Soviet Union
