countries,GCAM_region_ID,GCAM_region_name
Afghanistan,11,Southeast Asia
Albania,12,Eastern Europe
Algeria,9,Africa
American Samoa,11,Southeast Asia
Andorra,3,Western Europe
Angola,9,Africa
Anguilla,10,Latin America
Antigua and Barbuda,10,Latin America
Argentina,10,Latin America
Armenia,6,Former Soviet Union
Aruba,10,Latin America
Australia,5,Australia_NZ
Austria,3,Western Europe
Azerbaijan,6,Former Soviet Union
Bahamas,10,Latin America
Bahrain,8,Middle East
Bangladesh,11,Southeast Asia
Barbados,10,Latin America
Belarus,6,Former Soviet Union
Belgium,3,Western Europe
Belgium-Luxembourg,3,Western Europe
Belize,10,Latin America
Benin,9,Africa
Bermuda,3,Western Europe
Bhutan,11,Southeast Asia
Bolivia,10,Latin America
Bolivia (Plurinational State of),10,Latin America
Bosnia and Herzegovina,12,Eastern Europe
Botswana,9,Africa
Brazil,10,Latin America
British Virgin Islands,10,Latin America
Brunei Darussalam,11,Southeast Asia
Bulgaria,12,Eastern Europe
Burkina Faso,9,Africa
Burundi,9,Africa
Cambodia,7,China
Cameroon,9,Africa
Canada,2,Canada
Cape Verde,9,Africa
Cayman Islands,10,Latin America
Central African Republic,9,Africa
Chad,9,Africa
Channel Islands,9,Africa
Chile,10,Latin America
China,7,China
Christmas Island,5,Australia_NZ
Cocos (Keeling) Islands,5,Australia_NZ
Colombia,10,Latin America
Comoros,9,Africa
Congo,9,Africa
"Congo, Democratic Republic of",9,Africa
Cook Islands,5,Australia_NZ
Costa Rica,10,Latin America
Cote dIvoire,9,Africa
Croatia,12,Eastern Europe
Cuba,10,Latin America
Cyprus,3,Western Europe
Czech Republic,12,Eastern Europe
Czechoslovakia,12,Eastern Europe
Democratic Peoples Republic of Korea,7,China
Democratic Republic of the Congo,9,Africa
Denmark,3,Western Europe
Djibouti,9,Africa
Dominica,10,Latin America
Dominican Republic,10,Latin America
Ecuador,10,Latin America
Egypt,9,Africa
El Salvador,10,Latin America
Equatorial Guinea,9,Africa
Eritrea,9,Africa
Estonia,6,Former Soviet Union
Ethiopia,9,Africa
Ethiopia PDR,9,Africa
Falkland Islands,10,Latin America
Faroe Islands,3,Western Europe
Fiji,11,Southeast Asia
Finland,3,Western Europe
France,3,Western Europe
French Guiana,10,Latin America
French Polynesia,11,Southeast Asia
Gabon,9,Africa
Gambia,9,Africa
Georgia,6,Former Soviet Union
Germany,3,Western Europe
Ghana,9,Africa
Gibraltar,3,Western Europe
Greece,3,Western Europe
Greenland,3,Western Europe
Grenada,10,Latin America
Guadeloupe,10,Latin America
Guam,11,Southeast Asia
Guatemala,10,Latin America
Guinea,9,Africa
Guinea-Bissau,9,Africa
Guyana,10,Latin America
Haiti,10,Latin America
Honduras,10,Latin America
Hungary,12,Eastern Europe
Iceland,3,Western Europe
India,14,India
Indonesia,11,Southeast Asia
Iran (Islamic Republic of),8,Middle East
"Iran, Islamic Republic of",8,Middle East
Iraq,8,Middle East
Ireland,3,Western Europe
Isle of Man,3,Western Europe
Israel,8,Middle East
Italy,3,Western Europe
Jamaica,10,Latin America
Japan,4,Japan
Jordan,8,Middle East
Kazakhstan,6,Former Soviet Union
Kenya,9,Africa
Kiribati,11,Southeast Asia
"Korea, Democratic Peoples Republic of",7,China
"Korea, Republic of",13,Korea
Kuwait,8,Middle East
Kyrgyzstan,6,Former Soviet Union
Lao Peoples Democratic Republic,11,Southeast Asia
Latvia,6,Former Soviet Union
Lebanon,8,Middle East
Lesotho,9,Africa
Liberia,9,Africa
Libyan Arab Jamahiriya,9,Africa
Liechtenstein,3,Western Europe
Lithuania,6,Former Soviet Union
Luxembourg,3,Western Europe
Madagascar,9,Africa
Malawi,9,Africa
Malaysia,11,Southeast Asia
Maldives,11,Southeast Asia
Mali,9,Africa
Malta,3,Western Europe
Marshall Islands,11,Southeast Asia
Martinique,3,Western Europe
Mauritania,9,Africa
Mauritius,9,Africa
Mayotte,9,Africa
Mexico,10,Latin America
"Micronesia, Federated States of",11,Southeast Asia
Moldova,6,Former Soviet Union
Mongolia,7,China
Montserrat,10,Latin America
Morocco,9,Africa
Mozambique,9,Africa
Myanmar,11,Southeast Asia
Namibia,9,Africa
Nauru,11,Southeast Asia
Nepal,11,Southeast Asia
Netherlands,3,Western Europe
Netherlands Antilles,10,Latin America
New Caledonia,11,Southeast Asia
