countries,item,2001,2002,2003,2004,2005,avg
Afghanistan,Arable land,7429,7379,8761,7934,8385,7977.6
Albania,Arable land,578,578,578,578,538,570
Algeria,Arable land,7583,7547,7503.7,7493,7511,7527.54
American Samoa,Arable land,2,2,2,2,2,2
Andorra,Arable land,1,1,1,1,1,1
Angola,Arable land,3000,3100,3300,3300,3300,3200
Antigua and Barbuda,Arable land,8,8,8,8,8,8
Argentina,Arable land,28000,28129,28700,30500,30500,29165.8
Armenia,Arable land,442,444,441,430,430,437.4
Aruba,Arable land,2,2,2,2,2,2
Australia,Arable land,49807,47799,47040,47743,49402,48358.2
Austria,Arable land,1387,1385,1387,1386,1387,1386.4
Azerbaijan,Arable land,1835.7,1837.3,1838.5,1840.7,1843.2,1839.08
Bahamas,Arable land,8,8,8,8,8,8
Bahrain,Arable land,2,2,2,2,2,2
Bangladesh,Arable land,8055,7997,7974,7955,7963,7988.8
Barbados,Arable land,16,16,16,16,16,16
Belarus,Arable land,5761,5616,5569,5548,5542,5607.2
Belgium,Arable land,845,832,835,840,843,839
Belize,Arable land,65,70,70,70,70,69
Benin,Arable land,2450,2550,2650,2750,2750,2630
Bermuda,Arable land,1,1,1,1,1,1
Bhutan,Arable land,130,125,125,128,128,127.2
Bolivia,Arable land,3000,3100,3514,3579,3806,3399.8
Bosnia and Herzegovina,Arable land,1010,997,1017,1028,1025,1015.4
Botswana,Arable land,200,245,195,226,240,221.2
Brazil,Arable land,58965,59100,59100,59300,59500,59193
British Virgin Islands,Arable land,3,3,3,3,3,3
Brunei Darussalam,Arable land,2,2,2,2,2,2
Bulgaria,Arable land,3467,3355,3323,3313,3173,3326.2
Burkina Faso,Arable land,4540,4640,4840,4840,4850,4742
Burundi,Arable land,975,986,990,985,986,984.4
Cambodia,Arable land,3700,3700,3700,3700,3700,3700
Cameroon,Arable land,5960,5960,5960,5960,5960,5960
Canada,Arable land,45880,45727,45573,45420,45266,45573.2
Cape Verde,Arable land,50,50,50,50,50,50
Cayman Islands,Arable land,1,1,1,1,1,1
Central African Republic,Arable land,1930,1930,1910,1930,1930,1926
Chad,Arable land,3600,3600,3800,3800,4200,3800
Channel Islands,Arable land,3.7,3.6,3.6,3.7,3.8,3.68
