countries,item,2001,2002,2003,2004,2005,avg
Afghanistan,Temporary crops,,2111,3761,2934,3385,3047.75
Algeria,Temporary crops,3840,3813,3802.2,4110,3921,3897.24
Argentina,Temporary crops,,19354,,,,19354
Australia,Temporary crops,24520,24060,23575,26080,26742,24995.4
Austria,Temporary crops,1214,1210,1211,1220,1215,1214
Azerbaijan,Temporary crops,1775.9,1783.2,1785.6,1790.8,1797.6,1786.62
Belgium,Temporary crops,,727,730,739,734,732.5
Bolivia,Temporary crops,,,1810,1926,2158,1964.666667
Bosnia and Herzegovina,Temporary crops,,,550,557,553,553.3333333
Botswana,Temporary crops,,,96,158,,127
Bulgaria,Temporary crops,2860,2949,2657,2742,2617,2765
Croatia,Temporary crops,,,813,810,811,811.3333333
Cyprus,Temporary crops,92,93,110,102,102,99.8
Denmark,Temporary crops,1854,1845,1821,1836,1851,1841.4
Ecuador,Temporary crops,,1078,990,1073,1098,1059.75
El Salvador,Temporary crops,,,411,424,432,422.3333333
Estonia,Temporary crops,,324,342,343,363,343
Ethiopia,Temporary crops,,,8975,10151,10525,9883.666667
Finland,Temporary crops,1322,1351,1361,1401,1372,1361.4
France,Temporary crops,,,14113,14262,14163,14179.33333
Georgia,Temporary crops,,,,371,,371
Germany,Temporary crops,9382,9416,9299,9395,9305,9359.4
Hungary,Temporary crops,,,4325,4440,4339,4368
"Iran, Islamic Republic of",Temporary crops,11268,11458,11647,11836,12026,11647
Ireland,Temporary crops,413,422,434,422,398,417.8
Israel,Temporary crops,258,259,244,221,219,240.2
Japan,Temporary crops,3803,3779,3760,3744,3729,3763
Jordan,Temporary crops,169,172,153,185,161,168
Kenya,Temporary crops,3628,3591,3646,3758,3764,3677.4
Lebanon,Temporary crops,110,120,126,126.3,131.7,122.8
Lithuania,Temporary crops,1230,1219,1147,1164,1248,1201.6
Mali,Temporary crops,2620,3193,4581,3541,4242,3635.4
Malta,Temporary crops,,,,,7.1,7.1
Moldova,Temporary crops,,,1484,1568,1540,1530.666667
Mongolia,Temporary crops,,756,706,706,697,716.25
Myanmar,Temporary crops,,,9267,9395,9620,9427.333333
Nepal,Temporary crops,2326,2326,2326,2326,2326,2326
Norway,Temporary crops,,,378,378,374,376.6666667
Occupied Palestinian Territory,Temporary crops,32.1,33.5,32.8,33.5,34,33.18
Philippines,Temporary crops,,4816,,,,4816
Poland,Temporary crops,12288,10708,10825,11211,11112,11228.8
Portugal,Temporary crops,,,,,888,888
Puerto Rico,Temporary crops,,10,,,,10
Romania,Temporary crops,7928,7845,7655,7970,7648,7809.2
Saint Kitts and Nevis,Temporary crops,,,,,4,4
Senegal,Temporary crops,,2250,2132,2187,2326,2223.75
Slovenia,Temporary crops,150,146,157,154,156,152.6
Spain,Temporary crops,,,8575,8576,8345,8498.666667
Sudan,Temporary crops,,15889,17539,14028,15165,15655.25
Suriname,Temporary crops,57,45,55,53,49,51.8
Syrian Arab Republic,Temporary crops,,,3808,3861,3985,3884.666667
Turkey,Temporary crops,18887,18954,18381,18915,18954,18818.2
Ukraine,Temporary crops,,,28971,30152,30024,29715.66667
United Kingdom,Temporary crops,4403,4523,4429,4544,4396,4459
United States of America,Temporary crops,,134863,135672,133244,133448,134306.75
Viet Nam,Temporary crops,6026,5978,5958,,,5987.333333
Yemen,Temporary crops,,997,834,957,969,939.25
