; historical inputs for Hector v 3.1 coupled with GCAM,,,,,,,,,,,,,,,,,,,,,,,
; there should be no emissions after the 2005 (def_switch_year),,,,,,,,,,,,,,,,,,,,,,,
; date March Tues 21 2023,,,,,,,,,,,,,,,,,,,,,,,
; UNITS:,  PgC year-1,  PgC year-1,  PgC year-1,  PgC year-1,  Tg year-1,  ppt,  ppt,  Tg CH4 year-1,  Tg CO year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  Tg N year-1,  Tg year-1,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  ppt,  Gg S year-1
Date,ffi_emissions,luc_emissions,daccs_uptake,luc_uptake,BC_emissions,C2F6_emissions,CF4_emissions,CH4_emissions,CO_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_emissions,SO2_emissions
1745,0.002594013,0.081175867,0,0,2.097770755,0,0.010071225,19.01978312,348.5273588,0,0,0,0,0,0,0,0.054751418,6.927690091,60.02182622,3.877282015,15.44766815,0,1221.927531
1746,0.002594013,0.081175867,0,0,2.097770755,0,0.010071225,19.01978312,348.5273588,0,0,0,0,0,0,0,0.054751418,6.927690091,60.02182622,3.877282015,15.44766815,0,1221.927531
1747,0.002594013,0.081175867,0,0,2.097770755,0,0.010071225,19.01978312,348.5273588,0,0,0,0,0,0,0,0.054751418,6.927690091,60.02182622,3.877282015,15.44766815,0,1221.927531
1748,0.002594013,0.081175867,0,0,2.097770755,0,0.010071225,19.01978312,348.5273588,0,0,0,0,0,0,0,0.054751418,6.927690091,60.02182622,3.877282015,15.44766815,0,1221.927531
1749,0.002594013,0.081175867,0,0,2.097770755,0,0.010071225,19.01978312,348.5273588,0,0,0,0,0,0,0,0.054751418,6.927690091,60.02182622,3.877282015,15.44766815,0,1221.927531
1750,0.002594013,0.081175867,0,0,2.097770755,0,0.010071225,19.01978312,348.5273588,0,0,0,0,0,0,0,0.054751418,6.927690091,60.02182622,3.877282015,15.44766815,0,1221.927531
1751,0.002594106,0.08266927,0,0,2.072925926,0,0.010071225,18.91510887,343.9263672,0,0,0,0,0,0,0,0.055785796,6.860142185,59.08812628,3.833772936,15.18871674,0,1206.06818
1752,0.002595208,0.084190146,0,0,2.064311933,0,0.010071225,18.88971181,341.8090339,0,0,0,0,0,0,0,0.056839716,6.819482037,58.63199703,3.834371851,15.03447574,0,1200.427847
1753,0.002595302,0.085739002,0,0,2.071950564,0,0.010071225,19.12137723,343.6754562,0,0,0,0,0,0,0,0.057913547,6.881438529,59.0263494,3.817794323,15.18254515,0,1207.227099
1754,0.002596404,0.087316353,0,0,2.099349783,0,0.010071225,19.50906107,349.8156252,0,0,0,0,0,0,0,0.059007665,7.015189224,60.26994517,3.847331337,15.55877305,0,1232.953114
1755,0.002597506,0.088922722,0,0,2.099173165,0,0.010071225,19.50045493,348.144668,0,0,0,0,0,0,0,0.060122454,6.943989043,59.82493372,3.886652888,15.35818253,0,1223.082685
1756,0.00277509,0.090558644,0,0,2.068915407,0,0.010071225,19.4625366,343.3231517,0,0,0,0,0,0,0,0.061258303,6.922711557,58.94682931,3.780146274,15.19577663,0,1211.479202
1757,0.002776193,0.092224663,0,0,2.147923676,0,0.010071225,20.02354066,355.9418923,0,0,0,0,0,0,0,0.062415611,7.047674129,61.263693,3.998436266,15.70481912,0,1255.688247
1758,0.002777295,0.093921331,0,0,2.12061141,0,0.010071225,19.93400533,351.839749,0,0,0,0,0,0,0,0.063594783,6.995459768,60.43461244,3.95160932,15.51461163,0,1241.80619
1759,0.002778397,0.095649213,0,0,2.117267431,0,0.010071225,20.14146621,351.5077627,0,0,0,0,0,0,0,0.064796232,7.045958325,60.44526305,3.882559461,15.57401349,0,1238.693446
1760,0.002778491,0.097408883,0,0,2.127804105,0,0.010071225,20.41679714,354.4182853,0,0,0,0,0,0,0,0.06602038,7.128048286,61.05172479,3.870426966,15.81906393,0,1250.820917
1761,0.0030418,0.099200926,0,0,2.137756989,0,0.010071225,20.45599017,354.7079679,0,0,0,0,0,0,0,0.067267654,7.080969808,60.9842272,3.947785545,15.69191588,0,1256.548122
