; default inputs for the emissions & RF implemented in Hector v 3.1 but not in GCAM,,,,,,,,,,,,,,,,,,
; date March Tues 21 2023,,,,,,,,,,,,,,,,,,
; UNITS:,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,Gg  year-1,  W m-2 year-1,  W m-2 year-1,Gg year-1,Gg  year-1,Gg   year-1
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,RF_albedo,SV,halon1211_emissions,halon2402_emissions,halon1301_emissions
1745,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,0,0,0,0,0,0.185745674,0.007723273,0,0
1746,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,0,0,0,0,0,0.185745674,0.007723273,0,0
1747,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,0,0,0,0,0,0.185745674,0.007723273,0,0
1748,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,0,0,0,0,0,0.185745674,0.007723273,0,0
1749,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,0,0,0,0,0,0.185745674,0.007723273,0,0
1750,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,0,0,0,0,0,0.185745674,0.007723273,0,0
1751,0.024856862,0,0,0,0,0,105.1072,0,4276.7685,0,0,0,0,-0.000229457,0.185756746,0.007723273,0,0
1752,0.024856862,0,0,0,0,0,105.12502,0,4277.7049,0,0,0,0,-4.59E-04,0.185760472,0.007723273,0,0
1753,0.024856862,0,0,0,0,0,105.10373,0,4276.586,0,0,0,0,-6.88E-04,0.185761717,0.007723273,0,0
1754,0.024856862,0,0,0,0,0,105.07356,0,4274.9998,0,0,0,0,-9.18E-04,0.185762136,0.007723273,0,0
1755,0.024856862,0,0,0,0,0,105.09182,0,4275.9598,0,0,0,0,-0.001147286,0.16149051,0.007723273,0,0
1756,0.024856862,0,0,0,0,0,105.08556,0,4275.6306,0,0,0,0,-0.001376744,-0.064139904,0.007723273,0,0
1757,0.024856862,0,0,0,0,0,105.09137,0,4275.9361,0,0,0,0,-0.001606201,0.06548149,0.007723273,0,0
1758,0.024856862,0,0,0,0,0,105.09662,0,4276.2118,0,0,0,0,-0.001835658,0.143706674,0.007723273,0,0
1759,0.024856862,0,0,0,0,0,105.08372,0,4275.5338,0,0,0,0,-0.002065115,0.171560264,0.007723273,0,0
1760,0.024856862,0,0,0,0,0,105.04022,0,4273.2473,0,0,0,0,-0.002294573,0.180988301,0.007723273,0,0
1761,0.024856862,0,0,0,0,0,105.09143,0,4275.9395,0,0,0,0,-0.00252403,0.184158544,0.007723273,0,0
1762,0.024856862,0,0,0,0,0,105.08127,0,4275.4052,0,0,0,0,-0.002753487,-0.719878886,0.007723273,0,0
1763,0.024856862,0,0,0,0,0,105.09332,0,4276.0386,0,0,0,0,-0.002982944,-0.439960121,0.007723273,0,0
