Optimization Input,,Variant for cases
,,high and very high clim sens
INDOPT,,
INPUT_TABLE,,
Variable ID,,
1,,
Define the sort of optimization: 0-none  1-hotelling  2-WREpath,,
INDOPT Value:,,
2,,

NLG,,
INPUT_TABLE,,
Variable ID,,
5,,
number of mitigation groups,,
NLG Value: (MUST be 1 for WRE-like path),,
1,,,,,,,,,,,,,,

LGMEMBC,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
Members of the group (must be everyone if global trading is assumed),,,,,,,,,,,,,,
number membs,members,,,,,,,,,,,,,
14,1,2,3,4,5,6,7,8,9,10,11,12,13,14

WHICHTARG,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
which target ,,,,,,,,,,,,,,
1-cumul.emiss  2-CO2Conc  3-TempChange  4-CO2ConcMax,,,,,,,,,,,,,,
3,,,,,,,

CUMTARG,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
8,,,,,,,
Actual value for target (to be matched with number reported from MAGICC if whichtarg > 1),,,,,,,
limit,,,,,,,
1.975,,This value results in stable 2C temp chagne if forcing beyond 2100 declines by 0.002 W/m^2/yr,,,,,

BASEWREPATH,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
20,,,,,,,
Base WRE path (in global tons carbon) to try,,,,,,,
1990,2005,2020,2035,2050,2065,2080,2095
-1,-1,7625,6007,4669,4035,3556,3240
5420,7681,,,,,,

SECONDWREPATH,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
21,,,,,,,
Second WRE path (in global tons carbon) to try -- difference in shapes defines family of paths,,,,,,,
1990,2005,2020,2035,2050,2065,2080,2095
-1,-1,100,100,100,100,100,100


Source:,,,,,,,
" Wigley, T.M.L., R. Richels & J. A. Edmonds. 1996. ""Economic and Environmental Choices in the Stabilization of Atmospheric CO2 Concentrations,"" Nature. 379(6562):240-243.",,,,,,,

"(Verison ""A"")",,,,,,,

"Adjusted by subtracting cement emissions, assumed to be:",,
2005,260,MMTC
2020,320,MMTC
2035,390,MMTC
2050,470,MMTC
2065,520,MMTC
2080,620,MMTC
2095,550,MMTC
