Sample input file for Case 811,,,,,,,,,
Allows GWP to vary over time,,,,,,,,,



INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
811,,,,,,,,,
OGGWP by period,,NOTE: This table must be read after case 800 -- overwrites GWP's entered there,,,,,,,
Index,Gas Name,1990,2005,2020,2035,2050,2065,2080,2095
1,CH4,21,21,21,21,21,21,21,21
2,N2O,310,310,310,310,310,310,310,310
3,SO2,0,0,0,0,0,0,0,0
4,NOx,0,0,0,0,0,0,0,0
5,CO,0,0,0,0,0,0,0,0
6,VOC,0,0,0,0,0,0,0,0
7,BC,0,0,0,0,0,0,0,0
8,OC,0,0,0,0,0,0,0,0
9,not-used,0,0,0,0,0,0,0,0
10,HFC-245fa,790,790,790,790,790,790,790,790
11,HFC-134a,1300,1300,1300,1300,1300,1300,1300,1300
12,HFC125(227ea),2800,2800,2800,2800,2800,2800,2800,2800
13,HFC-143a,3800,3800,3800,3800,3800,3800,3800,3800
14,SF6 ,22200,22200,22200,22200,22200,22200,22200,22200
15,C2F6,11900,11900,11900,11900,11900,11900,11900,11900
16,CF4 ,5700,5700,5700,5700,5700,5700,5700,5700
17,not-used,0,0,0,0,0,0,0,0
18,not-used,0,0,0,0,0,0,0,0
19,not-used,0,0,0,0,0,0,0,0
20,not-used,0,0,0,0,0,0,0,0
21,not-used,0,0,0,0,0,0,0,0
22,not-used,0,0,0,0,0,0,0,0
23,not-used,0,0,0,0,0,0,0,0
24,not-used,0,0,0,0,0,0,0,0
25,not-used,0,0,0,0,0,0,0,0
