,"Careful that boilers and process heat need to be linked to table of steam and heat-only efficiencies, not average efficiencies that include cogen",,,,,,
Region: USA,,tech change,0,,,,
EndUseTechsforXML,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
400,,,,,,,

Sector,Subsector,Technology,Year,minicam-energy-input,Efficiency ,Non Energy Costs,logit exp
boilers pulp paper and wood,electricity,electricity,1975,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,1990,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2005,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2020,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2035,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2050,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2065,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2080,elect_td_ind,1.00,1,-6
boilers pulp paper and wood,electricity,electricity,2095,elect_td_ind,1.00,1,-6


Region: USA,,tech change,0.001,,,,
EndUseTechsforXML,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
400,,,,,,,

Sector,Subsector,Technology,Year,minicam-energy-input,Efficiency ,Non Energy Costs,logit exp
boilers pulp paper and wood,refined liquids,refined liquids,1975,refined liquids industrial,1.00,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,1990,refined liquids industrial,0.80,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2005,refined liquids industrial,0.80,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2020,refined liquids industrial,0.81,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2035,refined liquids industrial,0.82,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2050,refined liquids industrial,0.84,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2065,refined liquids industrial,0.85,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2080,refined liquids industrial,0.86,1,-6
boilers pulp paper and wood,refined liquids,refined liquids,2095,refined liquids industrial,0.88,1,-6


Region: USA,,tech change,0.001,,,,
EndUseTechsforXML,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
400,,,,,,,

Sector,Subsector,Technology,Year,minicam-energy-input,Efficiency ,Non Energy Costs,logit exp
boilers pulp paper and wood,coal,coal,1975,delivered coal,1.00,1,-6
boilers pulp paper and wood,coal,coal,1990,delivered coal,0.80,1,-6
boilers pulp paper and wood,coal,coal,2005,delivered coal,0.80,1,-6
boilers pulp paper and wood,coal,coal,2020,delivered coal,0.81,1,-6
