Region: USA,,,
INPUT_TABLE,,,
Variable ID,,,
100,,,

supplysector,output-unit,input-unit,price-unit
boilers pulp paper and wood,EJ,EJ,1975$/GJ
boilers general,EJ,EJ,1975$/GJ
process heat primary metals,EJ,EJ,1975$/GJ
process heat general,EJ,EJ,1975$/GJ
machine drive,EJ,EJ,1975$/GJ
hvac,EJ,EJ,1975$/GJ
other end uses petroleum,EJ,EJ,1975$/GJ
other end uses general,EJ,EJ,1975$/GJ
electrochemical,EJ,EJ,1975$/GJ
feedstocks petroleum,EJ,EJ,1975$/GJ
feedstocks chemicals,EJ,EJ,1975$/GJ
feedstocks primary metals,EJ,EJ,1975$/GJ
all end uses agriculture,EJ,EJ,1975$/GJ
all end uses mining,EJ,EJ,1975$/GJ
construction energy uses,EJ,EJ,1975$/GJ
construction feedstocks,EJ,EJ,1975$/GJ
limestone feedstocks,EJ,Gt_cfe,1975$/GJ

Region: USA,,,
INPUT_TABLE,,,
Variable ID,,,
106,,,
,keyword,,
supplysector,final-energy,,
boilers pulp paper and wood,industry,,
boilers general,industry,,
process heat primary metals,industry,,
process heat general,industry,,
machine drive,industry,,
hvac,industry,,
other end uses petroleum,industry,,
other end uses general,industry,,
electrochemical,industry,,
feedstocks petroleum,industry,,
feedstocks chemicals,industry,,
feedstocks primary metals,industry,,
all end uses agriculture,industry,,
all end uses mining,industry,,
construction energy uses,industry,,
construction feedstocks,industry,,limestone not included here b/c not an energy input

IndustrySupplySector ,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,gpk tired of trying to work with model on shareweights,,,note that 2005 values will be re-calculated each model run,,,,,,,,,,,,,,,
200,,shareweights will be scaled manually from now on,,,update these particularly if non-energy costs change,,,,,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,ScaleYear,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp
boilers pulp paper and wood,electricity,1975,1,1,3.70692,3.70692,3.70692,3.70692,3.70692,3.70692,3.70692,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers pulp paper and wood,refined liquids,1975,1,1,0.158523,0.158523,0.158523,0.158523,0.158523,0.158523,0.158523,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers pulp paper and wood,gas,1975,1,1,0.167143,0.167143,0.167143,0.167143,0.167143,0.167143,0.167143,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers pulp paper and wood,coal,1975,1,1,0.0152424,0.0152424,0.0152424,0.0152424,0.0152424,0.0152424,0.0152424,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers pulp paper and wood,biomass,1975,1,1,0.95217,0.95217,0.95217,0.95217,0.95217,0.95217,0.95217,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers general,electricity,1975,1,1,4.23568,4.23568,4.23568,4.23568,4.23568,4.23568,4.23568,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers general,refined liquids,1975,1,1,0.163364,0.163364,0.163364,0.163364,0.163364,0.163364,0.163364,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers general,gas,1975,1,1,0.564044,0.564044,0.564044,0.564044,0.564044,0.564044,0.564044,-6,-6,-6,-6,-6,-6,-6,-6,-6
