"Cogen boilers, cogen process heat, and other",,,,,,,,,,,,,,,,,,,,
sector,subsector,technology,efficiency,input-cost,logitexp,output-ratio,techchange,,,,,,,,,,,,,
boilers pulp paper and wood,hydrogen,fuelcell cogen,0.45,2.5,-6,1,0.001,,,,,,,,,,,,,
boilers general,hydrogen,fuelcell cogen,0.45,2.5,-6,1,0.001,,,,,,,,,,,,,
process heat primary metals,hydrogen,fuelcell cogen,0.45,2.5,-6,1,0.001,,,,,,,,,,,,,
process heat general,hydrogen,fuelcell cogen,0.45,2.5,-6,1,0.001,,,,,,,,,,,,,
other end uses general,hydrogen,fuelcell,1,1,-6,na,0.001,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Subsector shareweights and logit exponents,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,ScaleYear,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp
boilers pulp paper and wood,hydrogen,2005,0,0,0,1,1,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers general,hydrogen,2005,0,0,0,1,1,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat primary metals,hydrogen,2005,0,0,0,1,1,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat general,hydrogen,2005,0,0,0,1,1,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses general,hydrogen,2005,0,0,0,1,1,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
,,,,,,,,,,,,,,,,,,,,
Tech Scale Year,,,,,,,,,,,,,,,,,,,,
Region: USA,,,,,,,,,,,,,,,,,,,,
don't read,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
supplysector,subsector,techScaleYear,,,,,,,,,,,,,,,,,,
boilers pulp paper and wood,hydrogen,2020,,,,,,,,,,,,,,,,,,
boilers general,hydrogen,2020,,,,,,,,,,,,,,,,,,
process heat primary metals,hydrogen,2020,,,,,,,,,,,,,,,,,,
process heat general,hydrogen,2020,,,,,,,,,,,,,,,,,,
other end uses general,hydrogen,2020,,,,,,,

Technology attributes: cogen,,,,,,,,,
Region: USA,,,,,,,,,
Cogen,,,,,,,,,
INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
403,,,,,,,,,
,,,,,,minicam-non-energy-input,,,
supplysector,subsector,technology,period,minicam-energy-input,efficiency,input-cost,logitexp,secondary-output,output-ratio
boilers pulp paper and wood,hydrogen,fuelcell cogen,1975,H2 Enduse,0.45,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,1990,H2 Enduse,0.45,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2005,H2 Enduse,0.45,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2020,H2 Enduse,0.46,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2035,H2 Enduse,0.46,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2050,H2 Enduse,0.47,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2065,H2 Enduse,0.48,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2080,H2 Enduse,0.49,2.5,-6,electricity,1
boilers pulp paper and wood,hydrogen,fuelcell cogen,2095,H2 Enduse,0.49,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,1975,H2 Enduse,0.45,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,1990,H2 Enduse,0.45,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2005,H2 Enduse,0.45,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2020,H2 Enduse,0.46,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2035,H2 Enduse,0.46,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2050,H2 Enduse,0.47,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2065,H2 Enduse,0.48,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2080,H2 Enduse,0.49,2.5,-6,electricity,1
boilers general,hydrogen,fuelcell cogen,2095,H2 Enduse,0.49,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,1975,H2 Enduse,0.45,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,1990,H2 Enduse,0.45,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2005,H2 Enduse,0.45,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2020,H2 Enduse,0.46,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2035,H2 Enduse,0.46,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2050,H2 Enduse,0.47,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2065,H2 Enduse,0.48,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2080,H2 Enduse,0.49,2.5,-6,electricity,1
process heat primary metals,hydrogen,fuelcell cogen,2095,H2 Enduse,0.49,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,1975,H2 Enduse,0.45,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,1990,H2 Enduse,0.45,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2005,H2 Enduse,0.45,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2020,H2 Enduse,0.46,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2035,H2 Enduse,0.46,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2050,H2 Enduse,0.47,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2065,H2 Enduse,0.48,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2080,H2 Enduse,0.49,2.5,-6,electricity,1
process heat general,hydrogen,fuelcell cogen,2095,H2 Enduse,0.49,2.5,-6,electricity,1


Non-cogen H2 techs,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
400,,,,,,,
,,,,,,minicam-non-energy-input,
Sector,Subsector,Technology,Year,minicam-energy-input,efficiency,input-cost,logit exp
other end uses general,hydrogen,fuelcell,1975,H2 Enduse,1.00,1,-6
other end uses general,hydrogen,fuelcell,1990,H2 Enduse,1.00,1,-6
other end uses general,hydrogen,fuelcell,2005,H2 Enduse,1.00,1,-6
other end uses general,hydrogen,fuelcell,2020,H2 Enduse,1.02,1,-6
other end uses general,hydrogen,fuelcell,2035,H2 Enduse,1.03,1,-6
other end uses general,hydrogen,fuelcell,2050,H2 Enduse,1.05,1,-6
other end uses general,hydrogen,fuelcell,2065,H2 Enduse,1.06,1,-6
other end uses general,hydrogen,fuelcell,2080,H2 Enduse,1.08,1,-6
other end uses general,hydrogen,fuelcell,2095,H2 Enduse,1.09,1,-6
