# File: A_bio_frac_prod_R,,,
# Description: Base-year fraction of residue biomass produced by region and source,,,
# Original source: Workbook put together by Kate Calvin,,,
GCAM_region_ID,ag,For,Mill
1,0.261919425,0.6,0.8
2,0.383355931,0.427423069,0.8
3,0.456616168,0.6,0.8
4,0.188009784,0.6,0.101285047
5,0.022857419,0.452055216,0.668579328
6,0.052676647,0.6,0.8
7,0.001998073,0.046689451,0.312231063
8,0.010969462,0.6,0.546050877
9,0.9,0.9,0.9
10,0.408779196,0.6,0.8
11,0.209931471,0.590937633,0.8
12,0.016385917,0.490557439,0.598565434
13,0.117120743,0.6,0.049624485
14,0.119480434,0.43895316,0.8
15,0.408779196,0.6,0.8
16,0.052676647,0.6,0.8
