# File: A_LandNode_logit.csv,,
# Description: Logit exponents of land nodes,,
# Original source: Land_nesting_structure.xls,,
# ----------,,
LandNode,logit.exponent,logit.exponent.arid
Tundra,0,0
RockIceDesert,0,0
UrbanLand,0,0
AgroForestLand,1,0.5
AllPastureLand,3,1.5
AgroForest_NonPasture,1.25,0.625
AllForestLand,1.75,0.875
GrassShrubLand,0.05,0.05
CropLand,1.75,0.875
