# File: IMAGE_an_FeedIO_Rimg_C_Sys_Y.csv
# Title: IMAGE animal feed input-output coefficients by IMAGE region / animal type / feeding system / feed type / and year
# Units: NA
# Author: Page Kyle
# Original source: aglu-data/RawData/IMAGE/Input Fractions.xls [IO Coeffs]
# ----------
commodity,system,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Beef,Mixed,1970,28.24638324,29.67823868,69.56023262,52.66712707,57.94732098,40.81171387,31.65354579,77.51738482,52.39997699,32.58848733,23.26863173,22.16646522,71.79188284,23.54918192,16.65947307,24.00187701,36.26886047,205.4253985,82.10499847,324.1807969,101.4281178,117.7242887,27.15325413,43.99432011
Beef,Pastoral,1970,38.62047461,35.2289461,87.7761632,76.8963486,90.34370483,61.43753585,11.34899383,136.9991208,151.2629031,103.6261282,0,0,0,0,26.31781236,0,62.78765927,190.762554,0,533.0492312,183.4111909,271.8836124,0,53.51667161
Dairy,Mixed,1970,1.144758709,1.069206067,1.89645847,2.54827818,2.765470316,1.643191594,2.144692606,5.139189868,4.299681341,2.658166071,1.231535464,1.319301162,1.286264623,1.426669061,1.76168636,1.463808887,1.355145487,1.86083439,1.03068558,3.204398289,8.439260548,1.420939344,1.168820806,0.929920465
Dairy,Pastoral,1970,4.704152851,4.088163558,3.473974524,3.157928681,5.162936359,4.41344646,19.79801145,6.228087251,6.197930202,3.86328365,0,0,2.058059442,0,2.654288606,0,3.487989607,4.205982489,0.734841534,3.523154493,7.335626942,0.881874754,0,1.657512389
Pork,Mixed,1970,8,8,8,8,8,8,9,8,8,8,8,9,0,9,9,9,9,8,11,11,8,8,8,8
Poultry,Mixed,1970,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5.5,5.5,5,5,4,4
SheepGoat,Mixed,1970,26.12110118,36.38797925,102.8590401,70.63195238,61.12956596,37.22122956,21.71779001,27.29007741,25.67895022,21.15796213,25.09019808,41.26646984,71.24186346,47.51318087,19.29632855,46.60116407,27.07705235,32.15366661,32.15366661,32.15366661,32.15366661,32.15366661,36.07214147,41.85344205
SheepGoat,Pastoral,1970,35.61277775,39.80533412,142.723398,75.82267713,110.4205583,79.20703146,21.71779001,29.38654365,26.69681042,30.27748497,0,0,0,0,18.71921282,0,16.92460128,41.681012,0,36.22639574,41.681012,41.681012,0,45.98928218
Beef,Mixed,1980,29.60640904,29.59056857,89.87625509,53.01347117,59.16668445,46.37580471,23.06937439,71.37732022,51.83017303,32.52658855,23.46949522,24.12115584,41.47413274,25.89238605,18.42614091,26.61484276,24.28781262,146.5746277,46.60174523,214.302215,76.25284464,84.45462226,20.38883344,32.00741913
Beef,Pastoral,1980,39.82213307,36.69556149,76.45624756,76.95812377,88.57957868,62.34302007,9.844137118,125.0470758,141.6472218,95.15988246,0,0,183.3409489,0,29.95992704,0,37.23109731,175.9384161,71.98126311,343.1013552,115.9599176,122.0152269,0,41.75465768
Dairy,Mixed,1980,1.134417163,1.045881524,2.045453935,2.347566957,3.005748722,1.754955413,2.073505455,5.11150105,3.975928667,2.478858651,1.190628474,1.31584192,1.768036911,1.497340288,1.886282272,1.536048836,1.345309923,2.024386149,1.166580765,2.799419186,6.74376977,1.868090404,1.285739515,0.86270798
Dairy,Pastoral,1980,2.474346947,2.168028183,3.109629909,2.838528349,5.289668558,4.076392405,18.94361221,6.880302827,5.455338422,4.500667986,0,0,2.058059442,0,2.724067644,0,2.115843417,3.920631572,1.156970085,2.810658468,6.468562321,1.701566522,0,1.848291828
Pork,Mixed,1980,7.24,7.24,7.42,7.42,7.42,7.42,8.35,7.42,7.42,7.42,7.24,8.14,0,8.14,8.35,8.14,8.35,7.42,11,11,7.42,7.42,7.24,7.24
Poultry,Mixed,1980,3.62,3.62,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,3.62,4.52,4.64,4.52,4.64,4.52,4.64,4.64,5.5,5.5,4.64,4.64,3.62,3.62
SheepGoat,Mixed,1980,27.37879748,36.28048843,132.9004371,71.09643491,62.4158922,42.29580944,18.83804908,25.12846117,25.39971407,21.11777456,25.30678602,44.90544343,41.15638683,52.2408645,21.34262395,51.67440252,19.31995214,22.94220553,22.94220553,22.94220553,22.94220553,22.94220553,27.08584691,30.44985485
SheepGoat,Pastoral,1980,36.72085309,41.46246902,124.3172981,75.88358976,108.2643948,80.37440766,18.83804908,26.82280974,24.99971209,27.80381707,0,0,22.57257465,0,21.30975944,0,16.06160369,38.44198496,74.27624057,34.37918578,38.44198496,38.44198496,0,35.88165475
Beef,Mixed,1990,34.04576186,24.51030856,40.53582664,61.08633665,52.9528714,48.96432312,18.37992451,69.38900769,50.32174127,34.07040783,22.77717777,24.01871354,11.58498173,24.71462517,17.9375923,25.18427341,24.67704256,118.862499,48.42988185,95.4454397,76.83159038,91.59949782,18.6497566,31.84911217
Beef,Pastoral,1990,39.45825359,33.59661387,57.94881622,87.70436004,72.24766249,61.46447932,7.343993056,133.6353708,146.2187242,84.85127041,0,0,113.0917838,0,27.4849435,0,55.44930099,146.9740857,49.88769407,156.2256651,114.0139385,145.5798094,0,38.2772379
