# File: IMAGE_an_Prodmixfrac_Rimg_C_Y.csv
# Title: IMAGE animal production system fractions by IMAGE region / animal type / and year
# Units: NA
# Author: Page Kyle
# Source: aglu-data/RawData/IMAGE/Fraction Mixed.xls [Fraction Mixed]
# ----------
commodity,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Beef,1970,0.83,0.83,0.25,0.45,0.25,0.2,0.82,0.35,0.2,0.2,1,1,0.35,1,0.35,1,0.35,0.4,0.5,0.45,0.88,0.9,1,0.25
Dairy,1970,0.95,0.95,0.8,0.8,0.6,0.75,0.987,0.43,0.5,0.135,1,1,0.995,1,0.7,1,0.987,0.96,0.5,0.5,0.97,0.95,1,0.1
Pork,1970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SheepGoat,1970,0.37,0.37,0.268,0.268,0.268,0.268,0.97,0.37,0.37,0.014,1,1,0.945,1,0.945,1,0.945,0.9,0.8,0.2,0.65,0.65,1,0.1
Poultry,1970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beef,1980,0.85,0.85,0.3,0.5,0.3,0.3,0.83,0.35,0.25,0.22,1,1,0.9,1,0.35,1,0.35,0.43,0.55,0.55,0.8,0.78,1,0.25
Dairy,1980,0.95,0.95,0.8,0.8,0.7,0.78,0.982,0.44,0.5,0.189,1,1,0.998,1,0.7,1,0.987,0.96,0.5,0.5,0.973,0.97,1,0.1
Pork,1980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SheepGoat,1980,0.429,0.429,0.332,0.332,0.332,0.332,0.942,0.45,0.45,0.02,1,1,0.945,1,0.945,1,0.945,0.9,0.2,0.2,0.68,0.68,1,0.2
Poultry,1980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beef,1990,0.85,0.87,0.35,0.55,0.4,0.4,0.84,0.55,0.35,0.24,1,1,0.9,1,0.35,1,0.35,0.45,0.6,0.6,0.8,0.82,1,0.26
Dairy,1990,0.94,0.94,0.8,0.8,0.762,0.8,0.971,0.45,0.55,0.259,1,1,0.99,1,0.7,1,0.971,0.96,0.5,0.5,0.99,0.99,1,0.15
Pork,1990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SheepGoat,1990,0.488,0.488,0.409,0.409,0.409,0.409,0.893,0.536,0.536,0.029,1,1,0.945,1,0.945,1,0.945,0.9,0.25,0.25,0.75,0.75,1,0.22
Poultry,1990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beef,2005,0.88,0.88,0.4,0.58,0.5,0.45,0.85,0.6,0.5,0.3,1,1,0.9,1,0.35,1,0.35,0.48,0.65,0.65,0.8,0.816,1,0.3
Dairy,2005,0.94,0.94,0.8,0.8,0.8,0.82,0.97,0.45,0.65,0.3,1,1,0.99,1,0.7,1,0.962,0.96,0.8,0.8,0.99,0.99,1,0.15
Pork,2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SheepGoat,2005,0.517,0.517,0.451,0.451,0.451,0.451,0.9,0.578,0.578,0.035,1,1,0.945,1,0.945,1,0.945,0.9,0.27,0.27,0.778,0.778,1,0.25
Poultry,2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beef,2030,0.9,0.9,0.45,0.58,0.65,0.6,0.85,0.65,0.6,0.3,1,1,0.9,1,0.45,1,0.45,0.55,0.7,0.7,0.79,0.79,1,0.32
Dairy,2030,0.94,0.95,0.82,0.82,0.85,0.87,0.983,0.55,0.75,0.54,1,1,0.99,1,0.7,1,0.975,0.96,0.7,0.8,0.996,0.996,1,0.25
Pork,2030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SheepGoat,2030,0.541,0.541,0.478,0.478,0.478,0.478,0.905,0.599,0.599,0.083,1,1,0.948,1,0.948,1,0.948,0.905,0.307,0.307,0.789,0.789,1,0.288
Poultry,2030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
