Supply Sector Definitions,,,,,,,,,,,,,
,,,,0,Include Bio CCS,,,,,,,,
Technology Definitions,,,,,,,,,,,,,

INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
916,,,,,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input
Techology Efficiencies,,,,,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency
region,Supply Sector,Subsector,Technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,H2 Central Production,gas chemical,natural gas steam reforming,regional natural gas,0.73,0.73,0.73,0.73,0.74,0.75,0.77,0.78,0.79
USA,H2 Central Production,gas chemical,natural gas steam reforming CCS,regional natural gas,0.73,0.73,0.73,0.73,0.75,0.77,0.79,0.80,0.81
USA,H2 Central Production,coal chemical,coal chemical,regional coal,0.54,0.54,0.54,0.54,0.56,0.57,0.59,0.60,0.61
USA,H2 Central Production,coal chemical,coal chemical CCS,regional coal,0.59,0.59,0.59,0.59,0.60,0.62,0.64,0.65,0.66
USA,H2 Central Production,biomass to H2,biomass to H2,regional biomass,0.45,0.45,0.45,0.45,0.47,0.48,0.49,0.50,0.51
USA,H2 Central Production,electrolysis,electrolysis,elect_td_ind,0.63,0.63,0.63,0.63,0.65,0.68,0.71,0.72,0.73
USA,H2 Central Production,nuclear,thermal splitting,nuclearFuelGenIII,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.88
USA,H2 Central Production,wind,electrolysis,wind_no_backup,0.63,0.63,0.63,0.63,0.65,0.68,0.71,0.72,0.73
USA,H2 Central Production,solar,electrolysis,solar_no_backup,0.63,0.63,0.63,0.63,0.65,0.68,0.71,0.72,0.73
USA,H2 Forecourt Production,gas chemical,natural gas steam reforming,delivered gas,0.72,0.72,0.72,0.72,0.75,0.79,0.82,0.84,0.85
USA,H2 Forecourt Production,electrolysis,electrolysis,elect_td_trn,0.60,0.60,0.60,0.60,0.63,0.65,0.68,0.69,0.70
USA,H2_td,H2_td,H2_td,H2 Central Production,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
USA,H2 Enduse,H2 Enduse,H2_td,H2_td,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
USA,H2 Enduse,H2 Enduse,H2 Forecourt Production,H2 Forecourt Production,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,Bio CCS not input,,,,0.45,0.45,0.45,0.45,0.47,0.48,0.49,0.50,0.51


INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
918,,,,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input
Techology non-energy Costs,,,,costs,costs,costs,costs,costs,costs,costs,costs,costs,
region,Supply Sector,Subsector,Technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
USA,H2 Central Production,gas chemical,natural gas steam reforming,1.03,1.03,1.03,1.03,0.95,0.89,0.82,0.76,0.71
USA,H2 Central Production,gas chemical,natural gas steam reforming CCS,1.58,1.58,1.58,1.58,1.44,1.31,1.19,1.11,1.03
USA,H2 Central Production,coal chemical,coal chemical,3.00,3.00,3.00,3.00,2.74,2.51,2.29,2.13,1.98
USA,H2 Central Production,coal chemical,coal chemical CCS,3.88,3.88,3.88,3.88,3.56,3.27,3.00,2.78,2.58
USA,H2 Central Production,biomass to H2,biomass to H2,2.98,2.98,2.98,2.98,2.72,2.49,2.28,2.12,1.96
USA,H2 Central Production,electrolysis,electrolysis,7.40,7.40,7.40,7.40,6.11,5.05,4.17,3.87,3.59
USA,H2 Central Production,nuclear,thermal splitting,7.00,7.00,7.00,7.00,7.00,7.00,4.44,4.12,3.82
USA,H2 Central Production,wind,electrolysis,7.40,7.40,7.40,7.40,7.40,7.40,7.40,6.86,6.37
USA,H2 Central Production,solar,electrolysis,7.40,7.40,7.40,7.40,7.40,7.40,7.40,6.86,6.37
USA,H2 Forecourt Production,gas chemical,natural gas steam reforming,6.46,6.46,6.46,6.46,5.70,5.03,4.43,4.11,3.82
USA,H2 Forecourt Production,electrolysis,electrolysis,7.40,7.40,7.40,7.40,7.40,7.40,7.40,6.86,6.37
USA,H2_td,H2_td,H2_td,6.07,6.07,6.07,6.07,5.71,5.38,5.06,4.69,4.36
USA,H2 Enduse,H2 Enduse,H2_td,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
USA,H2 Enduse,H2 Enduse,H2 Forecourt Production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Bio CCS not input,,,3.88,3.88,3.88,3.88,3.56,3.27,3.00,2.78,2.58
