INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
918,,,,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input
Techology non-energy Costs,,,,costs,costs,costs,costs,costs,costs,costs,costs,costs,
region,Supply Sector,Subsector,Technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
Canada,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Western Europe,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Japan,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Australia_NZ,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Former Soviet Union,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
China,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Middle East,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Africa,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Latin America,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Southeast Asia,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Eastern Europe,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000
Korea,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000
India,H2 Central Production,nuclear,thermal splitting,10000,10000,10000,10000,10000,10000,10000,10000,10000
