#Basin to country mapping,,,,,
#Basin assigned to the country which has the largest basin area.,,,,,
GCAM_basin_ID,Basin_name,GLU,ISO,ISO_NUM,Country_name
1,Arctic_Ocean_Islands,GLU001,GRL,304,Greenland
2,Northwest_Territories,GLU002,CAN,124,Canada
3,Siberia_North_Coast,GLU003,RUS,643,Russian Federation
4,Siberia_West_Coast,GLU004,RUS,643,Russian Federation
5,Kara_Sea_Coast,GLU005,RUS,643,Russian Federation
6,Lena,GLU006,RUS,643,Russian Federation
7,Pacific_and_Arctic_Coast,GLU007,USA,840,United States
8,Scandinavia_North_Coast,GLU008,NOR,578,Norway
9,Russia_Barents_Sea_Coast,GLU009,RUS,643,Russian Federation
10,Mackenzie,GLU010,CAN,124,Canada
11,Iceland,GLU011,ISL,352,Iceland
12,Sweden,GLU012,SWE,752,Sweden
13,Finland,GLU013,FIN,246,Finland
14,Northern_Dvina,GLU014,RUS,643,Russian Federation
15,Hudson_Bay_Coast,GLU015,CAN,124,Canada
16,Scotland,GLU016,GBR,826,United Kingdom
17,Neva,GLU017,RUS,643,Russian Federation
18,Volga,GLU018,RUS,643,Russian Federation
19,Atlantic_Ocean_Seaboard,GLU019,CAN,124,Canada
20,Baltic_Sea_Coast,GLU020,LVA,428,Latvia
21,Denmark_Germany_Coast,GLU021,DNK,208,Denmark
22,Narva,GLU022,RUS,643,Russian Federation
23,Saskatchewan_Nelson,GLU023,CAN,124,Canada
24,Ireland,GLU024,IRL,372,Ireland
25,Daugava,GLU025,BLR,112,Belarus
26,England_and_Wales,GLU026,GBR,826,United Kingdom
27,Fraser,GLU027,CAN,124,Canada
28,Ems_Weser,GLU028,DEU,276,Germany
29,Oder,GLU029,POL,616,Poland
30,Wisla,GLU030,POL,616,Poland
31,Elbe,GLU031,DEU,276,Germany
32,Rhine,GLU032,DEU,276,Germany
33,Poland_Coast,GLU033,POL,616,Poland
34,Churchill,GLU034,CAN,124,Canada
35,Neman,GLU035,LTU,440,Lithuania
36,Scheldt,GLU036,BEL,56,Belgium
37,Russia_South_East_Coast,GLU037,RUS,643,Russian Federation
38,Ural,GLU038,RUS,643,Russian Federation
39,Dnieper,GLU039,UKR,804,Ukraine
40,St_Lawrence,GLU040,CAN,124,Canada
41,France_West_Coast,GLU041,FRA,250,France
42,Gobi_Interior,GLU042,CHN,156,China
43,Amur,GLU043,RUS,643,Russian Federation
44,Loire,GLU044,FRA,250,France
45,Caspian_Sea_Coast,GLU045,KAZ,398,Kazakhstan
46,Seine,GLU046,FRA,250,France
47,Black_Sea_North_Coast,GLU047,UKR,804,Ukraine
48,Yenisey,GLU048,RUS,643,Russian Federation
49,Dniester,GLU049,UKR,804,Ukraine
50,Italy_East_Coast,GLU050,ITA,380,Italy
51,Japan,GLU051,JPN,392,Japan
52,Caspian_Sea_East_Coast,GLU052,TKM,795,Turkmenistan
53,Don,GLU053,RUS,643,Russian Federation
54,Danube,GLU054,ROU,642,Romania
55,Adriatic_Sea_Greece_Black_Sea_Coast,GLU055,GRC,300,Greece
56,Ob,GLU056,RUS,643,Russian Federation
57,Po,GLU057,ITA,380,Italy
58,Amu_Darya,GLU058,UZB,860,Uzbekistan
59,Italy_West_Coast,GLU059,ITA,380,Italy
60,Spain_Portugal_Atlantic_Coast,GLU060,ESP,724,Spain
61,France_South_Coast,GLU061,FRA,250,France
62,Rhone,GLU062,FRA,250,France
63,Mediterranean_Sea_Islands,GLU063,ITA,380,Italy
64,Gironde,GLU064,FRA,250,France
65,North_and_South_Korea,GLU065,KOR,410,"Korea, Republic of"
66,Bo_Hai_Korean_Bay_North_Coast,GLU066,CHN,156,China
67,Spain_South_and_East_Coast,GLU067,ESP,724,Spain
68,Lake_Balkash,GLU068,KAZ,398,Kazakhstan
69,Tiber,GLU069,ITA,380,Italy
70,Black_Sea_South_Coast,GLU070,TUR,792,Turkey
71,Tagus,GLU071,ESP,724,Spain
72,Caspian_Sea_South_West_Coast,GLU072,IRN,364,"Iran, Islamic Republic of"
73,Ebro,GLU073,ESP,724,Spain
74,Douro,GLU074,ESP,724,Spain
75,Mediterranean_Sea_East_Coast,GLU075,TUR,792,Turkey
76,Syr_Darya,GLU076,KAZ,398,Kazakhstan
77,Ziya_He_Interior,GLU077,CHN,156,China
78,China_Coast,GLU078,CHN,156,China
79,Huang_He,GLU079,CHN,156,China
80,Mediterranean_South_Coast,GLU080,LBY,434,Libyan Arab Jamahiriya
81,Guadiana,GLU081,ESP,724,Spain
82,Central_Iran,GLU082,IRN,364,"Iran, Islamic Republic of"
83,Guadalquivir,GLU083,ESP,724,Spain
84,Tigris_Euphrates,GLU084,IRQ,368,Iraq
85,Tarim_Interior,GLU085,CHN,156,China
86,Africa_North_West_Coast,GLU086,MAR,504,Morocco
87,Nile,GLU087,SDN,736,Sudan
88,Persian_Gulf_Coast,GLU088,IRN,364,"Iran, Islamic Republic of"
89,Indus,GLU089,PAK,586,Pakistan
90,Farahrud,GLU090,AFG,4,Afghanistan
91,Baja_California,GLU091,MEX,484,Mexico
92,Plateau_of_Tibet_Interior,GLU092,CHN,156,China
93,Red_Sea_East_Coast,GLU093,SAU,682,Saudi Arabia
94,Arabian_Peninsula,GLU094,SAU,682,Saudi Arabia
95,Dead_Sea,GLU095,JOR,400,Jordan
96,Mexico_Northwest_Coast,GLU096,MEX,484,Mexico
97,Helmand,GLU097,AFG,4,Afghanistan
