from.supplysector,from.subsector,from.technology,to.supplysector,to.subsector,to.technology,plant_type,cooling_system,water_type,sector,fuel,technology,minicam.energy.input
electricity,wind,wind,electricity,wind,wind,no cooling,none,none,electricity generation,wind,wind,onshore wind resource
electricity,solar,PV,electricity,solar,PV,no cooling,none,fresh,electricity generation,solar PV,PV,global solar resource
electricity,solar,CSP,elec_CSP,CSP,recirculating,CSP,recirculating,fresh,electricity generation,solar CSP,CSP,global solar resource
electricity,solar,CSP,elec_CSP,CSP,dry_hybrid,CSP,dry_hybrid,fresh,electricity generation,solar CSP,CSP,global solar resource
electricity,coal,coal (conv pul),elec_coal (conv pul),coal (conv pul),once through,coal,once through,fresh,electricity generation,coal,coal (conv pul),regional coal
electricity,coal,coal (conv pul),elec_coal (conv pul),coal (conv pul),seawater,coal,once through,seawater,electricity generation,coal,coal (conv pul),regional coal
electricity,coal,coal (conv pul),elec_coal (conv pul),coal (conv pul),recirculating,coal,recirculating,fresh,electricity generation,coal,coal (conv pul),regional coal
electricity,coal,coal (conv pul),elec_coal (conv pul),coal (conv pul),cooling pond,coal,cooling pond,fresh,electricity generation,coal,coal (conv pul),regional coal
electricity,coal,coal (conv pul),elec_coal (conv pul),coal (conv pul),dry cooling,coal,dry cooling,fresh,electricity generation,coal,coal (conv pul),regional coal
electricity,coal,coal (IGCC),elec_coal (IGCC),coal (IGCC),once through,IGCC,once through,fresh,electricity generation,coal,coal (IGCC),regional coal
electricity,coal,coal (IGCC),elec_coal (IGCC),coal (IGCC),seawater,IGCC,once through,seawater,electricity generation,coal,coal (IGCC),regional coal
electricity,coal,coal (IGCC),elec_coal (IGCC),coal (IGCC),recirculating,IGCC,recirculating,fresh,electricity generation,coal,coal (IGCC),regional coal
electricity,coal,coal (IGCC),elec_coal (IGCC),coal (IGCC),dry cooling,IGCC,dry cooling,fresh,electricity generation,coal,coal (IGCC),regional coal
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),once through,conv pul (CCS),once through,fresh,electricity generation,coal,coal (conv pul CCS),regional coal
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),seawater,conv pul (CCS),once through,seawater,electricity generation,coal,coal (conv pul CCS),regional coal
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),recirculating,conv pul (CCS),recirculating,fresh,electricity generation,coal,coal (conv pul CCS),regional coal
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),dry cooling,conv pul (CCS),dry cooling,fresh,electricity generation,coal,coal (conv pul CCS),regional coal
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),once through,IGCC (CCS),once through,fresh,electricity generation,coal,coal (IGCC CCS),regional coal
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),seawater,IGCC (CCS),once through,seawater,electricity generation,coal,coal (IGCC CCS),regional coal
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),recirculating,IGCC (CCS),recirculating,fresh,electricity generation,coal,coal (IGCC CCS),regional coal
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),dry cooling,IGCC (CCS),dry cooling,fresh,electricity generation,coal,coal (IGCC CCS),regional coal
electricity,gas,gas (steam/CT),elec_gas (steam/CT),gas (steam/CT),once through,fossil non-coal,once through,fresh,electricity generation,gas,gas (steam/CT),wholesale gas
electricity,gas,gas (steam/CT),elec_gas (steam/CT),gas (steam/CT),seawater,fossil non-coal,once through,seawater,electricity generation,gas,gas (steam/CT),wholesale gas
electricity,gas,gas (steam/CT),elec_gas (steam/CT),gas (steam/CT),recirculating,fossil non-coal,recirculating,fresh,electricity generation,gas,gas (steam/CT),wholesale gas
electricity,gas,gas (steam/CT),elec_gas (steam/CT),gas (steam/CT),cooling pond,fossil non-coal,cooling pond,fresh,electricity generation,gas,gas (steam/CT),wholesale gas
electricity,gas,gas (steam/CT),elec_gas (steam/CT),gas (steam/CT),dry cooling,fossil non-coal,dry cooling,fresh,electricity generation,gas,gas (steam/CT),wholesale gas
electricity,gas,gas (CC),elec_gas (CC),gas (CC),once through,combined cycle,once through,fresh,electricity generation,gas,gas (CC),wholesale gas
electricity,gas,gas (CC),elec_gas (CC),gas (CC),seawater,combined cycle,once through,seawater,electricity generation,gas,gas (CC),wholesale gas
electricity,gas,gas (CC),elec_gas (CC),gas (CC),recirculating,combined cycle,recirculating,fresh,electricity generation,gas,gas (CC),wholesale gas
electricity,gas,gas (CC),elec_gas (CC),gas (CC),cooling pond,combined cycle,cooling pond,fresh,electricity generation,gas,gas (CC),wholesale gas
electricity,gas,gas (CC),elec_gas (CC),gas (CC),dry cooling,combined cycle,dry cooling,fresh,electricity generation,gas,gas (CC),wholesale gas
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),once through,combined cycle (CCS),once through,fresh,electricity generation,gas,gas (CC CCS),wholesale gas
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),seawater,combined cycle (CCS),once through,seawater,electricity generation,gas,gas (CC CCS),wholesale gas
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),recirculating,combined cycle (CCS),recirculating,fresh,electricity generation,gas,gas (CC CCS),wholesale gas
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),dry cooling,combined cycle (CCS),dry cooling,fresh,electricity generation,gas,gas (CC CCS),wholesale gas
electricity,refined liquids,refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT),once through,fossil non-coal,once through,fresh,electricity generation,refined liquids,refined liquids (steam/CT),refined liquids industrial
electricity,refined liquids,refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT),seawater,fossil non-coal,once through,seawater,electricity generation,refined liquids,refined liquids (steam/CT),refined liquids industrial
electricity,refined liquids,refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT),recirculating,fossil non-coal,recirculating,fresh,electricity generation,refined liquids,refined liquids (steam/CT),refined liquids industrial
electricity,refined liquids,refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT),cooling pond,fossil non-coal,cooling pond,fresh,electricity generation,refined liquids,refined liquids (steam/CT),refined liquids industrial
electricity,refined liquids,refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT),dry cooling,fossil non-coal,dry cooling,fresh,electricity generation,refined liquids,refined liquids (steam/CT),refined liquids industrial
electricity,refined liquids,refined liquids (CC),elec_refined liquids (CC),refined liquids (CC),once through,CC,once through,fresh,electricity generation,refined liquids,refined liquids (CC),refined liquids industrial
electricity,refined liquids,refined liquids (CC),elec_refined liquids (CC),refined liquids (CC),seawater,CC,once through,seawater,electricity generation,refined liquids,refined liquids (CC),refined liquids industrial
electricity,refined liquids,refined liquids (CC),elec_refined liquids (CC),refined liquids (CC),recirculating,CC,recirculating,fresh,electricity generation,refined liquids,refined liquids (CC),refined liquids industrial
electricity,refined liquids,refined liquids (CC),elec_refined liquids (CC),refined liquids (CC),dry cooling,CC,dry cooling,fresh,electricity generation,refined liquids,refined liquids (CC),refined liquids industrial
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),once through,CC (CCS),once through,fresh,electricity generation,refined liquids,refined liquids (CC CCS),refined liquids industrial
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),seawater,CC (CCS),once through,seawater,electricity generation,refined liquids,refined liquids (CC CCS),refined liquids industrial
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),recirculating,CC (CCS),recirculating,fresh,electricity generation,refined liquids,refined liquids (CC CCS),refined liquids industrial
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),dry cooling,CC (CCS),dry cooling,fresh,electricity generation,refined liquids,refined liquids (CC CCS),refined liquids industrial
electricity,biomass,biomass (conv),elec_biomass (conv),biomass (conv),once through,fossil non-coal,once through,fresh,electricity generation,biomass,biomass (conv),regional biomass
electricity,biomass,biomass (conv),elec_biomass (conv),biomass (conv),seawater,fossil non-coal,once through,seawater,electricity generation,biomass,biomass (conv),regional biomass
electricity,biomass,biomass (conv),elec_biomass (conv),biomass (conv),recirculating,fossil non-coal,recirculating,fresh,electricity generation,biomass,biomass (conv),regional biomass
electricity,biomass,biomass (conv),elec_biomass (conv),biomass (conv),cooling pond,fossil non-coal,cooling pond,fresh,electricity generation,biomass,biomass (conv),regional biomass
electricity,biomass,biomass (conv),elec_biomass (conv),biomass (conv),dry cooling,fossil non-coal,dry cooling,fresh,electricity generation,biomass,biomass (conv),regional biomass
electricity,biomass,biomass (IGCC),elec_biomass (IGCC),biomass (IGCC),once through,IGCC,once through,fresh,electricity generation,biomass,biomass (IGCC),regional biomass
electricity,biomass,biomass (IGCC),elec_biomass (IGCC),biomass (IGCC),seawater,IGCC,once through,seawater,electricity generation,biomass,biomass (IGCC),regional biomass
electricity,biomass,biomass (IGCC),elec_biomass (IGCC),biomass (IGCC),recirculating,IGCC,recirculating,fresh,electricity generation,biomass,biomass (IGCC),regional biomass
electricity,biomass,biomass (IGCC),elec_biomass (IGCC),biomass (IGCC),dry cooling,IGCC,dry cooling,fresh,electricity generation,biomass,biomass (IGCC),regional biomass
electricity,biomass,biomass (conv CCS),elec_biomass (conv CCS),biomass (conv CCS),once through,conv (CCS),once through,fresh,electricity generation,biomass,biomass (conv CCS),regional biomass
electricity,biomass,biomass (conv CCS),elec_biomass (conv CCS),biomass (conv CCS),seawater,conv (CCS),once through,seawater,electricity generation,biomass,biomass (conv CCS),regional biomass
electricity,biomass,biomass (conv CCS),elec_biomass (conv CCS),biomass (conv CCS),recirculating,conv (CCS),recirculating,fresh,electricity generation,biomass,biomass (conv CCS),regional biomass
electricity,biomass,biomass (conv CCS),elec_biomass (conv CCS),biomass (conv CCS),dry cooling,conv (CCS),dry cooling,fresh,electricity generation,biomass,biomass (conv CCS),regional biomass
electricity,biomass,biomass (IGCC CCS),elec_biomass (IGCC CCS),biomass (IGCC CCS),once through,IGCC (CCS),once through,fresh,electricity generation,biomass,biomass (IGCC CCS),regional biomass
electricity,biomass,biomass (IGCC CCS),elec_biomass (IGCC CCS),biomass (IGCC CCS),seawater,IGCC (CCS),once through,seawater,electricity generation,biomass,biomass (IGCC CCS),regional biomass
electricity,biomass,biomass (IGCC CCS),elec_biomass (IGCC CCS),biomass (IGCC CCS),recirculating,IGCC (CCS),recirculating,fresh,electricity generation,biomass,biomass (IGCC CCS),regional biomass
electricity,biomass,biomass (IGCC CCS),elec_biomass (IGCC CCS),biomass (IGCC CCS),dry cooling,IGCC (CCS),dry cooling,fresh,electricity generation,biomass,biomass (IGCC CCS),regional biomass
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,once through,nuclear,once through,fresh,electricity generation,nuclear,Gen_II_LWR,nuclearFuelGenII
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,seawater,nuclear,once through,seawater,electricity generation,nuclear,Gen_II_LWR,nuclearFuelGenII
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,recirculating,nuclear,recirculating,fresh,electricity generation,nuclear,Gen_II_LWR,nuclearFuelGenII
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,cooling pond,nuclear,cooling pond,fresh,electricity generation,nuclear,Gen_II_LWR,nuclearFuelGenII
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,once through,nuclear,once through,fresh,electricity generation,nuclear,Gen_III,nuclearFuelGenIII
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,seawater,nuclear,once through,seawater,electricity generation,nuclear,Gen_III,nuclearFuelGenIII
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,recirculating,nuclear,recirculating,fresh,electricity generation,nuclear,Gen_III,nuclearFuelGenIII
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,cooling pond,nuclear,cooling pond,fresh,electricity generation,nuclear,Gen_III,nuclearFuelGenIII
electricity,hydro,hydro,electricity,hydro,hydro,no cooling,none,fresh,electricity generation,hydro,hydro,
electricity,wind,wind_storage,electricity,wind,wind_storage,no cooling,none,none,electricity generation,wind,wind_storage,onshore wind resource
electricity,solar,PV_storage,electricity,solar,PV_storage,no cooling,none,fresh,electricity generation,solar PV,PV_storage,global solar resource
electricity,solar,CSP_storage,elec_CSP_storage,CSP_storage,recirculating,CSP,recirculating,fresh,electricity generation,solar CSP,CSP_storage,global solar resource
electricity,solar,CSP_storage,elec_CSP_storage,CSP_storage,dry_hybrid,CSP,dry_hybrid,fresh,electricity generation,solar CSP,CSP_storage,global solar resource
electricity,geothermal,geothermal,elec_geothermal,geothermal,recirculating,geothermal,recirculating,fresh,electricity generation,geothermal,geothermal,geothermal
electricity,geothermal,geothermal,elec_geothermal,geothermal,dry_hybrid,geothermal,dry_hybrid,fresh,electricity generation,geothermal,geothermal,geothermal
elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,rooftop_pv,rooftop_pv,no cooling,none,none,,,,distributed_solar
