# File: reeds_wind_curve_CF_avg.csv
# Title: REEDS Wind Curve Capacity Factor average
# Units: Unitless
# Comments: Capacity factor by resource group and resource region
# Source: NREL
# Column types: icn
#  ----------
Wind_Resource_Region,TRG,CF
1,class1,0.456283005
1,class10,0.122117297
1,class2,0.454881608
1,class3,0.43734257
1,class4,0.441068065
1,class5,0.439750378
1,class6,0.392520373
1,class7,0.322331286
1,class8,0.249185906
1,class9,0.188880877
10,class1,0.47450156
10,class10,0.117619018
10,class2,0.461735598
10,class3,0.451604292
10,class4,0.450262698
10,class5,0.443796083
10,class6,0.404523266
10,class7,0.332062237
10,class8,0.252702597
10,class9,0.194886601
100,class1,0.46139375
100,class2,0.460338987
100,class3,0.459428981
100,class4,0.457997762
100,class5,0.450600379
100,class6,0.417289951
100,class7,0.359582761
101,class1,0.467661658
101,class2,0.464759234
101,class3,0.460184254
101,class4,0.45896142
101,class5,0.449213659
101,class6,0.41900898
102,class1,0.467781811
102,class2,0.46336122
102,class3,0.46505088
102,class4,0.463791135
102,class5,0.45753569
102,class6,0.424637081
102,class7,0.365319174
103,class4,0.465663316
103,class5,0.454476369
103,class6,0.428287482
104,class1,0.463493353
104,class2,0.457563262
104,class3,0.45328494
104,class4,0.453484023
104,class5,0.44651074
104,class6,0.40706826
104,class7,0.35804868
105,class1,0.465852989
105,class2,0.462105338
105,class3,0.457631623
105,class4,0.457554393
105,class5,0.448646135
105,class6,0.404898953
105,class7,0.348653933
105,class8,0.26101268
106,class1,0.465865429
106,class2,0.461644137
106,class3,0.461301608
106,class4,0.459929179
106,class5,0.451445859
106,class6,0.4077
106,class7,0.348716671
107,class1,0.462720037
107,class2,0.455891642
107,class3,0.453327959
107,class4,0.451857441
107,class5,0.445159063
107,class6,0.397246024
107,class7,0.356929411
108,class1,0.463459316
108,class2,0.461382895
108,class3,0.459602177
108,class4,0.458920899
108,class5,0.45097625
108,class6,0.404595188
108,class7,0.353655857
109,class1,0.464102593
109,class2,0.463631147
109,class3,0.461263323
109,class4,0.459149255
109,class5,0.455570231
109,class6,0.430844386
11,class10,0.106383269
11,class3,0.459280597
11,class5,0.45693163
11,class6,0.409189493
11,class7,0.321821114
11,class8,0.245379892
11,class9,0.194110953
110,class1,0.46670135
110,class2,0.462683355
110,class3,0.461489105
110,class4,0.461720221
110,class5,0.455491412
110,class6,0.412494137
110,class7,0.358011501
111,class1,0.471797326
111,class2,0.471550764
111,class3,0.470995982
111,class4,0.467361492
111,class5,0.45663444
111,class6,0.409712681
111,class7,0.350411035
112,class1,0.472658623
112,class2,0.464417377
112,class3,0.464162951
112,class4,0.462691366
112,class5,0.456154453
112,class6,0.431844667
113,class1,0.473585251
113,class2,0.473574816
113,class3,0.471459407
113,class4,0.469403306
113,class5,0.464819477
113,class6,0.417340225
114,class1,0.458499239
114,class2,0.450672699
114,class3,0.440864762
114,class4,0.437662862
114,class5,0.437050709
114,class6,0.403419071
114,class7,0.356372482
115,class1,0.463368562
115,class2,0.44886552
115,class3,0.448675874
115,class4,0.447033359
115,class5,0.44398405
115,class6,0.40945737
115,class7,0.361309898
116,class1,0.463477872
116,class2,0.456855452
116,class3,0.452884606
116,class4,0.451956634
116,class5,0.447663961
116,class6,0.410912018
116,class7,0.355970173
117,class1,0.465987448
117,class2,0.464008436
117,class3,0.462616055
117,class4,0.459967665
117,class5,0.452157105
117,class6,0.413973769
117,class7,0.362276698
118,class1,0.471780425
118,class2,0.467609508
118,class3,0.463793421
118,class4,0.464246512
118,class5,0.456291167
118,class6,0.416435263
118,class7,0.361215854
119,class2,0.470865932
119,class3,0.470167785
119,class4,0.468109211
119,class5,0.451242938
119,class6,0.404944299
119,class7,0.358253189
12,class1,0.478014194
12,class10,0.108122418
12,class2,0.458192261
12,class3,0.446175927
12,class4,0.443474029
12,class5,0.435538164
12,class6,0.404081342
12,class7,0.32778515
12,class8,0.254868643
12,class9,0.189447574
120,class4,0.475849581
120,class5,0.441252444
120,class6,0.413297121
120,class7,0.33008949
120,class8,0.274343398
121,class5,0.449075538
121,class6,0.421105142
121,class7,0.351195736
122,class2,0.462437316
122,class3,0.466006183
122,class4,0.463352977
122,class5,0.449543448
122,class6,0.423466831
122,class7,0.354001498
123,class1,0.474483436
123,class2,0.468749308
123,class3,0.467750976
123,class4,0.469518438
123,class5,0.467844726
123,class6,0.438953293
124,class5,0.445697945
124,class6,0.400549219
124,class7,0.322122849
124,class8,0.279799868
125,class3,0.46832124
125,class5,0.466982608
125,class6,0.419097036
125,class7,0.312578577
125,class8,0.266553071
125,class9,0.206852755
126,class6,0.396028934
126,class7,0.334703877
126,class8,0.271032727
126,class9,0.200252657
127,class6,0.396439843
127,class7,0.354014615
127,class8,0.2978821
128,class4,0.466796711
128,class5,0.460711451
128,class6,0.416296849
128,class7,0.343044781
128,class8,0.266263369
128,class9,0.207289308
129,class6,0.377690722
129,class7,0.304507964
129,class8,0.259918795
129,class9,0.200362883
13,class1,0.470175024
13,class10,0.096181861
13,class2,0.465385771
13,class3,0.452681338
13,class4,0.446906823
13,class5,0.446915283
13,class6,0.402782438
13,class7,0.330966211
13,class8,0.26135201
13,class9,0.195229846
130,class6,0.385273416
130,class7,0.328683698
130,class8,0.270173107
130,class9,0.205043453
131,class6,0.380224752
131,class7,0.320390707
131,class8,0.259925953
131,class9,0.197571221
132,class1,0.471326401
132,class2,0.471641382
132,class3,0.470121626
132,class4,0.467558997
132,class5,0.460220831
132,class6,0.420875754
132,class7,0.353838917
133,class4,0.46900678
133,class5,0.446408017
133,class6,0.414000133
134,class1,0.469272399
134,class2,0.470515089
134,class3,0.470130384
134,class4,0.468433303
134,class5,0.457529309
134,class6,0.417853806
135,class1,0.465347138
135,class2,0.456599117
135,class3,0.453544102
135,class4,0.451156236
135,class5,0.448967279
135,class6,0.420288587
136,class1,0.472116304
136,class2,0.46071189
136,class3,0.460782565
136,class4,0.458004121
136,class5,0.449272782
136,class6,0.422803405
137,class1,0.470115431
137,class2,0.466156657
137,class3,0.463562321
137,class4,0.462751523
137,class5,0.45322137
137,class6,0.419153195
138,class1,0.476319264
138,class2,0.465137447
138,class3,0.464584514
138,class4,0.462558171
138,class5,0.456074746
138,class6,0.424926197
139,class1,0.468878974
139,class2,0.468632974
139,class3,0.466582951
139,class4,0.463648133
139,class5,0.454860662
14,class1,0.486186271
14,class10,0.07977742
14,class2,0.461017653
14,class3,0.457080966
14,class4,0.442482304
14,class5,0.435837061
14,class6,0.412355268
14,class7,0.334980881
14,class8,0.261562425
14,class9,0.198149079
140,class1,0.464049364
140,class2,0.467648253
140,class3,0.467534869
140,class4,0.466028213
140,class5,0.45188814
140,class6,0.406154149
140,class7,0.360205359
141,class1,0.466725689
141,class2,0.46703836
141,class3,0.467050098
141,class4,0.466425249
141,class5,0.450674858
141,class6,0.408393937
141,class7,0.35028679
142,class4,0.468745463
142,class5,0.443999092
142,class6,0.400654946
142,class7,0.351808635
143,class4,0.463368319
143,class5,0.440091543
143,class6,0.400998067
143,class7,0.356517512
144,class4,0.469479104
144,class5,0.443108725
144,class6,0.393954036
144,class7,0.349600272
145,class5,0.431936471
145,class6,0.389252729
145,class7,0.349328727
146,class5,0.430829441
146,class6,0.385435924
146,class7,0.333139946
146,class8,0.268252297
147,class10,0.141521269
147,class5,0.42820485
147,class6,0.386899315
147,class7,0.33029338
147,class8,0.248287272
147,class9,0.190165258
148,class1,0.46722454
148,class2,0.452752961
148,class3,0.454767885
148,class4,0.449950015
148,class5,0.442428513
148,class6,0.394568563
148,class7,0.340328715
148,class8,0.266644708
149,class1,0.466087052
149,class2,0.460185307
149,class3,0.459302644
149,class4,0.454602609
149,class5,0.444411029
149,class6,0.415931276
15,class1,0.46551957
15,class10,0.090533844
15,class3,0.443371622
15,class4,0.437838608
15,class5,0.425455065
15,class6,0.399940281
15,class7,0.328353663
15,class8,0.25197078
15,class9,0.196063964
150,class1,0.467204372
150,class2,0.460058798
150,class3,0.456794326
150,class4,0.453227766
150,class5,0.44669079
150,class6,0.402918751
150,class7,0.342061641
150,class8,0.260779542
150,class9,0.208838489
151,class7,0.291422715
151,class8,0.239035265
151,class9,0.201400795
152,class1,0.469974903
152,class2,0.459558002
152,class3,0.452999887
152,class4,0.451304756
152,class5,0.448732698
