# File: onshore_wind_grid_cost.csv
# Title: Grid Connection Costs for Onshore Wind
# Units: cost_per_kW_km - $2010 USD per kW of capacity and km from grid (2010$/kW-km); rep_dist_for_bin - km (representative distance for distance to grid bins (distance_bin) used in energy/NREL_onshore_energy.csv)
# Comments:  Consistent with interconnection costs in CERF model (https://openresearchsoftware.metajnl.com/articles/10.5334/jors.227/); 774000 2010$/km per 251 MW wind farm (774000 / 251 / 1000 = 3.08 2010$ / kW-km). Distance based on reasonable representative values for existing distance to grid bins for onshore wind resource in energy/NREL_onshore_energy.csv.
# Source:  provided by Chris Vernon via email 2019.07.10; original source https://www.wecc.org/Reliability/2014_TEPPC_Transmission_CapCost_Report_B+V.pdf
# Column types: ccnn
# ----------
technology,distance_bin,cost_per_kW_km,rep_dist_for_bin
onshore_wind,near,3.0837,40
onshore_wind,transitional,3.0837,120
onshore_wind,far,3.0837,160
